transition,n_parents,n_children,n_edges,n_novel,n_splits,pct_same_ct,mean_sim
K=5→6,5,6,6,0,1,83%,0.894
K=6→7,6,7,7,0,2,57%,0.842
K=7→8,7,8,7,1,0,100%,0.894
K=8→9,8,9,9,0,1,100%,0.958
K=9→10,9,10,10,0,2,90%,0.813
K=10→11,10,11,11,0,1,91%,0.922
K=11→12,11,12,10,2,2,80%,0.827
K=12→13,12,13,13,0,3,92%,0.862
K=13→14,13,14,14,0,1,86%,0.933
K=14→15,14,15,15,0,1,93%,0.955
K=15→16,15,16,16,0,3,81%,0.832
K=16→17,16,17,16,1,5,69%,0.761
K=17→18,17,18,17,1,6,71%,0.764
K=18→19,18,19,19,0,3,74%,0.822
K=19→20,19,20,20,0,3,45%,0.728
K=20→21,20,21,21,0,4,57%,0.750
