k_parent,k_child,parent_gep,child_gep,similarity,parent_celltype,child_celltype,celltype_match
5,6,1,1,1.0,Ambiguous/Mixed,Ambiguous/Mixed,True
5,6,2,2,0.9999,Tumor/Epithelials,Tumor/Epithelials,True
5,6,3,3,1.0,Tumor/Epithelials,Tumor/Epithelials,True
5,6,4,4,1.0,Ambiguous/Mixed,Ambiguous/Mixed,True
5,6,5,5,1.0,Ambiguous/Mixed,Ambiguous/Mixed,True
5,6,5,6,0.968,Ambiguous/Mixed,Ambiguous/Mixed,True
6,7,1,1,0.9995,Ambiguous/Mixed,Ambiguous/Mixed,True
6,7,2,2,0.999,Tumor/Epithelials,Tumor/Epithelials,True
6,7,2,3,0.7933,Tumor/Epithelials,Tumor/Epithelials,True
6,7,6,4,0.9745,Ambiguous/Mixed,Fibroblasts/Stromal,False
6,7,5,5,0.9986,Ambiguous/Mixed,Ambiguous/Mixed,True
6,7,6,6,0.793,Ambiguous/Mixed,Ambiguous/Mixed,True
6,7,6,7,0.9972,Ambiguous/Mixed,Ambiguous/Mixed,True
7,8,2,1,0.8008,Tumor/Epithelials,Tumor/Epithelials,True
7,8,6,2,0.9462,Ambiguous/Mixed,Ambiguous/Mixed,True
7,8,3,3,0.7969,Tumor/Epithelials,Tumor/Epithelials,True
7,8,6,4,0.6558,Ambiguous/Mixed,Ambiguous/Mixed,True
7,8,4,5,0.9996,Fibroblasts/Stromal,Fibroblasts/Stromal,True
7,8,5,6,0.9988,Ambiguous/Mixed,Ambiguous/Mixed,True
7,8,6,7,0.9993,Ambiguous/Mixed,Ambiguous/Mixed,True
7,8,7,8,0.9999,Ambiguous/Mixed,Ambiguous/Mixed,True
8,9,2,1,1.0,Ambiguous/Mixed,Ambiguous/Mixed,True
8,9,1,2,0.809,Tumor/Epithelials,Tumor/Epithelials,True
8,9,3,3,1.0,Tumor/Epithelials,Tumor/Epithelials,True
8,9,4,4,0.9999,Ambiguous/Mixed,Ambiguous/Mixed,True
8,9,5,5,1.0,Fibroblasts/Stromal,Fibroblasts/Stromal,True
8,9,6,6,1.0,Ambiguous/Mixed,Ambiguous/Mixed,True
8,9,8,7,0.9986,Ambiguous/Mixed,Ambiguous/Mixed,True
8,9,7,8,1.0,Ambiguous/Mixed,Ambiguous/Mixed,True
8,9,8,9,0.9996,Ambiguous/Mixed,Ambiguous/Mixed,True
9,10,2,1,0.9992,Tumor/Epithelials,Tumor/Epithelials,True
9,10,3,2,0.7967,Tumor/Epithelials,Tumor/Epithelials,True
9,10,7,3,0.9713,Ambiguous/Mixed,Ambiguous/Mixed,True
9,10,1,4,0.9658,Ambiguous/Mixed,Ambiguous/Mixed,True
9,10,7,5,0.9798,Ambiguous/Mixed,Plasma_XBP1,False
9,10,5,6,0.9998,Fibroblasts/Stromal,Fibroblasts/Stromal,True
9,10,9,7,0.9943,Ambiguous/Mixed,Tumor/Epithelials,False
9,10,6,8,0.9973,Ambiguous/Mixed,Ambiguous/Mixed,True
9,10,8,9,1.0,Ambiguous/Mixed,Ambiguous/Mixed,True
9,10,9,10,0.9998,Ambiguous/Mixed,Ambiguous/Mixed,True
10,11,1,1,0.9999,Tumor/Epithelials,Tumor/Epithelials,True
10,11,3,2,1.0,Ambiguous/Mixed,Ambiguous/Mixed,True
10,11,2,3,0.5168,Tumor/Epithelials,Tumor/Epithelials,True
10,11,4,4,1.0,Ambiguous/Mixed,Ambiguous/Mixed,True
10,11,5,5,1.0,Plasma_XBP1,Plasma_XBP1,True
10,11,6,6,1.0,Fibroblasts/Stromal,Fibroblasts/Stromal,True
10,11,7,7,0.9999,Tumor/Epithelials,Tumor/Epithelials,True
10,11,8,8,1.0,Ambiguous/Mixed,Ambiguous/Mixed,True
10,11,9,9,1.0,Ambiguous/Mixed,Ambiguous/Mixed,True
10,11,10,10,0.9986,Ambiguous/Mixed,Ambiguous/Mixed,True
10,11,10,11,0.9998,Ambiguous/Mixed,Ambiguous/Mixed,True
