celltype,K_at_best,GEP_at_best,label_ROGUE,best_GEP_ROGUE,recommendation,n_universe,n_label,n_gep,n_intersection,n_label_only,n_gep_only,jaccard,label_recall_in_gep,gep_precision_for_label
Mono_CD16,23,3,0.909,0.963,Already pure but transient — verify,26444,2503,3707,2472,31,1235,0.661,0.988,0.667
Mono_TIL,19,6,0.763,0.917,Splitting recovers substructure but transient — verify,26444,988,710,402,586,308,0.31,0.407,0.566
Mast,32,19,0.896,0.975,Modest gains from splitting,26444,313,82,81,232,1,0.258,0.259,0.988
cDC2_CD33,23,2,0.871,0.883,Borderline — minimal benefit from splitting,26444,1319,6084,1251,68,4833,0.203,0.948,0.206
Mono_CD14_THBS1,23,1,0.95,0.973,Already pure but transient — verify,26444,1783,8781,1493,290,7288,0.165,0.837,0.17
mregDC_LAMP3,25,6,0.753,0.943,Splitting recovers substructure & persistent — keep going,26444,482,2221,289,193,1932,0.12,0.6,0.13
Mono_CD14_ID1,10,1,0.887,0.944,Modest gains from splitting,26444,1154,12717,1126,28,11591,0.088,0.976,0.089
Mac_IL1Bint,20,12,0.683,0.88,Modest gains from splitting,26444,1842,188,133,1709,55,0.07,0.072,0.707
Mac_SPP1,33,19,0.626,0.978,Splitting recovers substructure & persistent — keep going,26444,573,26,17,556,9,0.029,0.03,0.654
Mac_IL1B,35,12,0.748,0.887,Modest gains from splitting,26444,774,195,27,747,168,0.029,0.035,0.138
Mac_CXCL9,19,3,0.721,0.883,Modest gains from splitting,26444,1225,8119,247,978,7872,0.027,0.202,0.03
DC_pDC,34,15,0.903,0.98,Already pure & persistent,26444,1218,384,42,1176,342,0.027,0.034,0.109
cDC1_CLEC9A,27,11,0.815,0.96,Splitting recovers substructure & persistent — keep going,26444,301,784,1,300,783,0.001,0.003,0.001
cDC2_CD1C,27,19,0.641,0.985,Splitting recovers substructure & persistent — keep going,26444,966,204,1,965,203,0.001,0.001,0.005
