,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
A2M,0.009029194922843669,-0.009701705100199546,-0.012758337296439614,0.025768462524452213,-0.002472012358750852,0.03213321476013411,-0.004850491467159048,0.005157785941015677,0.010119691105215062,-0.018326030585366145
A2ML1,0.0011842623642235716,0.002891366440333645,0.005344450675207754,0.005510315187750522,-0.00020087646350625674,-0.010179773776659082,-0.011109392337882724,-4.451646730068931e-05,0.026487449213316472,0.03308542346960965
A3GALT2,0.0033479393197365604,0.0022189017584051314,0.010275406115395453,-0.014309074354050235,0.04329216725107967,0.003174004741947529,-0.019771162888358618,0.004758068430999709,-0.00861046690059899,0.0034659529157509326
A4GALT,0.0071163582538369225,0.017355508995338515,0.01673570506817541,0.030226615287466604,0.010021509564000474,-0.008005686228707596,0.004660124123155602,0.0022779087679721645,0.012888339604627555,0.01724192550068616
AAAS,0.024323298737755555,0.005549535909990642,0.006697053522338852,-0.010497190588357665,-0.006088557952528248,-0.005465425887399275,0.029701233606206086,-0.002950090764142628,0.002812730692452319,-0.011659486385642251
AACS,0.02093276433358375,0.0030391701444893245,0.019610644142673713,-0.008646642746106768,-0.017763834597685626,-0.012301481391921762,0.014999904792033628,-0.00854752157803338,-0.009843085009731151,-0.00010668056468403154
AARD,0.017788461361318106,-0.025911813548874025,-0.01258812741164768,-0.00209052850495646,0.013555561250908796,-0.013640424461099811,-0.013030805562801688,0.0010855249600965644,-0.0060504277726867,0.0067432790340824856
AASS,0.025327070053833407,0.004089061867201836,0.0008311309679511938,0.026724570951759355,-0.005161583987328096,-0.008012906692810198,0.0033047228304075816,-0.0014136897767262223,-0.008478902184550462,-0.005722231102142153
AATK,0.01975057894560203,-0.009374824060427247,0.01525720428426209,-0.02351760959832034,0.011290422271911342,0.009699760386590253,-0.016611302957008925,0.010547141097266694,0.00144803576448266,-0.008126772434003395
ABCA1,0.019323535064973054,2.849327760404589e-05,0.0010055541657296384,-0.0019498292179292913,0.008452278370819225,0.009662444964490334,0.013248330735918227,0.02164987471614855,0.02976324944053177,-0.013537610583610145
ABCA10,0.023187317593168087,-0.01172112501710523,-0.00875359030336643,0.01587507847352207,-0.017883540112083623,0.004698581459070689,-0.007019643941059528,0.007230256766035512,0.005159909222319054,-0.00856145217822154
ABCA12,0.002618871035166394,0.004599558370485767,0.0106454931718296,0.003936434428475749,0.0022334000883618183,-0.008802409491617232,-0.00413203103977298,-0.0011942919567370506,0.026504935522816422,0.028753262288957804
ABCA13,0.010061858126866047,0.010157004790250378,0.014367582537966881,0.019833193700380575,0.0014324947997018554,-0.02231482490280418,-0.0008323326183709118,0.001073701311347886,0.02385566461427865,0.02809690227554942
ABCA2,0.022102221361928312,0.012631588269675132,0.0005982909342613954,-0.018117883335916234,-0.011528309103388819,0.0034382429791609895,-0.016893810060366422,-0.019012156378192004,0.0010643187133345291,-0.0027652426248088962
ABCA3,0.022563579140580364,0.005844194591963023,-0.01338676247710385,0.007765245669008567,0.0013348915476853872,0.009183625343258043,0.00255766050929648,-0.0059209437550269105,-0.01288011234485888,0.02566545774809773
ABCA4,0.007387722419565836,0.002849913066943222,-0.0008129040840001266,0.010699391747965697,0.0083063336693255,0.031007766946690194,0.001031834411617873,-0.0055618081116440505,-0.021842622731699412,0.031144852113691446
ABCA6,0.01944820743666031,-0.018691121235950316,-0.0137811373913577,0.01234997987696606,-0.014620919690309061,0.006260834530834177,0.0003696507244006663,0.0019009271227208727,0.009803428732245418,-0.010020160770107825
