celltype,emerges_at_K,best_consecutive_persistence,top_merge_partner,top_merge_partner_R
Mast,5.0,,DC_pDC,0.7763
DC_pDC,6.0,,Mast,0.7763
Mono_CD14_ID1,7.0,,Mono_CD14_THBS1,0.9299
Mono_CD16,10.0,,Mono_Int,0.7512
Mac_SPP1,19.0,,Mac_CXCL9,0.7845
cDC2_CD33,20.0,,Mono_Int,0.7685
Mac_IL1B,25.0,,Mono_TIL,0.7663
Mac_CXCL9,,,Mac_IL1Bint,0.9195
Mac_IL1Bint,,,Mac_CXCL9,0.9195
Mono_CD14,,,Mono_CD14_THBS1,0.6486
Mono_CD14_IL1B,,,Mono_CD14_THBS1,0.929
Mono_CD14_THBS1,,,Mono_CD14_ID1,0.9299
Mono_Int,,,cDC2_CD33,0.7685
Mono_TIL,,,Mac_IL1B,0.7663
cDC1_CLEC9A,,,cDC2_CD1C,0.8552
cDC2_CD1C,,,cDC1_CLEC9A,0.8552
mregDC_LAMP3,,,cDC2_CD1C,0.7893
