GEP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
1,0.3372506540780349,0.43861918531020033,0.33664918179949005,0.2962785966035959,0.21126352213890384,0.3210985664018076,0.3588257949763364,0.3403446932290719,0.4500070313488602,0.32848045156331973,0.34778178221270234,0.3300743725962786,0.3161629670811774,0.007518725778652802,0.3028424119544774,0.2749938125471067,0.28861966288797986,0.30903939340727826,0.1789562111673399,0.2950572289068955,0.28949939382814943,0.03928185911294694,0.2859213367858022,0.0653521679612056,0.28543178843796124
2,0.5816573578149913,0.5248485481155252,0.3984385619343581,0.3611295957024583,0.7428696260574349,0.3983331286933985,0.43243767809630257,0.4743331946152021,0.5072625872643404,0.4552722811287481,0.42238995423851716,0.4143299778546848,0.41593371904107174,0.09599818259056542,0.4126962604061924,0.3995335695420581,0.38195887595244515,0.41153043378692117,0.3309822436884402,0.3724825120650561,0.3648251954402134,0.20842491426592147,0.37835118361308934,0.14726487120158346,0.37835850102737995
3,0.9006526850865966,0.9833533218348514,0.9749198641798735,0.9594152211757623,0.6654674485471097,0.9666033448701024,0.8852038842982972,0.9813706173628108,0.9741952907394175,0.9814271735223147,0.970326310949944,0.9736855149099933,0.9703187459971022,0.21650339824788875,0.978157117692139,0.9821445591806819,0.9634540794193089,0.9770746009106897,0.8773198775035038,0.9709288140326544,0.9692957802209599,0.4915620335756006,0.9622861895383774,0.5233030477994152,0.9621148128154129
4,0.8072519075574693,0.9721203107931223,0.9928845683253241,0.9914310610996531,0.4365780515895304,0.9791565706689928,0.7839109962221861,0.9782891295805806,0.9687310648382633,0.9807600366755606,0.985295562043586,0.9824980585058383,0.9793014828191866,0.16611446168106378,0.974359566524554,0.9771226446867624,0.9772685728784949,0.9793756447471875,0.8271072504378452,0.9808290255298149,0.9827518728749299,0.4583752499898717,0.9768604569144872,0.46476035963909473,0.9766955323076325
5,0.8854370541365755,0.9726388868602299,0.9819672551967337,0.9768622749441498,0.5635664894913681,0.9820145691059126,0.8410580388846799,0.989367310771859,0.9675492619682796,0.9902616870503397,0.9810439465330999,0.9861582905545598,0.9850756761366777,0.22915232194409396,0.9848004516346791,0.9919498500985697,0.984107466231833,0.9887048843909068,0.8211155527447995,0.9842933680297332,0.9845819986083746,0.48519980135122226,0.9834099553052523,0.5209489529463236,0.9833673114200041
6,0.9785031760799136,0.8639182468236368,0.8408888750335392,0.7771437187881616,0.6740374268801615,0.7792358825161396,0.9404042543474121,0.8353472214453176,0.8406145401622923,0.8253315113051615,0.7887204259236965,0.8067743284214662,0.7869975433037422,0.28044086569315574,0.8230613825037658,0.8710080310980906,0.7764320456692784,0.8170867732513112,0.6885913438593998,0.8038886611913091,0.8067591275216189,0.40357735438663533,0.7722258104121141,0.3964938735754884,0.7710636043445247
7,0.8017402086426321,0.9831724159906914,0.9885956130541766,0.9884840767935882,0.528582697489549,0.9964688570426515,0.7801444980547959,0.9951222994444192,0.9785776155569166,0.9970782191431187,0.993610234118131,0.9961423956158286,0.995683393316522,0.17153197070886478,0.994412734834815,0.9913151667631264,0.9945626742507235,0.9973591026682792,0.8204341702753559,0.9945335091500328,0.9936581345366721,0.45207848696211617,0.9942841041328845,0.4995689760783674,0.9942009844528361
8,0.7929547940879734,0.9755634641384998,0.9887299298237044,0.9928674360499079,0.49883130221949323,0.9978616277844764,0.7699217205861866,0.9924464062055632,0.974704987878689,0.9967643563129603,0.9950223144657322,0.9979711792229483,0.9975984702671383,0.15861584160353595,0.9932847779238109,0.9900898405715595,0.998926802425449,0.9979770667433037,0.8038664237968277,0.9960751026908867,0.9962535839261194,0.4124406312942294,0.9987600504799471,0.4963989284511773,0.9986794858331403
9,0.7864015140054532,0.9729754517246589,0.9904462448855137,0.9950697490116801,0.48233549602441156,0.9970332361364319,0.7647233501972714,0.9911595222729565,0.9748705562525426,0.9961665919706515,0.9956617385421594,0.9983846256377021,0.9976869954482229,0.15531648704201367,0.9927089836226319,0.9896467944567635,0.9992931288160989,0.9976708524238754,0.8026586174907632,0.9966069661389916,0.99702624454589,0.4116869472985407,0.999149025260173,0.4967517289567848,0.9990979562644001
10,0.7706966748027873,0.965809532470417,0.9846497603511083,0.9920011837429636,0.48145738457079346,0.9959528613274109,0.7561403081131705,0.9871750747210581,0.9698090400096679,0.9935937385790929,0.9928295024247092,0.9964768840343499,0.9969884743598048,0.1534257591304501,0.9931335309593883,0.988786479244694,0.9994426192654694,0.9973930868600805,0.8004021196466838,0.9972608850793815,0.997415411592582,0.40361765233756103,0.9994336406792874,0.4994822512889197,0.9994342323160957
