GEP,DC_pDC,Mac_CXCL9,Mac_IL1B,Mac_IL1Bint,Mac_SPP1,Mast,Mono_CD14,Mono_CD14_ID1,Mono_CD14_IL1B,Mono_CD14_THBS1,Mono_CD16,Mono_Int,Mono_TIL,cDC1_CLEC9A,cDC2_CD1C,cDC2_CD33,mregDC_LAMP3
1,0.0,0.0,0.0,0.3423411764705882,0.0,0.0,0.0,0.2701176470588235,1.0,1.0,0.31888888888888883,1.0,1.0,0.0,0.0,0.0,0.0
2,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.00011111111111111112,1.0,1.0,0.0002,1.0,0.371,0.0,0.0,0.0,0.0
3,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.005888888888888889,1.0,1.0,0.001,1.0,0.1788,0.0,0.0,0.0,0.0
4,0.4763,0.0,1.0,0.004571428571428572,0.0,1.0,1.0,0.13255555555555557,1.0,1.0,0.007,1.0,1.0,0.0,0.0,0.0008333333333333332,0.0
5,1.0,0.0,1.0,0.051166666666666666,0.0,1.0,0.0,0.0,0.019181818181818182,1.0,0.0,0.0032,0.19984615384615387,0.0,0.0,0.0,0.0
6,1.0,0.0,1.0,0.017,0.0,1.0,1.0,0.275125,1.0,1.0,0.246,1.0,1.0,0.0003333333333333333,0.00075,0.01,0.0086
7,0.8392666666666667,0.0,1.0,0.008666666666666666,0.0,1.0,0.7580000000000001,0.00028571428571428574,0.0376,0.07518181818181818,0.0016250000000000001,0.5262307692307693,0.09574999999999999,0.0,0.0,0.0,0.0
8,1.0,0.07485714285714286,0.8604,0.40987500000000004,0.04625,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8165555555555556,0.005,0.0005,0.08133333333333333,0.0688
9,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.00044444444444444447,1.0,1.0,0.050499999999999996,1.0,1.0,0.0,0.0,0.0,0.0
10,1.0,0.0015,1.0,0.036,0.002,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.416875,0.0076,0.0005,1.0,0.04214285714285715
11,0.03363636363636363,0.0,0.0027142857142857147,0.0024999999999999996,0.0,0.0002,0.9999411764705882,0.024599999999999997,0.6754285714285715,1.0,0.2683076923076923,1.0,0.13858333333333334,0.0025,0.0,0.006111111111111111,0.0
12,1.0,0.0,1.0,0.010555555555555556,0.0,0.0,1.0,0.0,1.0,0.7344545454545454,0.0236,1.0,1.0,0.0,0.0,0.0,0.0
13,1.0,0.0,0.0,0.0,0.0,0.0723,1.0,0.00525,1.0,1.0,1.0,1.0,0.6948181818181818,0.0003333333333333333,0.0,0.024777777777777777,0.00028571428571428574
14,1.0,0.0004,0.0014999999999999998,0.0005,0.0,0.0015714285714285717,1.0,0.035111111111111114,1.0,1.0,0.7892499999999999,1.0,0.038599999999999995,0.004625,0.0,0.5557272727272727,0.0
15,0.0,0.0004285714285714286,1.0,0.1957,0.0,0.0,1.0,0.01211111111111111,1.0,1.0,0.18145454545454545,1.0,1.0,0.0,0.00016666666666666666,0.00525,0.0
16,0.06921848192628527,1.0,1.0,1.0,1.0,0.9780512335088446,0.32989690721649484,0.32989690721649484,0.32989690721649484,0.32989690721649484,0.32989690721649484,0.32989690721649484,1.0,1.0,0.6682245755191386,0.32989690721649484,1.0
17,0.46477523887959793,1.0,0.3261368315783281,1.0,1.0,0.0344137890464145,1.0,0.365756809224072,1.0,1.0,1.0,1.0,0.2841343608447556,1.0,0.37266898052826636,1.0,0.526795693864345
18,0.005471051524078639,1.0,1.0,1.0,1.0,0.9915829976552636,0.3760217983651226,0.0,0.3760217983651226,0.3760217983651226,0.3760217983651226,0.3760217983651226,0.0,0.0,0.0,0.3760217983651226,1.0
19,1.0,0.35081967213114756,1.0,1.0,0.977298592392932,0.08385744234800839,0.35081967213114756,0.35081967213114756,0.35081967213114756,0.35081967213114756,0.35081967213114756,0.35081967213114756,1.0,0.0,1.0,0.35081967213114756,0.0
20,0.7980625,0.15575000000000003,0.125,0.0615,0.11399999999999999,0.18333333333333335,0.4531538461538462,0.109,0.8817647058823529,0.7981333333333334,0.2726363636363636,0.766,0.30733333333333335,0.10357142857142858,0.11866666666666666,0.18589999999999998,0.097875
21,1.0,0.528375,1.0,1.0,0.3105,0.23666666666666664,1.0,0.39785714285714285,1.0,1.0,1.0,1.0,1.0,0.23500000000000001,0.045,0.1958,0.0625
22,0.01903103426830027,1.0,1.0,1.0,1.0,0.9939672865227938,0.36590662323561346,0.0,0.36590662323561346,0.0,0.36590662323561346,0.36590662323561346,0.0,0.0,0.0,0.0,0.0
23,0.5706171232471451,1.0,0.382225903792675,0.9600722926561635,1.0,0.44553576711437193,1.0,0.3434343434343434,0.7250162712265547,0.5687237441571504,0.3434343434343434,0.3434343434343434,0.502408141530087,0.0,0.3434343434343434,0.7597183598603633,0.49630199396485414
24,0.9815882352941177,0.0,0.0006000000000000001,0.030000000000000002,0.0,0.9637142857142857,0.9481875,0.08388888888888889,0.1451,0.9472666666666667,0.010142857142857144,0.8410000000000001,0.27245454545454545,0.0,0.0,0.28141666666666665,0.0033333333333333327
25,0.5895234006011164,0.0,1.0,0.7934735938170889,0.505968226706741,0.7694289394589954,0.37589670014347204,0.0,0.37589670014347204,0.37589670014347204,0.37589670014347204,0.0,0.7239158437097467,0.0,0.8186836778507023,0.0,0.0
26,0.31784286822167873,0.41863628228837313,0.36640219531110185,0.8449859810296486,1.0,0.5039670703334724,0.517807075105888,0.37130801687763715,0.37130801687763715,0.5118415558074331,0.37130801687763715,0.37130801687763715,0.9785121994869652,0.9923641352979777,0.41126290043548297,0.37130801687763715,1.0
27,0.36941666666666667,0.2510909090909091,0.2273,0.22799999999999998,0.0525,0.193,1.0,0.186,0.9790000000000001,1.0,0.16771428571428573,0.9878750000000001,0.9198571428571429,0.009,0.25199999999999995,0.1884,0.16099999999999998
28,0.9246666666666667,0.9277692307692308,0.06942857142857144,0.3408,0.03733333333333333,0.074,0.9971764705882353,0.07719999999999999,0.920875,0.013000000000000001,0.074125,0.9746428571428571,0.7797499999999999,0.5909090909090908,0.012,0.07383333333333333,0.06375
29,1.0,0.0,1.0,0.9251070837917696,0.9333001183284548,0.46480247451786344,1.0,1.0,1.0,0.0,0.3679745493107105,0.3679745493107105,0.6641963006788316,0.0,0.0,1.0,0.0
30,0.3452085264133457,0.0,0.3443929564411492,0.37300613496932516,0.9540932962619709,0.6664504170528268,1.0,0.0,0.04967562557924004,0.23725671918443003,0.9648192771084336,0.19462465245597774,0.590599761684099,0.3452579548965091,0.9880529109444773,0.0,0.0
31,0.6073764504017803,0.2749435129028422,0.7722129220523798,0.7254925278471479,0.5916412309562505,0.2692353430847901,0.822723952228055,0.2892139374479724,0.7969873548182503,0.5402544892377215,0.5700558924961351,0.3501010821738613,0.7815868279657078,0.0,0.5004162207158996,0.12748245926982996,0.9363776905696278
32,0.8869201176736817,0.0,0.0,0.8664856302330844,1.0,1.0,0.9852907897714415,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9450290412612204,0.0,0.0
