GEP,DC_pDC,Mac_CXCL9,Mac_IL1B,Mac_IL1Bint,Mac_SPP1,Mast,Mono_CD14,Mono_CD14_ID1,Mono_CD14_IL1B,Mono_CD14_THBS1,Mono_CD16,Mono_Int,Mono_TIL,cDC1_CLEC9A,cDC2_CD1C,cDC2_CD33,mregDC_LAMP3
1,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.773,1.0,0.392,0.0,0.0,0.0,0.0
2,0.0,0.281,1.0,1.0,0.042,1.0,1.0,0.083,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
3,0.0,0.0,1.0,0.035,0.0,1.0,0.387,0.0,0.429,0.002,0.0,0.049,1.0,1.0,0.0,0.0,0.0
4,0.0,0.936,0.011,0.0,0.0,0.996,1.0,1.0,0.003,1.0,1.0,1.0,0.021,0.0,0.0,0.0,0.0
5,1.0,0.01,0.012,0.076,0.005,0.0,1.0,0.16,1.0,0.778,0.004,0.997,0.877,0.0,0.0,0.0,0.001
6,1.0,0.0,0.195,0.0,0.0,0.0,1.0,0.012,0.0,1.0,1.0,1.0,0.004,0.0,0.0,0.0,0.0
7,1.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.917,1.0,0.0,0.807,0.443,0.0,0.0,0.0,0.0
8,1.0,0.05,0.03,0.074,0.024,0.013,1.0,0.053,1.0,0.813,0.115,1.0,0.578,0.011,0.0,0.062,0.0
9,0.0,0.685,0.966,0.992,0.99,0.8941532258064516,1.0,1.0,1.0,1.0,0.005,0.872,0.969,0.7875125881168177,0.164,1.0,0.83
10,0.115,0.0,0.0,0.0,0.0,0.001,1.0,0.002,1.0,1.0,0.023,1.0,0.445,0.003,0.0,0.0,0.0
11,0.439,0.681,0.991,0.395,0.0,0.003,1.0,0.0,0.999,1.0,0.919,0.044,0.33,0.658,0.007,0.941,0.324
12,1.0,0.156,0.105,0.039,0.0,0.0,1.0,0.009,0.976,1.0,0.782,1.0,0.922,0.0,0.0,0.0,0.0
13,0.162,0.001,0.365,0.292,0.024,0.022,1.0,1.0,1.0,0.994,0.001,1.0,0.132,0.354,0.056,0.0,0.493
14,0.039,0.004,0.038,0.0,0.011,0.01,0.057,0.04,0.089,0.134,0.083,1.0,0.137,0.016,0.037,0.048,0.023
15,1.0,0.001,0.0,0.0,0.0,0.122,1.0,0.121,0.921,0.52,0.482,1.0,0.327,0.002,0.0,0.215,0.0
16,0.323,0.046,0.029,0.0,0.02,0.016,1.0,0.052,0.253,1.0,0.999,0.725,0.331,1.0,0.041,0.188,0.023
