K,GEP,program_id,gep_col,top1_celltype,top_celltypes,celltype_gap
3,GEP1,K3_GEP1,1,Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Endothelials,"Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Endothelials (99%), Tumor/Epithelials (63%), Fibroblasts/Stromal (29%), Endothelials (6%)",0.33978291647003306
3,GEP2,K3_GEP2,2,Mixed: Bcells_CD19/CD4+Tcells/CD8+Tcells,"Mixed: Bcells_CD19/CD4+Tcells/CD8+Tcells (54%), Bcells_CD19 (25%), CD4+Tcells (15%), CD8+Tcells (14%)",0.09957527135441246
3,GEP3,K3_GEP3,3,Tumor/Epithelials,"Tumor/Epithelials (99%), Endothelials (1%), Fibroblasts/Stromal (1%)",0.9815950920245399
4,GEP1,K4_GEP1,1,Mixed: Bcells_CD19/CD4+Tcells/CD8+Tcells,"Mixed: Bcells_CD19/CD4+Tcells/CD8+Tcells (55%), Bcells_CD19 (25%), CD4+Tcells (15%), CD8+Tcells (14%)",0.10193487494100995
4,GEP2,K4_GEP2,2,Tumor/Epithelials,"Tumor/Epithelials (96%), Fibroblasts/Stromal (2%), Bcells_CD19 (1%)",0.9367626238791883
4,GEP3,K4_GEP3,3,Tumor/Epithelials,"Tumor/Epithelials (98%), Endothelials (1%), Fibroblasts/Stromal (1%)",0.9764039641340255
4,GEP4,K4_GEP4,4,Mixed: Fibroblasts/Stromal/Endothelials/Tumor/Epithelials,"Mixed: Fibroblasts/Stromal/Endothelials/Tumor/Epithelials (92%), Fibroblasts/Stromal (62%), Endothelials (16%), Tumor/Epithelials (13%)",0.4563473336479471
5,GEP1,K5_GEP1,1,Mixed: Bcells_CD19/CD4+Tcells/CD8+Tcells,"Mixed: Bcells_CD19/CD4+Tcells/CD8+Tcells (63%), Bcells_CD19 (24%), CD4+Tcells (21%), CD8+Tcells (18%)",0.03161868806040585
5,GEP2,K5_GEP2,2,Tumor/Epithelials,"Tumor/Epithelials (96%), Fibroblasts/Stromal (2%), Bcells_CD19 (1%)",0.9367626238791883
5,GEP3,K5_GEP3,3,Tumor/Epithelials,"Tumor/Epithelials (98%), Endothelials (1%), Fibroblasts/Stromal (1%)",0.9773478055686645
5,GEP4,K5_GEP4,4,Mixed: Fibroblasts/Stromal/Endothelials/Tumor/Epithelials,"Mixed: Fibroblasts/Stromal/Endothelials/Tumor/Epithelials (98%), Fibroblasts/Stromal (65%), Endothelials (17%), Tumor/Epithelials (16%)",0.4794714487966022
5,GEP5,K5_GEP5,5,Mixed: Tumor/Epithelials/Bcells_CD19/Endothelials,"Mixed: Tumor/Epithelials/Bcells_CD19/Endothelials (59%), Tumor/Epithelials (35%), Bcells_CD19 (12%), Endothelials (12%)",0.2331288343558282
6,GEP1,K6_GEP1,1,Mixed: Bcells_CD19/CD4+Tcells/CD8+Tcells,"Mixed: Bcells_CD19/CD4+Tcells/CD8+Tcells (63%), Bcells_CD19 (24%), CD4+Tcells (21%), CD8+Tcells (18%)",0.03256252949504482
6,GEP2,K6_GEP2,2,Tumor/Epithelials,"Tumor/Epithelials (96%), Fibroblasts/Stromal (2%), Bcells_CD19 (1%)",0.9329872581406324
6,GEP3,K6_GEP3,3,Tumor/Epithelials,"Tumor/Epithelials (98%), Endothelials (1%), Fibroblasts/Stromal (1%)",0.9764039641340255
6,GEP4,K6_GEP4,4,Mixed: Fibroblasts/Stromal/Endothelials/Tumor/Epithelials,"Mixed: Fibroblasts/Stromal/Endothelials/Tumor/Epithelials (98%), Fibroblasts/Stromal (65%), Endothelials (17%), Tumor/Epithelials (16%)",0.4794714487966022
6,GEP5,K6_GEP5,5,Mixed: Tumor/Epithelials/Bcells_CD19/Endothelials,"Mixed: Tumor/Epithelials/Bcells_CD19/Endothelials (59%), Tumor/Epithelials (35%), Bcells_CD19 (12%), Endothelials (12%)",0.2293534686172723
6,GEP6,K6_GEP6,6,Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Plasma_XBP1,"Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Plasma_XBP1 (76%), Tumor/Epithelials (57%), Fibroblasts/Stromal (11%), Plasma_XBP1 (8%)",0.46201038225578106
7,GEP1,K7_GEP1,1,Mixed: Bcells_CD19/CD4+Tcells/CD8+Tcells,"Mixed: Bcells_CD19/CD4+Tcells/CD8+Tcells (63%), Bcells_CD19 (23%), CD4+Tcells (22%), CD8+Tcells (18%)",0.015573383671543178
7,GEP2,K7_GEP2,2,Tumor/Epithelials,"Tumor/Epithelials (96%), Fibroblasts/Stromal (2%), Bcells_CD19 (1%)",0.9344030202925908
7,GEP3,K7_GEP3,3,Tumor/Epithelials,"Tumor/Epithelials (99%), Fibroblasts/Stromal (1%), Endothelials (1%)",0.9782916470033035
7,GEP4,K7_GEP4,4,Mixed: Fibroblasts/Stromal/Tumor/Epithelials/Endothelials,"Mixed: Fibroblasts/Stromal/Tumor/Epithelials/Endothelials (96%), Fibroblasts/Stromal (70%), Tumor/Epithelials (23%), Endothelials (3%)",0.47003303445021233
7,GEP5,K7_GEP5,5,Mixed: Tumor/Epithelials/Bcells_CD19/Fibroblasts/Stromal,"Mixed: Tumor/Epithelials/Bcells_CD19/Fibroblasts/Stromal (68%), Tumor/Epithelials (38%), Bcells_CD19 (17%), Fibroblasts/Stromal (13%)",0.21189240207645116
7,GEP6,K7_GEP6,6,Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Endothelials,"Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Endothelials (87%), Tumor/Epithelials (42%), Fibroblasts/Stromal (25%), Endothelials (19%)",0.168475696083058
7,GEP7,K7_GEP7,7,Tumor/Epithelials,"Tumor/Epithelials (80%), Fibroblasts/Stromal (10%), Bcells_CD19 (3%)",0.7022180273714016
8,GEP1,K8_GEP1,1,Tumor/Epithelials,"Tumor/Epithelials (96%), Fibroblasts/Stromal (2%), Bcells_CD19 (1%)",0.9348749410099103
8,GEP2,K8_GEP2,2,Mixed: CD4+Tcells/CD8+Tcells/Tumor/Epithelials,"Mixed: CD4+Tcells/CD8+Tcells/Tumor/Epithelials (63%), CD4+Tcells (27%), CD8+Tcells (21%), Tumor/Epithelials (14%)",0.058046248230297276
8,GEP3,K8_GEP3,3,Tumor/Epithelials,"Tumor/Epithelials (99%), Fibroblasts/Stromal (1%), Endothelials (1%)",0.9782916470033035
8,GEP4,K8_GEP4,4,Mixed: Plasma_XBP1/Bcells_CD19/Tumor/Epithelials,"Mixed: Plasma_XBP1/Bcells_CD19/Tumor/Epithelials (95%), Plasma_XBP1 (54%), Bcells_CD19 (28%), Tumor/Epithelials (13%)",0.2576687116564417
8,GEP5,K8_GEP5,5,Mixed: Fibroblasts/Stromal/Tumor/Epithelials/Endothelials,"Mixed: Fibroblasts/Stromal/Tumor/Epithelials/Endothelials (97%), Fibroblasts/Stromal (70%), Tumor/Epithelials (23%), Endothelials (4%)",0.4719207173194903
8,GEP6,K8_GEP6,6,Mixed: Tumor/Epithelials/Bcells_CD19/Fibroblasts/Stromal,"Mixed: Tumor/Epithelials/Bcells_CD19/Fibroblasts/Stromal (68%), Tumor/Epithelials (38%), Bcells_CD19 (17%), Fibroblasts/Stromal (13%)",0.20764511562057575
8,GEP7,K8_GEP7,7,Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Endothelials,"Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Endothelials (89%), Tumor/Epithelials (45%), Fibroblasts/Stromal (25%), Endothelials (19%)",0.20622935346861726
8,GEP8,K8_GEP8,8,Tumor/Epithelials,"Tumor/Epithelials (80%), Fibroblasts/Stromal (10%), Bcells_CD19 (3%)",0.7064653138272771
9,GEP1,K9_GEP1,1,Mixed: CD4+Tcells/CD8+Tcells/Tumor/Epithelials,"Mixed: CD4+Tcells/CD8+Tcells/Tumor/Epithelials (63%), CD4+Tcells (27%), CD8+Tcells (21%), Tumor/Epithelials (14%)",0.05899008966493627
9,GEP2,K9_GEP2,2,Tumor/Epithelials,"Tumor/Epithelials (95%), Fibroblasts/Stromal (3%), Bcells_CD19 (2%)",0.9202453987730062
9,GEP3,K9_GEP3,3,Tumor/Epithelials,"Tumor/Epithelials (98%), Fibroblasts/Stromal (1%), Endothelials (1%)",0.9773478055686645
9,GEP4,K9_GEP4,4,Mixed: Plasma_XBP1/Bcells_CD19/Tumor/Epithelials,"Mixed: Plasma_XBP1/Bcells_CD19/Tumor/Epithelials (95%), Plasma_XBP1 (54%), Bcells_CD19 (29%), Tumor/Epithelials (13%)",0.2515337423312883
9,GEP5,K9_GEP5,5,Mixed: Fibroblasts/Stromal/Tumor/Epithelials/Endothelials,"Mixed: Fibroblasts/Stromal/Tumor/Epithelials/Endothelials (96%), Fibroblasts/Stromal (70%), Tumor/Epithelials (23%), Endothelials (4%)",0.47380840018876824
9,GEP6,K9_GEP6,6,Mixed: Tumor/Epithelials/Bcells_CD19/Fibroblasts/Stromal,"Mixed: Tumor/Epithelials/Bcells_CD19/Fibroblasts/Stromal (68%), Tumor/Epithelials (37%), Bcells_CD19 (18%), Fibroblasts/Stromal (13%)",0.19112789051439358
9,GEP7,K9_GEP7,7,Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Endothelials,"Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Endothelials (93%), Tumor/Epithelials (79%), Fibroblasts/Stromal (12%), Endothelials (3%)",0.6677678150070788
9,GEP8,K9_GEP8,8,Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Endothelials,"Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Endothelials (89%), Tumor/Epithelials (45%), Fibroblasts/Stromal (25%), Endothelials (19%)",0.1996224634261444
9,GEP9,K9_GEP9,9,Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Bcells_CD19,"Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Bcells_CD19 (92%), Tumor/Epithelials (78%), Fibroblasts/Stromal (10%), Bcells_CD19 (4%)",0.6800377536573855
10,GEP1,K10_GEP1,1,Tumor/Epithelials,"Tumor/Epithelials (94%), Fibroblasts/Stromal (2%), Bcells_CD19 (2%)",0.9159981123171307
10,GEP2,K10_GEP2,2,Tumor/Epithelials,"Tumor/Epithelials (98%), Fibroblasts/Stromal (1%), Endothelials (1%)",0.976875884851345
10,GEP3,K10_GEP3,3,Mixed: CD4+Tcells/CD8+Tcells/Tumor/Epithelials,"Mixed: CD4+Tcells/CD8+Tcells/Tumor/Epithelials (68%), CD4+Tcells (28%), CD8+Tcells (22%), Tumor/Epithelials (17%)",0.05710240679565837
10,GEP4,K10_GEP4,4,Mixed: Bcells_CD19/Tumor/Epithelials/Fibroblasts/Stromal,"Mixed: Bcells_CD19/Tumor/Epithelials/Fibroblasts/Stromal (82%), Bcells_CD19 (62%), Tumor/Epithelials (15%), Fibroblasts/Stromal (5%)",0.4780556866446437
10,GEP5,K10_GEP5,5,Mixed: Plasma_XBP1/Tumor/Epithelials/Fibroblasts/Stromal,"Mixed: Plasma_XBP1/Tumor/Epithelials/Fibroblasts/Stromal (92%), Plasma_XBP1 (60%), Tumor/Epithelials (25%), Fibroblasts/Stromal (6%)",0.3506370929683813
10,GEP6,K10_GEP6,6,Mixed: Fibroblasts/Stromal/Tumor/Epithelials/Endothelials,"Mixed: Fibroblasts/Stromal/Tumor/Epithelials/Endothelials (96%), Fibroblasts/Stromal (70%), Tumor/Epithelials (23%), Endothelials (4%)",0.4766399244926852
10,GEP7,K10_GEP7,7,Tumor/Epithelials,"Tumor/Epithelials (90%), Fibroblasts/Stromal (7%), Endothelials (1%)",0.8329400660689005
10,GEP8,K10_GEP8,8,Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Mac_C1Q_ZEB2,"Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Mac_C1Q_ZEB2 (71%), Tumor/Epithelials (45%), Fibroblasts/Stromal (16%), Mac_C1Q_ZEB2 (11%)",0.290703161868806
10,GEP9,K10_GEP9,9,Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Endothelials,"Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Endothelials (89%), Tumor/Epithelials (45%), Fibroblasts/Stromal (25%), Endothelials (19%)",0.19395941481831053
10,GEP10,K10_GEP10,10,Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Bcells_CD19,"Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Bcells_CD19 (92%), Tumor/Epithelials (79%), Fibroblasts/Stromal (10%), Bcells_CD19 (4%)",0.6857008022652195
11,GEP1,K11_GEP1,1,Tumor/Epithelials,"Tumor/Epithelials (94%), Fibroblasts/Stromal (2%), Bcells_CD19 (2%)",0.9164700330344502
11,GEP2,K11_GEP2,2,Mixed: CD4+Tcells/CD8+Tcells/Tumor/Epithelials,"Mixed: CD4+Tcells/CD8+Tcells/Tumor/Epithelials (68%), CD4+Tcells (28%), CD8+Tcells (22%), Tumor/Epithelials (17%)",0.05710240679565837
11,GEP3,K11_GEP3,3,Tumor/Epithelials,"Tumor/Epithelials (98%), Fibroblasts/Stromal (1%), Endothelials (1%)",0.9702689948088721
11,GEP4,K11_GEP4,4,Mixed: Bcells_CD19/Tumor/Epithelials/Fibroblasts/Stromal,"Mixed: Bcells_CD19/Tumor/Epithelials/Fibroblasts/Stromal (82%), Bcells_CD19 (62%), Tumor/Epithelials (15%), Fibroblasts/Stromal (5%)",0.4785276073619632
11,GEP5,K11_GEP5,5,Mixed: Plasma_XBP1/Tumor/Epithelials/Fibroblasts/Stromal,"Mixed: Plasma_XBP1/Tumor/Epithelials/Fibroblasts/Stromal (92%), Plasma_XBP1 (60%), Tumor/Epithelials (25%), Fibroblasts/Stromal (7%)",0.3515809344030203
11,GEP6,K11_GEP6,6,Mixed: Fibroblasts/Stromal/Tumor/Epithelials/Endothelials,"Mixed: Fibroblasts/Stromal/Tumor/Epithelials/Endothelials (96%), Fibroblasts/Stromal (70%), Tumor/Epithelials (22%), Endothelials (4%)",0.4775837659273242
11,GEP7,K11_GEP7,7,Tumor/Epithelials,"Tumor/Epithelials (90%), Fibroblasts/Stromal (7%), Endothelials (1%)",0.8253893345917885
11,GEP8,K11_GEP8,8,Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Mac_C1Q_ZEB2,"Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Mac_C1Q_ZEB2 (71%), Tumor/Epithelials (45%), Fibroblasts/Stromal (16%), Mac_C1Q_ZEB2 (11%)",0.2883435582822086
11,GEP9,K11_GEP9,9,Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Endothelials,"Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Endothelials (89%), Tumor/Epithelials (44%), Fibroblasts/Stromal (25%), Endothelials (19%)",0.1915998112317131
11,GEP10,K11_GEP10,10,Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Bcells_CD19,"Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Bcells_CD19 (85%), Tumor/Epithelials (67%), Fibroblasts/Stromal (12%), Bcells_CD19 (6%)",0.5535630014157622
11,GEP11,K11_GEP11,11,Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Bcells_CD19,"Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Bcells_CD19 (91%), Tumor/Epithelials (76%), Fibroblasts/Stromal (11%), Bcells_CD19 (4%)",0.6479471448796602
12,GEP1,K12_GEP1,1,Mixed: CD4+Tcells/CD8+Tcells/Tumor/Epithelials,"Mixed: CD4+Tcells/CD8+Tcells/Tumor/Epithelials (68%), CD4+Tcells (28%), CD8+Tcells (22%), Tumor/Epithelials (18%)",0.057574327512977835
12,GEP2,K12_GEP2,2,Tumor/Epithelials,"Tumor/Epithelials (96%), Fibroblasts/Stromal (2%), Endothelials (1%)",0.9419537517697026
12,GEP3,K12_GEP3,3,Mixed: Bcells_CD19/Tumor/Epithelials/Fibroblasts/Stromal,"Mixed: Bcells_CD19/Tumor/Epithelials/Fibroblasts/Stromal (84%), Bcells_CD19 (62%), Tumor/Epithelials (16%), Fibroblasts/Stromal (5%)",0.46106654082114207
12,GEP4,K12_GEP4,4,Mixed: Fibroblasts/Stromal/Tumor/Epithelials/Endothelials,"Mixed: Fibroblasts/Stromal/Tumor/Epithelials/Endothelials (97%), Fibroblasts/Stromal (59%), Tumor/Epithelials (35%), Endothelials (3%)",0.24587069372345444
12,GEP5,K12_GEP5,5,Mixed: Plasma_XBP1/Tumor/Epithelials/Fibroblasts/Stromal,"Mixed: Plasma_XBP1/Tumor/Epithelials/Fibroblasts/Stromal (93%), Plasma_XBP1 (60%), Tumor/Epithelials (26%), Fibroblasts/Stromal (7%)",0.3430863614912694
12,GEP6,K12_GEP6,6,Mixed: Tumor/Epithelials/Endothelials/Fibroblasts/Stromal,"Mixed: Tumor/Epithelials/Endothelials/Fibroblasts/Stromal (95%), Tumor/Epithelials (60%), Endothelials (19%), Fibroblasts/Stromal (15%)",0.40962718263331754
12,GEP7,K12_GEP7,7,Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Endothelials,"Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Endothelials (93%), Tumor/Epithelials (47%), Fibroblasts/Stromal (42%), Endothelials (4%)",0.05002359603586598
12,GEP8,K12_GEP8,8,Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Bcells_CD19,"Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Bcells_CD19 (86%), Tumor/Epithelials (71%), Fibroblasts/Stromal (10%), Bcells_CD19 (5%)",0.607361963190184
12,GEP9,K12_GEP9,9,Tumor/Epithelials,"Tumor/Epithelials (88%), Fibroblasts/Stromal (7%), Bcells_CD19 (2%)",0.8173666823973572
12,GEP10,K12_GEP10,10,Tumor/Epithelials,"Tumor/Epithelials (86%), Fibroblasts/Stromal (7%), Endothelials (2%)",0.7829164700330344
12,GEP11,K12_GEP11,11,Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Mac_C1Q_ZEB2,"Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Mac_C1Q_ZEB2 (78%), Tumor/Epithelials (55%), Fibroblasts/Stromal (16%), Mac_C1Q_ZEB2 (8%)",0.38650306748466257
12,GEP12,K12_GEP12,12,Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Mac_C1Q_ZEB2,"Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Mac_C1Q_ZEB2 (71%), Tumor/Epithelials (49%), Fibroblasts/Stromal (13%), Mac_C1Q_ZEB2 (9%)",0.3563001415762152
13,GEP1,K13_GEP1,1,Tumor/Epithelials,"Tumor/Epithelials (94%), Fibroblasts/Stromal (3%), Bcells_CD19 (2%)",0.9155261915998112
13,GEP2,K13_GEP2,2,Mixed: CD4+Tcells/CD8+Tcells/Tumor/Epithelials,"Mixed: CD4+Tcells/CD8+Tcells/Tumor/Epithelials (68%), CD4+Tcells (28%), CD8+Tcells (22%), Tumor/Epithelials (17%)",0.05710240679565837
13,GEP3,K13_GEP3,3,Tumor/Epithelials,"Tumor/Epithelials (98%), Fibroblasts/Stromal (1%), Endothelials (1%)",0.9683813119395941
13,GEP4,K13_GEP4,4,Mixed: Bcells_CD19/Tumor/Epithelials/Fibroblasts/Stromal,"Mixed: Bcells_CD19/Tumor/Epithelials/Fibroblasts/Stromal (82%), Bcells_CD19 (62%), Tumor/Epithelials (14%), Fibroblasts/Stromal (5%)",0.4823029731005192
13,GEP5,K13_GEP5,5,Mixed: Plasma_XBP1/Tumor/Epithelials/Fibroblasts/Stromal,"Mixed: Plasma_XBP1/Tumor/Epithelials/Fibroblasts/Stromal (92%), Plasma_XBP1 (60%), Tumor/Epithelials (25%), Fibroblasts/Stromal (6%)",0.3520528551203398
13,GEP6,K13_GEP6,6,Tumor/Epithelials,"Tumor/Epithelials (89%), Fibroblasts/Stromal (7%), Endothelials (1%)",0.8183105238319962
13,GEP7,K13_GEP7,7,Mixed: Fibroblasts/Stromal/Tumor/Epithelials/Endothelials,"Mixed: Fibroblasts/Stromal/Tumor/Epithelials/Endothelials (96%), Fibroblasts/Stromal (64%), Tumor/Epithelials (27%), Endothelials (4%)",0.3709296838131194
13,GEP8,K13_GEP8,8,Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Mac_C1Q_ZEB2,"Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Mac_C1Q_ZEB2 (71%), Tumor/Epithelials (45%), Fibroblasts/Stromal (16%), Mac_C1Q_ZEB2 (11%)",0.2892873997168476
13,GEP9,K13_GEP9,9,Tumor/Epithelials,"Tumor/Epithelials (88%), Fibroblasts/Stromal (6%), Endothelials (2%)",0.8272770174610665
13,GEP10,K13_GEP10,10,Tumor/Epithelials,"Tumor/Epithelials (84%), Fibroblasts/Stromal (6%), Bcells_CD19 (4%)",0.7805568664464371
13,GEP11,K13_GEP11,11,Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Endothelials,"Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Endothelials (88%), Tumor/Epithelials (47%), Fibroblasts/Stromal (22%), Endothelials (19%)",0.25106182161396884
13,GEP12,K13_GEP12,12,Mixed: Fibroblasts/Stromal/Tumor/Epithelials/Endothelials,"Mixed: Fibroblasts/Stromal/Tumor/Epithelials/Endothelials (89%), Fibroblasts/Stromal (46%), Tumor/Epithelials (39%), Endothelials (5%)",0.062293534686172713
