GEP,Bcells_CD19,CD4+Tcells,CD8+Tcells,CD8+Tcells_Ki67,DC_CD207,DC_CLEC9A,DC_LAMP3,Endothelials,Fibroblasts/Stromal,Mac_C1Q_SPP1,Mac_C1Q_ZEB2,Mast,Mon_VCAN,NKcells,Plasma_XBP1,Tregs,Tumor/Epithelials
1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
2,1.0,0.0,0.0,0.00037647058823529414,0.4929075630252101,1.0,0.3206274509803922,1.0,1.0,0.0,0.8969411764705882,1.0,1.0,0.00023529411764705883,1.0,0.0,1.0
3,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
5,0.0,1.0,1.0,1.0,0.0045,0.0035,0.004333333333333333,1.0,1.0,1.0,1.0,1.0,0.0272,1.0,1.0,1.0,1.0
6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,1.0,1.0,1.0,1.0,0.0,0.0,0.0021666666666666666,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.009
9,1.0,1.0,1.0,0.0,0.08475,0.11133333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0015
10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.078
11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9963529411764706,1.0
12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,1.0,1.0,0.9922941176470588,1.0,1.0,1.0,1.0
13,1.0,1.0,1.0,1.0,1.0,0.5196666666666666,1.0,0.0,0.6155,0.9997647058823529,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.575,0.019,1.0,1.0,1.0,1.0,1.0,0.9988823529411764,1.0,0.8083333333333332
15,1.0,1.0,0.9925882352941177,1.0,0.3366666666666666,1.0,0.2595,0.9192857142857144,1.0,1.0,0.39675,0.0,0.3928,0.9564999999999999,1.0,1.0,1.0
16,1.0,1.0,1.0,1.0,1.0,1.0,0.636,1.0,1.0,1.0,1.0,1.0,0.39249999999999996,1.0,0.9948823529411764,1.0,0.44899999999999995
