GEP,Bcells_CD19,CD4+Tcells,CD8+Tcells,CD8+Tcells_Ki67,DC_CD207,DC_CLEC9A,DC_LAMP3,Endothelials,Fibroblasts/Stromal,Mac_C1Q_SPP1,Mac_C1Q_ZEB2,Mast,Mon_VCAN,NKcells,Plasma_XBP1,Tregs,Tumor/Epithelials
1,0.0,1.0,1.0,0.805,0.0,0.0,0.001,1.0,1.0,1.0,0.787,0.988,0.003,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,0.902,0.985,0.993,0.669,1.0,1.0,1.0,1.0,1.0,0.997,1.0,0.0,1.0,1.0
3,1.0,0.0,0.0,0.001,0.578,1.0,0.041,1.0,1.0,0.961,0.119,0.871,0.694,0.0,1.0,0.0,1.0
4,1.0,1.0,1.0,1.0,1.0,0.987,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
5,1.0,1.0,1.0,1.0,0.997,1.0,0.904,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
6,1.0,0.0,0.0,0.0,0.119,0.212,0.153,1.0,1.0,0.999,0.003,0.596,0.141,0.0,1.0,0.003,1.0
7,1.0,1.0,1.0,0.82,1.0,0.962,0.826,1.0,0.007,1.0,1.0,0.989,1.0,1.0,1.0,1.0,0.0
8,1.0,1.0,1.0,0.981,0.999,1.0,0.963,0.762,0.0,0.975,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,1.0,1.0,1.0,0.885,0.0,0.0,0.002,0.912,0.068,0.0,0.0,0.618,0.0,0.936,1.0,1.0,1.0
10,1.0,1.0,1.0,0.0,0.126,0.211,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
11,1.0,1.0,1.0,0.341,0.911,0.763,0.586,0.0,0.0,1.0,1.0,0.988,1.0,1.0,1.0,1.0,0.0
12,1.0,1.0,1.0,0.962,1.0,0.999,0.47,0.976,0.03,0.965,0.999,1.0,0.975,1.0,1.0,1.0,0.0
13,1.0,1.0,1.0,0.99,0.433,0.343,0.18,0.0,0.0,0.651,0.842,0.335,0.511,0.904,1.0,1.0,1.0
14,1.0,1.0,1.0,0.944,0.054,0.565,0.051,0.442,0.023,0.721,0.023,0.0,0.246,0.5,1.0,1.0,0.999
15,0.995,1.0,0.999,0.600802407221665,0.964,0.192,0.007007007007007007,0.31,0.0,0.3743743743743744,0.218,0.969,0.761,0.997,1.0,1.0,0.0
16,1.0,1.0,1.0,0.022044088176352707,0.241,0.02002002002002002,0.022044088176352707,0.379,0.96,0.812,0.97,0.974,0.856,0.99,1.0,0.997,0.0
17,0.993,0.984,0.993,0.8024830699774267,0.8549540347293156,0.411214953271028,0.7870680044593088,0.948,1.0,0.9967776584317938,0.986,0.7587587587587588,0.885480572597137,0.7957957957957958,1.0,0.992,0.0
18,1.0,1.0,1.0,0.456,0.804,0.672,0.033,0.515,0.33,0.772,0.992,0.807,0.595,0.726,1.0,1.0,0.0
19,0.998,1.0,0.985,0.7047047047047047,0.48,0.603,0.359,0.219,0.434,0.5775775775775776,0.585,0.165,0.667,0.802,0.987,0.925,0.0
20,1.0,1.0,1.0,0.883,0.807,0.248,0.06106106106106106,0.501,0.194,0.811,0.87,0.221,0.038,0.124,1.0,1.0,0.0
