GEP,Bcells_CD19,CD4+Tcells,CD8+Tcells,CD8+Tcells_Ki67,DC_CD207,DC_CLEC9A,DC_LAMP3,Endothelials,Fibroblasts/Stromal,Mac_C1Q_SPP1,Mac_C1Q_ZEB2,Mast,Mon_VCAN,NKcells,Plasma_XBP1,Tregs,Tumor/Epithelials
1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
2,1.0,0.0,0.0,0.0,0.05988888888888888,0.6839,0.057999999999999996,1.0,1.0,1.0,0.011,1.0,0.066375,0.0,1.0,0.0,1.0
3,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
4,1.0,1.0,1.0,1.0,1.0,1.0,0.009,1.0,1.0,0.39766666666666667,1.0,1.0,1.0,1.0,0.0,1.0,1.0
5,0.0,1.0,1.0,1.0,0.004999999999999999,0.011999999999999999,0.08533333333333333,1.0,1.0,0.20914285714285716,0.0188,1.0,0.01175,1.0,1.0,1.0,1.0
6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.004
7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.004
8,0.0,1.0,0.9705392156862744,0.05066176470588235,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.2908941176470588,1.0,0.9880588235294118,1.0
9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.326,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,1.0,1.0,1.0,1.0,1.0,0.24825,0.4518333333333333,0.0,0.061,1.0,0.021,1.0,0.21899999999999997,1.0,1.0,1.0,1.0
12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.014,1.0,1.0,1.0,1.0,0.9999411764705882,1.0,0.009
13,1.0,1.0,1.0,0.002882352941176471,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.9996470588235294,1.0,0.004666666666666667
14,1.0,1.0,1.0,0.8858888888888888,0.044333333333333336,0.21216666666666664,0.25,1.0,0.8668750000000001,0.038,0.22971428571428573,1.0,0.09225,1.0,0.006,1.0,1.0
15,1.0,1.0,1.0,0.9995294117647059,0.3774,0.3481666666666666,0.6265000000000001,0.0,0.41524999999999995,1.0,0.881125,0.5591428571428572,0.5173333333333333,1.0,1.0,1.0,1.0
16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9865294117647059,1.0,0.33299999999999996
17,1.0,1.0,1.0,0.0009411764705882353,0.03701960784313726,0.039058823529411764,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9925294117647059,1.0,0.058823529411764705
18,1.0,1.0,1.0,0.9887058823529412,0.0,0.0,0.0,0.8370588235294117,0.9195529411764706,0.43111764705882355,0.0024705882352941176,0.0,0.0,0.9561176470588235,1.0,1.0,1.0
19,1.0,1.0,0.9960588235294118,1.0,1.0,1.0,0.4265,0.9455,1.0,1.0,1.0,1.0,0.828,1.0,1.0,1.0,0.5226666666666666
20,1.0,1.0,1.0,0.6361,0.0006666666666666666,0.013666666666666666,0.012142857142857144,0.5923636363636363,0.5836666666666667,0.0062,0.00075,0.0,0.001,0.093125,1.0,1.0,0.9851176470588235
21,1.0,1.0,1.0,0.87,1.0,1.0,0.602,1.0,1.0,0.9902352941176471,1.0,1.0,1.0,1.0,1.0,1.0,0.6050000000000001
22,1.0,1.0,1.0,1.0,1.0,0.9775591942513842,1.0,1.0,1.0,0.5909090909090909,1.0,1.0,1.0,1.0,1.0,1.0,0.8839674873365532
