GEP,Bcells_CD19,CD4+Tcells,CD8+Tcells,CD8+Tcells_Ki67,DC_CD207,DC_CLEC9A,DC_LAMP3,Endothelials,Fibroblasts/Stromal,Mac_C1Q_SPP1,Mac_C1Q_ZEB2,Mast,Mon_VCAN,NKcells,Plasma_XBP1,Tregs,Tumor/Epithelials
1,1.0,1.0,1.0,0.997,1.0,0.948,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2,1.0,0.0,0.0,0.002,0.826,0.996,0.833,1.0,1.0,0.995,0.647,0.425,0.645,0.0,1.0,0.0,1.0
3,1.0,1.0,1.0,0.965,1.0,1.0,0.99,1.0,1.0,1.0,1.0,0.953,1.0,1.0,1.0,1.0,0.0
4,0.0,1.0,1.0,0.807,0.0,0.0,0.0,1.0,1.0,1.0,0.868,0.0,0.021,0.997,1.0,1.0,1.0
5,1.0,1.0,1.0,0.921,0.999,0.988,0.563,1.0,1.0,0.984,1.0,1.0,0.998,1.0,0.0,1.0,1.0
6,1.0,1.0,1.0,0.984,1.0,0.997,0.921,1.0,1.0,0.979,1.0,1.0,0.999,1.0,1.0,1.0,0.0
7,1.0,1.0,1.0,0.999,0.971,0.919,0.927,0.72,0.0,0.967,1.0,0.994,1.0,1.0,1.0,1.0,1.0
8,1.0,1.0,1.0,0.834,0.0,0.0,0.0,0.978,1.0,0.0,0.0,0.0,0.0,0.907,1.0,1.0,1.0
9,1.0,1.0,1.0,0.986,0.897,0.962,0.898,1.0,1.0,0.91,1.0,0.999,0.989,1.0,1.0,1.0,0.0
10,1.0,1.0,1.0,0.0,0.088,0.133,0.977,1.0,1.0,0.962,1.0,1.0,0.999,1.0,1.0,1.0,0.0
11,1.0,1.0,1.0,0.538,0.805,0.717,0.699,0.0,0.065,1.0,0.966,0.17,0.911,1.0,1.0,1.0,1.0
12,1.0,1.0,1.0,0.956,0.751,0.907,0.74,0.139,0.0,0.384,0.999,0.0,0.997,1.0,1.0,1.0,1.0
13,1.0,1.0,1.0,0.77,0.969,0.976,0.508,0.93,1.0,0.731,1.0,0.947,0.758,0.997,1.0,1.0,0.0
