NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ZAP70	2	0.0019063076470047235	0.021208743	No	
row_1	IL7R	12	0.0015526105416938663	0.036966655	No	
row_2	CD28	26	0.001388460979796946	0.050040364	No	
row_3	RASGRP1	33	0.0012931182282045484	0.063472204	No	
row_4	IL2RG	74	9.995473083108664E-4	0.06658299	No	
row_5	CD40LG	95	9.324558195658028E-4	0.07304557	No	
row_6	ITM2A	109	8.734575822018087E-4	0.08027847	No	
row_7	CTLA4	114	8.629991207271814E-4	0.089243464	No	
row_8	JAK3	116	8.559130947105587E-4	0.098744996	No	
row_9	FOXP3	121	8.460888057015836E-4	0.10751821	No	
row_10	FLT3LG	122	8.458871743641794E-4	0.11711167	No	
row_11	BATF	168	7.267441251315176E-4	0.11610035	No	
row_12	TBC1D10C	182	6.82137964759022E-4	0.121163435	No	
row_13	TNFRSF4	184	6.791730993427336E-4	0.1286605	No	
row_14	CASP8	201	6.239081849344075E-4	0.13244629	No	
row_15	CD300A	213	5.963378935121E-4	0.13694756	No	
row_16	NFATC2	214	5.902167758904397E-4	0.14364138	No	
row_17	LEF1	242	5.360042559914291E-4	0.14416824	No	
row_18	PTPRC	246	5.294082802720368E-4	0.14955552	No	
row_19	PTPRJ	272	5.014618509449065E-4	0.15010189	No	
row_20	TBX21	299	4.6719275997020304E-4	0.15005396	No	
row_21	TNFAIP3	349	4.134650225751102E-4	0.14466712	No	
row_22	SH3KBP1	358	4.035320016555488E-4	0.14759862	No	
row_23	IL27RA	391	3.710577148012817E-4	0.1452266	No	
row_24	MFNG	446	3.119570901617408E-4	0.13766034	No	
row_25	PIK3R1	470	2.968618646264076E-4	0.13629755	No	
row_26	IKZF3	491	2.775438188109547E-4	0.13533257	No	
row_27	NOD2	510	2.6354589499533176E-4	0.1346201	No	
row_28	LAX1	511	2.634853299241513E-4	0.13760836	No	
row_29	PIK3CD	518	2.598864957690239E-4	0.13932201	No	
row_30	ID2	545	2.4352692707907408E-4	0.13673744	No	
row_31	IL2	547	2.430700114928186E-4	0.13928853	No	
row_32	DOCK10	582	2.1926318004261702E-4	0.13478369	No	
row_33	ST3GAL1	642	1.8897723930422217E-4	0.124794506	No	
row_34	RBPJ	667	1.8045224715024233E-4	0.12190585	No	
row_35	AHR	714	1.6325543401762843E-4	0.114298195	No	
row_36	SASH3	721	1.6145614790730178E-4	0.11489551	No	
row_37	IL10	774	1.4479237142950296E-4	0.105844654	No	
row_38	GPR183	810	1.329395017819479E-4	0.10015516	No	
row_39	KIT	864	1.1896553041879088E-4	0.090605766	No	
row_40	CD27	904	1.052899460773915E-4	0.08378015	No	
row_41	ADGRG3	923	1.0009539983002469E-4	0.08121394	No	
row_42	IL4I1	927	9.959450107999146E-5	0.081726566	No	
row_43	TNFSF13B	971	9.03216059668921E-5	0.07390866	No	
row_44	DOCK11	974	8.950458868639544E-5	0.07451248	No	
row_45	TYROBP	1002	8.408818393945694E-5	0.06991403	No	
row_46	ITGA4	1051	7.705554162384942E-5	0.060917486	No	
row_47	IFNE	1100	7.104975520633161E-5	0.051852833	No	
row_48	DNAJB9	1173	6.161408236948773E-5	0.03774594	No	
row_49	DLL1	1191	5.958265683148056E-5	0.0349259	No	
row_50	CDKN2A	1318	4.971431917510927E-5	0.0095797945	No	
row_51	MYB	1337	4.8123227315954864E-5	0.0064241556	No	
row_52	NFAM1	1524	3.692078826134093E-5	-0.03140511	No	
row_53	PIK3R3	1624	3.1454932468477637E-5	-0.051406175	No	
row_54	ATM	1633	3.1013340048957616E-5	-0.052699517	No	
row_55	TLR4	1663	2.9820466806995682E-5	-0.05832471	No	
row_56	IRS2	1795	2.4808125090203248E-5	-0.08498146	No	
row_57	SFRP1	1974	1.9119843273074366E-5	-0.12136754	No	
row_58	CD70	1986	1.8765949789667502E-5	-0.123416685	No	
row_59	SHB	1997	1.8488253772375174E-5	-0.12526335	No	
row_60	TNFSF4	2108	1.5487868950003758E-5	-0.14770748	No	
row_61	XBP1	2250	1.1429347068769857E-5	-0.1765723	No	
row_62	NTRK1	2321	9.73490114120068E-6	-0.1908563	No	
row_63	C3	2354	8.840727787173819E-6	-0.19733633	No	
row_64	TFRC	2386	8.235421773861162E-6	-0.2036176	No	
row_65	INHBA	2934	-5.798829533887329E-6	-0.31603384	No	
row_66	LFNG	3028	-8.523082215106115E-6	-0.33506116	No	
row_67	BST1	3035	-8.743502803554293E-6	-0.33619583	No	
row_68	IL11	3263	-1.5423927834490314E-5	-0.3826999	No	
row_69	MMP14	3305	-1.7040072634699754E-5	-0.39093766	No	
row_70	EZH2	3408	-2.0839823264395818E-5	-0.411676	No	
row_71	PELI1	3506	-2.4061322619672865E-5	-0.43134964	No	
row_72	TNFRSF21	3551	-2.6380475901532918E-5	-0.44009838	No	
row_73	EPHB2	3668	-3.224494867026806E-5	-0.46358627	No	
row_74	VCAM1	3761	-3.6737750633619726E-5	-0.48208797	No	
row_75	CDKN1A	3904	-4.819783862330951E-5	-0.5107414	No	
row_76	EXO1	3937	-5.100455382489599E-5	-0.51674324	No	
row_77	SLAMF8	3999	-5.663753836415708E-5	-0.5286446	No	
row_78	LIG4	4109	-7.038112380541861E-5	-0.55026054	No	
row_79	IGHE	4117	-7.164387352531776E-5	-0.55088747	No	
row_80	SAMSN1	4243	-9.578944445820525E-5	-0.5755054	No	
row_81	CARD11	4336	-1.1653901310637593E-4	-0.59310204	No	
