NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IL2RG	74	9.995473083108664E-4	0.0077601667	No	
row_1	CD40LG	95	9.324558195658028E-4	0.024951348	No	
row_2	ITM2A	109	8.734575822018087E-4	0.04221872	No	
row_3	JAK3	116	8.559130947105587E-4	0.060506996	No	
row_4	FLT3LG	122	8.458871743641794E-4	0.07876975	No	
row_5	PTPRC	246	5.294082802720368E-4	0.06587036	No	
row_6	PTPRJ	272	5.014618509449065E-4	0.072224475	No	
row_7	MFNG	446	3.119570901617408E-4	0.044221256	No	
row_8	PIK3R1	470	2.968618646264076E-4	0.046318512	No	
row_9	IKZF3	491	2.775438188109547E-4	0.048584405	No	
row_10	PIK3CD	518	2.598864957690239E-4	0.049230114	No	
row_11	ID2	545	2.4352692707907408E-4	0.04950299	No	
row_12	IL2	547	2.430700114928186E-4	0.054839537	No	
row_13	DOCK10	582	2.1926318004261702E-4	0.05293574	No	
row_14	ST3GAL1	642	1.8897723930422217E-4	0.045267656	No	
row_15	RBPJ	667	1.8045224715024233E-4	0.044509	No	
row_16	IL10	774	1.4479237142950296E-4	0.026294678	No	
row_17	GPR183	810	1.329395017819479E-4	0.022220625	No	
row_18	KIT	864	1.1896553041879088E-4	0.014174769	No	
row_19	CD27	904	1.052899460773915E-4	0.008658734	No	
row_20	ADGRG3	923	1.0009539983002469E-4	0.0072865463	No	
row_21	IL4I1	927	9.959450107999146E-5	0.008947391	No	
row_22	TNFSF13B	971	9.03216059668921E-5	0.0022783792	No	
row_23	DOCK11	974	8.950458868639544E-5	0.003912241	No	
row_24	ITGA4	1051	7.705554162384942E-5	-0.009756889	No	
row_25	DNAJB9	1173	6.161408236948773E-5	-0.032911275	No	
row_26	DLL1	1191	5.958265683148056E-5	-0.035003774	No	
row_27	MYB	1337	4.8123227315954864E-5	-0.06333673	No	
row_28	NFAM1	1524	3.692078826134093E-5	-0.10024648	No	
row_29	PIK3R3	1624	3.1454932468477637E-5	-0.11962299	No	
row_30	ATM	1633	3.1013340048957616E-5	-0.12053991	No	
row_31	SFRP1	1974	1.9119843273074366E-5	-0.18911168	No	
row_32	XBP1	2250	1.1429347068769857E-5	-0.2446661	No	
row_33	NTRK1	2321	9.73490114120068E-6	-0.25865167	No	
row_34	INHBA	2934	-5.798829533887329E-6	-0.38273305	No	
row_35	LFNG	3028	-8.523082215106115E-6	-0.4014144	No	
row_36	IL11	3263	-1.5423927834490314E-5	-0.44855627	No	
row_37	MMP14	3305	-1.7040072634699754E-5	-0.45648944	No	
row_38	EZH2	3408	-2.0839823264395818E-5	-0.47671676	No	
row_39	VCAM1	3761	-3.6737750633619726E-5	-0.5473226	No	
row_40	SLAMF8	3999	-5.663753836415708E-5	-0.5941341	No	
row_41	CARD11	4336	-1.1653901310637593E-4	-0.65967387	No	
row_42	BCL6	4436	-1.418685569660738E-4	-0.67653406	No	
row_43	BCL2	4476	-1.5800721303094178E-4	-0.6808487	No	
row_44	NCKAP1L	4482	-1.599785464350134E-4	-0.67821765	No	
row_45	CLCF1	4591	-2.3398944176733494E-4	-0.6948051	No	
row_46	NFKBIZ	4623	-2.5641804677434266E-4	-0.69525325	No	
row_47	IGHM	4630	-2.6537783560343087E-4	-0.69042313	No	
row_48	LAPTM5	4749	-4.2567882337607443E-4	-0.7046717	Yes	
row_49	FLT3	4751	-4.2773064342327416E-4	-0.6951268	Yes	
row_50	IL6	4769	-4.832117701880634E-4	-0.68756485	Yes	
row_51	IL7	4790	-5.300280172377825E-4	-0.6795449	Yes	
row_52	PTK2B	4827	-6.819478585384786E-4	-0.6713102	Yes	
row_53	HDAC9	4842	-7.461364730261266E-4	-0.6571474	Yes	
row_54	INPP5D	4857	-7.917908951640129E-4	-0.6419441	Yes	
row_55	SPI1	4858	-8.010555757209659E-4	-0.6236883	Yes	
row_56	PTPN6	4891	-9.848742047324777E-4	-0.607738	Yes	
row_57	FCGR2B	4892	-9.9265540484339E-4	-0.5851157	Yes	
row_58	FCRL3	4914	-0.0011161852162331343	-0.5639403	Yes	
row_59	HHEX	4915	-0.001122044282965362	-0.5383692	Yes	
row_60	CR2	4919	-0.001149745425209403	-0.51277566	Yes	
row_61	LYL1	4934	-0.001217731973156333	-0.4878653	Yes	
row_62	SPIB	4942	-0.001260008430108428	-0.46057075	Yes	
row_63	BTK	4945	-0.001307012396864593	-0.43119016	Yes	
row_64	POU2AF1	4964	-0.001531936228275299	-0.39993104	Yes	
row_65	PLCG2	4969	-0.0016574547626078129	-0.36296988	Yes	
row_66	CD79B	4977	-0.0019263036083430052	-0.32049063	Yes	
row_67	IRF8	4978	-0.0019418074516579509	-0.27623728	Yes	
row_68	CD79A	4982	-0.002045019529759884	-0.23024067	Yes	
row_69	CR1	4983	-0.0020899521186947823	-0.18261115	Yes	
row_70	CD19	4989	-0.0024089927319437265	-0.12872559	Yes	
row_71	PAX5	4993	-0.0025432808324694633	-0.071373716	Yes	
row_72	MS4A1	4999	-0.0031763501465320587	-2.606539E-7	Yes	
