NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CD2	0	0.0021223127841949463	0.098670304	Yes	
row_1	RASGRP1	33	0.0012931182282045484	0.15232384	Yes	
row_2	FYN	38	0.0012720358790829778	0.21065494	Yes	
row_3	KLRK1	39	0.0012688637943938375	0.2696468	Yes	
row_4	NKG7	40	0.0012653878657147288	0.32847705	Yes	
row_5	SH2D1A	67	0.0010325971525162458	0.37123084	Yes	
row_6	FLT3LG	122	8.458871743641794E-4	0.39964643	Yes	
row_7	CD244	165	7.300489232875407E-4	0.42510122	Yes	
row_8	KLRD1	174	7.069698767736554E-4	0.4563531	Yes	
row_9	CASP8	201	6.239081849344075E-4	0.48010617	Yes	
row_10	ZNF683	223	5.794453900307417E-4	0.5028024	Yes	
row_11	PTPN22	225	5.730453412979841E-4	0.5292423	Yes	
row_12	SLAMF1	228	5.677303415723145E-4	0.555233	Yes	
row_13	RAB27A	231	5.647991201840341E-4	0.58108747	Yes	
row_14	PTPRC	246	5.294082802720368E-4	0.6028718	Yes	
row_15	KLRC3	251	5.261588958092034E-4	0.62652564	Yes	
row_16	IL21R	252	5.257113371044397E-4	0.65096694	Yes	
row_17	IL18R1	328	4.2965979082509875E-4	0.65578806	Yes	
row_18	PRDM1	366	3.974499413743615E-4	0.66679	Yes	
row_19	IL23R	374	3.8917959318496287E-4	0.6834693	Yes	
row_20	NCR1	388	3.718582447618246E-4	0.69813085	Yes	
row_21	KLRC1	434	3.2740249298512936E-4	0.7042597	Yes	
row_22	CD160	444	3.141385386697948E-4	0.717046	Yes	
row_23	CORO1A	482	2.8542656218633056E-4	0.7228398	Yes	
row_24	FCGR3A	484	2.8496829327195883E-4	0.73588645	Yes	
row_25	SLAMF7	494	2.7636540471576154E-4	0.74691665	Yes	
row_26	PIK3CD	518	2.598864957690239E-4	0.75435185	Yes	
row_27	ID2	545	2.4352692707907408E-4	0.76042026	Yes	
row_28	IL2	547	2.430700114928186E-4	0.771519	Yes	
row_29	CD48	564	2.3206204059533775E-4	0.779075	Yes	
row_30	HAVCR2	635	1.918741181725636E-4	0.77385134	No	
row_31	TOX	681	1.763608306646347E-4	0.7729579	No	
row_32	KLRF2	799	1.3775589468423277E-4	0.75572133	No	
row_33	CLEC12A	973	9.014032548293471E-5	0.72495556	No	
row_34	TYROBP	1002	8.408818393945694E-5	0.7232073	No	
row_35	IFNE	1100	7.104975520633161E-5	0.7069106	No	
row_36	NFIL3	1261	5.363989475881681E-5	0.6770747	No	
row_37	IL23A	1301	5.0903192459372804E-5	0.6715608	No	
row_38	MERTK	1866	2.2385631382348947E-5	0.55863917	No	
row_39	AXL	2478	5.968606274109334E-6	0.43545738	No	
row_40	PBX1	2802	-1.9309593426442007E-6	0.37028146	No	
row_41	GAS6	3205	-1.356819393549813E-5	0.28968373	No	
row_42	PGLYRP3	3424	-2.155005313397851E-5	0.24663633	No	
row_43	IL12B	3467	-2.2753665689378977E-5	0.23920763	No	
row_44	IL18	3623	-2.9709804948652163E-5	0.20926943	No	
row_45	JAK2	4056	-6.385066808434203E-5	0.12494761	No	
row_46	VAV1	4251	-9.673592285253108E-5	0.0902452	No	
row_47	IL12A	4460	-1.5179267211351544E-4	0.055273633	No	
row_48	FGR	4546	-1.9457118469290435E-4	0.047144424	No	
row_49	CLNK	4744	-4.152181791141629E-4	0.026642678	No	
row_50	NCR3	4791	-5.308634135872126E-4	0.042028707	No	
