NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CD28	26	0.001388460979796946	0.027996562	No	
row_1	IL2RG	74	9.995473083108664E-4	0.04241082	No	
row_2	CTLA4	114	8.629991207271814E-4	0.055176497	No	
row_3	FOXP3	121	8.460888057015836E-4	0.07423471	No	
row_4	TBC1D10C	182	6.82137964759022E-4	0.07840393	No	
row_5	TNFRSF4	184	6.791730993427336E-4	0.09447693	No	
row_6	CD300A	213	5.963378935121E-4	0.103084825	No	
row_7	NFATC2	214	5.902167758904397E-4	0.11722901	No	
row_8	PTPRC	246	5.294082802720368E-4	0.12362409	No	
row_9	TBX21	299	4.6719275997020304E-4	0.12426598	No	
row_10	TNFAIP3	349	4.134650225751102E-4	0.124229215	No	
row_11	SH3KBP1	358	4.035320016555488E-4	0.13227591	No	
row_12	IL27RA	391	3.710577148012817E-4	0.13467325	No	
row_13	IKZF3	491	2.775438188109547E-4	0.12123105	No	
row_14	NOD2	510	2.6354589499533176E-4	0.123893425	No	
row_15	ID2	545	2.4352692707907408E-4	0.12282865	No	
row_16	IL2	547	2.430700114928186E-4	0.1284507	No	
row_17	AHR	714	1.6325543401762843E-4	0.09867112	No	
row_18	SASH3	721	1.6145614790730178E-4	0.10132254	No	
row_19	IL10	774	1.4479237142950296E-4	0.0942383	No	
row_20	GPR183	810	1.329395017819479E-4	0.09032041	No	
row_21	CD27	904	1.052899460773915E-4	0.07396803	No	
row_22	IL4I1	927	9.959450107999146E-5	0.07188956	No	
row_23	TNFSF13B	971	9.03216059668921E-5	0.06532664	No	
row_24	TYROBP	1002	8.408818393945694E-5	0.061252866	No	
row_25	CDKN2A	1318	4.971431917510927E-5	-0.0014891892	No	
row_26	NFAM1	1524	3.692078826134093E-5	-0.042211875	No	
row_27	ATM	1633	3.1013340048957616E-5	-0.06338869	No	
row_28	TLR4	1663	2.9820466806995682E-5	-0.06856	No	
row_29	IRS2	1795	2.4808125090203248E-5	-0.09455367	No	
row_30	SFRP1	1974	1.9119843273074366E-5	-0.13022293	No	
row_31	TNFSF4	2108	1.5487868950003758E-5	-0.1568459	No	
row_32	XBP1	2250	1.1429347068769857E-5	-0.18518981	No	
row_33	TFRC	2386	8.235421773861162E-6	-0.2123925	No	
row_34	INHBA	2934	-5.798829533887329E-6	-0.32327443	No	
row_35	BST1	3035	-8.743502803554293E-6	-0.34336123	No	
row_36	MMP14	3305	-1.7040072634699754E-5	-0.39755	No	
row_37	PELI1	3506	-2.4061322619672865E-5	-0.43756604	No	
row_38	TNFRSF21	3551	-2.6380475901532918E-5	-0.44586423	No	
row_39	EPHB2	3668	-3.224494867026806E-5	-0.46863523	No	
row_40	CDKN1A	3904	-4.819783862330951E-5	-0.51517653	No	
row_41	SLAMF8	3999	-5.663753836415708E-5	-0.53289783	No	
row_42	SAMSN1	4243	-9.578944445820525E-5	-0.5799224	No	
row_43	CARD11	4336	-1.1653901310637593E-4	-0.5958022	No	
row_44	BCL6	4436	-1.418685569660738E-4	-0.6124958	No	
row_45	THEMIS2	4458	-1.51225394802168E-4	-0.61313397	No	
row_46	BCL2	4476	-1.5800721303094178E-4	-0.6127978	No	
row_47	NCKAP1L	4482	-1.599785464350134E-4	-0.60997885	No	
row_48	MZB1	4538	-1.9083060033153743E-4	-0.6165687	No	
row_49	VAV3	4570	-2.1588191157206893E-4	-0.61768705	No	
row_50	TNFSF13	4583	-2.2390345111489296E-4	-0.6147569	No	
row_51	CLCF1	4591	-2.3398944176733494E-4	-0.61057025	No	
row_52	MNDA	4605	-2.4126753851305693E-4	-0.60742694	No	
row_53	CD38	4737	-4.070821451023221E-4	-0.62425965	Yes	
row_54	LAPTM5	4749	-4.2567882337607443E-4	-0.6162911	Yes	
row_55	IL6	4769	-4.832117701880634E-4	-0.60856754	Yes	
row_56	IL7	4790	-5.300280172377825E-4	-0.59992504	Yes	
row_57	INPP5D	4857	-7.917908951640129E-4	-0.5943458	Yes	
row_58	SPI1	4858	-8.010555757209659E-4	-0.575149	Yes	
row_59	LYN	4874	-9.073555120266974E-4	-0.55644923	Yes	
row_60	PTPN6	4891	-9.848742047324777E-4	-0.5360948	Yes	
row_61	FCGR2B	4892	-9.9265540484339E-4	-0.5123064	Yes	
row_62	FCRL3	4914	-0.0011161852162331343	-0.48981994	Yes	
row_63	MEF2C	4930	-0.0011964007280766964	-0.46419337	Yes	
row_64	BTK	4945	-0.001307012396864593	-0.4357131	Yes	
row_65	CD74	4980	-0.0019479288021102548	-0.39593297	Yes	
row_66	CR1	4983	-0.0020899521186947823	-0.3462545	Yes	
row_67	CD40	4985	-0.002136696595698595	-0.29525283	Yes	
row_68	TNFRSF13B	4987	-0.002221067901700735	-0.24222928	Yes	
row_69	TNFRSF13C	4988	-0.0022961755748838186	-0.18720286	Yes	
row_70	CD19	4989	-0.0024089927319437265	-0.12947284	Yes	
row_71	BANK1	4991	-0.002522494178265333	-0.06922579	Yes	
row_72	CD22	4998	-0.0029479856602847576	2.0307985E-4	Yes	
