NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ZAP70	2	0.0019063076470047235	0.119870745	Yes	
row_1	ITGAL	11	0.0015667278785258532	0.21710475	Yes	
row_2	CCL5	19	0.0014215395785868168	0.30538034	Yes	
row_3	SPN	28	0.0013435533037409186	0.3885336	Yes	
row_4	GPR15	83	9.704469121061265E-4	0.4388573	Yes	
row_5	TNFSF14	152	7.514199824072421E-4	0.4725348	Yes	
row_6	CXCR3	154	7.453667349182069E-4	0.51936024	Yes	
row_7	STK39	232	5.616210983134806E-4	0.5392453	Yes	
row_8	CD69	257	5.201405147090554E-4	0.56721604	Yes	
row_9	IL27RA	391	3.710577148012817E-4	0.5637693	Yes	
row_10	MYO1G	395	3.677080094348639E-4	0.58636326	Yes	
row_11	CCR2	455	3.060678136534989E-4	0.59375966	Yes	
row_12	CORO1A	482	2.8542656218633056E-4	0.6065176	Yes	
row_13	ITGB7	490	2.784216485451907E-4	0.62267053	Yes	
row_14	TNFRSF14	497	2.725148224271834E-4	0.6386527	Yes	
row_15	PIK3CD	518	2.598864957690239E-4	0.6510109	Yes	
row_16	CD200R1	561	2.336462348466739E-4	0.6572709	Yes	
row_17	CCL3	600	2.0836408657487482E-4	0.66274357	Yes	
row_18	S1PR1	605	2.076851378660649E-4	0.6750393	Yes	
row_19	CCL20	625	1.978204818442464E-4	0.6836835	Yes	
row_20	GPR183	810	1.329395017819479E-4	0.6549144	No	
row_21	DOCK8	820	1.3077599578537047E-4	0.661348	No	
row_22	ITGA4	1051	7.705554162384942E-5	0.61976373	No	
row_23	AIF1	1321	4.9386049795430154E-5	0.56855816	No	
row_24	AIRE	1330	4.868289761361666E-5	0.57001424	No	
row_25	CCL21	1535	3.634519089246169E-5	0.53111184	No	
row_26	CXCL10	1768	2.5751280190888792E-5	0.4858868	No	
row_27	APOD	2033	1.740598600008525E-5	0.43367323	No	
row_28	CXCL11	2193	1.3057413525530137E-5	0.4023888	No	
row_29	CCL2	2347	8.999992132885382E-6	0.37206003	No	
row_30	CCL26	2892	-4.521968548942823E-6	0.26249075	No	
row_31	ADAM8	2896	-4.6087616283330135E-6	0.2621757	No	
row_32	SPNS2	2912	-5.068461632617982E-6	0.2594664	No	
row_33	CXCL12	2958	-6.448124622693285E-6	0.250786	No	
row_34	ECM1	3164	-1.2262243217264768E-5	0.21016225	No	
row_35	CXCL13	3466	-2.275109181937296E-5	0.15081416	No	
row_36	WNT5A	4001	-5.6786902860039845E-5	0.046561792	No	
row_37	ITGB3	4066	-6.5729116613511E-5	0.037784766	No	
row_38	CD200	4067	-6.591153214685619E-5	0.041943323	No	
row_39	SLC12A2	4133	-7.367301441263407E-5	0.033465564	No	
row_40	CXCL16	4175	-8.156798867275938E-5	0.030332446	No	
row_41	ABL2	4189	-8.43872912810184E-5	0.03303149	No	
row_42	FUT7	4291	-1.054738022503443E-4	0.019290345	No	
row_43	LGALS9	4318	-1.1241200263611972E-4	0.021132348	No	
row_44	ICAM1	4452	-1.4960039698053151E-4	0.0037132457	No	
row_45	LRCH1	4598	-2.3808085825294256E-4	-0.010546625	No	
row_46	RIPOR2	4826	-6.75699848216027E-4	-0.013754778	No	
row_47	CCR6	4851	-7.685223245061934E-4	0.029887052	No	
