NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XBP1	8	0.002911639166995883	0.55001837	Yes	
row_1	SESN2	165	1.2141726620029658E-4	0.5416962	No	
row_2	APOC1	283	2.3294263883144595E-5	0.52261543	No	
row_3	CETP	398	1.3302769730216824E-6	0.49997586	No	
row_4	LPL	428	-1.83688015908956E-7	0.49418738	No	
row_5	LIPC	568	-1.1105645171483047E-5	0.46837974	No	
row_6	APOC2	693	-2.123573540302459E-5	0.44750336	No	
row_7	GPIHBP1	950	-3.925599230569787E-5	0.40353498	No	
row_8	ANGPTL4	1170	-5.3687646868638694E-5	0.36973047	No	
row_9	APOA1	1236	-5.783918822999112E-5	0.3676362	No	
row_10	GCKR	1251	-5.8988127420889214E-5	0.37600055	No	
row_11	MLXIPL	1311	-6.30999929853715E-5	0.37610778	No	
row_12	C1QTNF3	2497	-1.4896009815856814E-4	0.16637722	No	
row_13	APOE	2533	-1.5222675574477762E-4	0.18818922	No	
row_14	DGAT2	2541	-1.5270963194780052E-4	0.21571521	No	
row_15	NR1H3	2697	-1.6800983576104045E-4	0.21642104	No	
row_16	IL18	3244	-2.2810904192738235E-4	0.14999889	No	
row_17	SCARB1	3536	-2.695269649848342E-4	0.1426284	No	
row_18	RORA	4020	-3.6279461346566677E-4	0.114373736	No	
row_19	PNPLA2	4244	-4.328822542447597E-4	0.15160635	No	
