NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC1A4	33	0.001277556293644011	0.2624401	Yes	
row_1	SLC38A5	40	0.0010234576184302568	0.47678274	Yes	
row_2	SLC7A5	88	4.986373824067414E-4	0.5723687	Yes	
row_3	SLC7A1	202	6.972134724492207E-5	0.5643799	No	
row_4	CLTRN	453	-2.569564458099194E-6	0.51476055	No	
row_5	RGS4	565	-1.0879571163968649E-5	0.49478057	No	
row_6	RGS2	954	-3.960693720728159E-5	0.42527294	No	
row_7	ATP1A2	1390	-6.824127194704488E-5	0.35236567	No	
row_8	SLC7A11	1877	-1.0068072151625529E-4	0.27605763	No	
row_9	SLC7A2	1896	-1.0205608123214915E-4	0.2939397	No	
row_10	SLC6A14	2000	-1.0937072511296719E-4	0.29630774	No	
row_11	SLC1A2	2028	-1.1092645581811666E-4	0.3142522	No	
row_12	SLC43A2	2279	-1.3006487279199064E-4	0.29148415	No	
row_13	ARL6IP1	2705	-1.6847941151354462E-4	0.2416941	No	
row_14	TNF	4343	-4.755901754833758E-4	0.01340528	No	
row_15	SLC6A6	4495	-5.603601457551122E-4	0.10112365	No	
