NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DERL3	6	0.0033708722330629826	0.17264293	Yes	
row_1	XBP1	8	0.002911639166995883	0.32260713	Yes	
row_2	HERPUD1	9	0.002905893139541149	0.47247612	Yes	
row_3	DNAJB9	17	0.002136243972927332	0.581243	Yes	
row_4	SDF2L1	27	0.0015135002322494984	0.65748996	Yes	
row_5	ERLEC1	42	9.517883299849927E-4	0.70376134	Yes	
row_6	ERN1	43	9.496225393377244E-4	0.75273734	Yes	
row_7	HSPA5	65	7.041946519166231E-4	0.78483105	Yes	
row_8	CTH	163	1.2784349382854998E-4	0.7719113	No	
row_9	CAV1	201	6.975168798817322E-5	0.7680655	No	
row_10	PPP1R15A	209	6.427153857657686E-5	0.7699721	No	
row_11	DDIT3	248	3.598572948249057E-5	0.7641837	No	
row_12	YOD1	354	8.75017030921299E-6	0.74351245	No	
row_13	PACRG	540	-8.579660061514005E-6	0.7067391	No	
row_14	STC2	866	-3.335443761898205E-5	0.6430801	No	
row_15	ATF3	1054	-4.623876156983897E-5	0.6078467	No	
row_16	DNAJC18	1304	-6.274748011492193E-5	0.5609923	No	
row_17	HSPB8	1469	-7.389071834040806E-5	0.53181183	No	
row_18	FUT1	1790	-9.552898700349033E-5	0.47236526	No	
row_19	BBC3	2072	-1.1371859000064433E-4	0.42170236	No	
row_20	HSPA1A	2677	-1.6592330939602107E-4	0.30875498	No	
row_21	CREB3L1	3357	-2.451921463944018E-4	0.18480833	No	
row_22	BCL2L11	3516	-2.6702863397076726E-4	0.16679576	No	
row_23	ERO1A	3541	-2.702421334106475E-4	0.17590526	No	
row_24	CCND1	3650	-2.855439961422235E-4	0.16890594	No	
row_25	AGR2	3894	-3.312714397907257E-4	0.13710746	No	
row_26	PIK3R1	4291	-4.537475761026144E-4	0.08084708	No	
row_27	PARP8	4389	-5.04771014675498E-4	0.08736704	No	
row_28	ABCA7	4650	-6.814178195782006E-4	0.07020724	No	
