NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TXNDC5	0	0.0049133277498185635	0.23719016	Yes	
row_1	FKBP11	13	0.00243807933293283	0.3524726	Yes	
row_2	HSP90B1	23	0.0017621233128011227	0.43572724	Yes	
row_3	SDF2L1	27	0.0015135002322494984	0.50818735	Yes	
row_4	HSPA5	65	7.041946519166231E-4	0.5347346	Yes	
row_5	ERO1B	318	1.553220681671519E-5	0.48475978	No	
row_6	DNAJC18	1304	-6.274748011492193E-5	0.28952	No	
row_7	CRYAB	1393	-6.85297345626168E-5	0.27511486	No	
row_8	HSPB6	1797	-9.586035594111308E-5	0.19862336	No	
row_9	HSPA4L	2128	-1.1883045954164118E-4	0.13793476	No	
row_10	HSPA2	2321	-1.3364395999815315E-4	0.10573906	No	
row_11	GRPEL2	2475	-1.4712588745169342E-4	0.08204444	No	
row_12	HSPA1A	2677	-1.6592330939602107E-4	0.04959542	No	
row_13	PPIF	2721	-1.699444546829909E-4	0.04914407	No	
row_14	FKBP10	2748	-1.724114263197407E-4	0.05223371	No	
row_15	HSPA1B	2961	-1.970230950973928E-4	0.019071862	No	
row_16	DNLZ	2986	-1.997153158299625E-4	0.023882171	No	
row_17	DNAJB1	3064	-2.0997910178266466E-4	0.018519685	No	
row_18	BAG2	3087	-2.1170407126192003E-4	0.024311326	No	
row_19	ANP32E	3500	-2.6514564524404705E-4	-0.045819566	No	
row_20	ERO1A	3541	-2.702421334106475E-4	-0.0408252	No	
row_21	PPIAL4G	3697	-2.93285382213071E-4	-0.05786657	No	
row_22	QSOX1	3766	-3.0389512539841235E-4	-0.056883678	No	
row_23	CLU	3819	-3.1429994851350784E-4	-0.052177884	No	
row_24	ERP27	3905	-3.3290215651504695E-4	-0.053216584	No	
row_25	LTBP4	3916	-3.3501037978567183E-4	-0.039056893	No	
row_26	HSPH1	4036	-3.661710361484438E-4	-0.04533334	No	
row_27	DNAJA4	4312	-4.622585838660598E-4	-0.07837215	No	
row_28	HSPA6	4583	-6.187862018123269E-4	-0.102848165	No	
row_29	RIC3	4700	-7.563474937342107E-4	-0.08968504	No	
row_30	WIPF1	4861	-0.001084085088223219	-0.069557115	No	
row_31	CD74	4987	-0.002012094482779503	0.0024154088	No	
