NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NOG	678	1.7694519192446023E-4	-0.08902031	No	
row_1	MDK	1251	5.4294068831950426E-5	-0.18956713	No	
row_2	GREM1	1334	4.8362722736783326E-5	-0.19311124	No	
row_3	TNF	1375	4.5182157919043675E-5	-0.1890566	No	
row_4	AR	1542	3.608689803513698E-5	-0.21279044	No	
row_5	PDGFA	1669	2.961525387945585E-5	-0.23020953	No	
row_6	TACSTD2	1724	2.7237048925599083E-5	-0.23377874	No	
row_7	FGFR1	1731	2.706486702663824E-5	-0.22773615	No	
row_8	SNAI2	1926	2.053871503449045E-5	-0.26126865	No	
row_9	SFRP1	1974	1.9119843273074366E-5	-0.26560378	No	
row_10	FGFR2	2171	1.3660793229064438E-5	-0.30138108	No	
row_11	SULF1	2614	2.266901447001146E-6	-0.38970745	No	
row_12	NTN4	2632	1.8837871493815328E-6	-0.39262336	No	
row_13	SOX8	2650	1.4926391713743214E-6	-0.39564407	No	
row_14	SHOX2	2706	2.700854224713112E-7	-0.40663812	No	
row_15	ETV5	2712	6.683709585786346E-8	-0.40762624	No	
row_16	BMP4	2920	-5.257444172457326E-6	-0.44786784	No	
row_17	AGT	2966	-6.7093305915477686E-6	-0.45512494	No	
row_18	BMP7	3025	-8.346887625521049E-6	-0.46455908	No	
row_19	FGF7	3068	-9.582456186763011E-6	-0.47044292	No	
row_20	HGF	3095	-1.0158453733311035E-5	-0.47295317	No	
row_21	GDNF	3137	-1.1535408702911809E-5	-0.4781127	No	
row_22	VEGFA	3293	-1.65395722433459E-5	-0.5048694	No	
row_23	LGR4	3622	-2.9649012503796257E-5	-0.5629233	No	
row_24	WNT2	3710	-3.392590951989405E-5	-0.5713406	No	
row_25	FGF2	3918	-4.959606667398475E-5	-0.5997052	Yes	
row_26	FGF10	3964	-5.305768718244508E-5	-0.59454703	Yes	
row_27	WNT5A	4001	-5.6786902860039845E-5	-0.586579	Yes	
row_28	LRRK2	4932	-0.0012025266187265515	-0.45158175	Yes	
row_29	BCL11A	4972	-0.0017354036681354046	0.0054326258	Yes	
