NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MZB1	2	0.004319976549595594	0.5396501	Yes	
row_1	CXCL13	1889	-1.0162660328205675E-4	0.17394374	No	
row_2	SELP	1946	-1.0538871720200405E-4	0.1758827	No	
row_3	CX3CL1	2181	-1.2269809667486697E-4	0.14427127	No	
row_4	FBLIM1	2352	-1.361415343126282E-4	0.12718152	No	
row_5	RASIP1	2373	-1.3802549801766872E-4	0.1404236	No	
row_6	FERMT1	2674	-1.6572981257922947E-4	0.100949295	No	
row_7	KIF14	2794	-1.774300471879542E-4	0.09925388	No	
row_8	COL16A1	2995	-2.009294694289565E-4	0.08424418	No	
row_9	FN1	3111	-2.1446807659231126E-4	0.087981544	No	
row_10	CXCL12	3209	-2.2447295486927032E-4	0.096581206	No	
row_11	PTGER4	3539	-2.6996954693458974E-4	0.06431956	No	
row_12	SKAP1	3936	-3.3956230618059635E-4	0.027314859	No	
row_13	JAM3	4162	-3.992776037193835E-4	0.032085113	No	
row_14	PLEK	4382	-4.997154464945197E-4	0.050615218	No	
row_15	FERMT3	4536	-5.837827338837087E-4	0.09289716	No	
