NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DERL3	6	0.0033708722330629826	0.14663613	Yes	
row_1	XBP1	8	0.002911639166995883	0.27413878	Yes	
row_2	HERPUD1	9	0.002905893139541149	0.40159112	Yes	
row_3	DNAJB9	17	0.002136243972927332	0.49387482	Yes	
row_4	SDF2L1	27	0.0015135002322494984	0.55844164	Yes	
row_5	ERLEC1	42	9.517883299849927E-4	0.5973633	Yes	
row_6	ERN1	43	9.496225393377244E-4	0.6390137	Yes	
row_7	CHAC1	59	7.485374226234853E-4	0.6688191	Yes	
row_8	HSPA5	65	7.041946519166231E-4	0.69869655	Yes	
row_9	CTH	163	1.2784349382854998E-4	0.6847395	No	
row_10	CAV1	201	6.975168798817322E-5	0.68033606	No	
row_11	PPP1R15A	209	6.427153857657686E-5	0.68174314	No	
row_12	DDIT3	248	3.598572948249057E-5	0.6756571	No	
row_13	YOD1	354	8.75017030921299E-6	0.654863	No	
row_14	PACRG	540	-8.579660061514005E-6	0.6179259	No	
row_15	STC2	866	-3.335443761898205E-5	0.5538382	No	
row_16	HSPB7	873	-3.368856414454058E-5	0.5541056	No	
row_17	THBS4	1034	-4.472335785976611E-5	0.5237961	No	
row_18	ATF3	1054	-4.623876156983897E-5	0.5219919	No	
row_19	DNAJC18	1304	-6.274748011492193E-5	0.47452214	No	
row_20	HSPB8	1469	-7.389071834040806E-5	0.44468513	No	
row_21	COMP	1561	-8.05408344604075E-5	0.42986348	No	
row_22	FUT1	1790	-9.552898700349033E-5	0.3880671	No	
row_23	BBC3	2072	-1.1371859000064433E-4	0.3363787	No	
row_24	HSPA4L	2128	-1.1883045954164118E-4	0.3304974	No	
row_25	HSPA2	2321	-1.3364395999815315E-4	0.29763374	No	
row_26	HSPA1A	2677	-1.6592330939602107E-4	0.23330969	No	
row_27	THBS1	3005	-2.0239863079041243E-4	0.17623286	No	
row_28	SERPINH1	3028	-2.0578762632794678E-4	0.18082142	No	
row_29	DNAJB1	3064	-2.0997910178266466E-4	0.1829718	No	
row_30	CREB3L1	3357	-2.451921463944018E-4	0.1348312	No	
row_31	BCL2L11	3516	-2.6702863397076726E-4	0.11467537	No	
row_32	ERO1A	3541	-2.702421334106475E-4	0.12168752	No	
row_33	CCND1	3650	-2.855439961422235E-4	0.11242849	No	
row_34	CLU	3819	-3.1429994851350784E-4	0.09232904	No	
row_35	AGR2	3894	-3.312714397907257E-4	0.09193321	No	
row_36	ERP27	3905	-3.3290215651504695E-4	0.10451735	No	
row_37	HSPH1	4036	-3.661710361484438E-4	0.09435734	No	
row_38	PIK3R1	4291	-4.537475761026144E-4	0.06302835	No	
row_39	PARP8	4389	-5.04771014675498E-4	0.06560324	No	
row_40	HSPA6	4583	-6.187862018123269E-4	0.05381619	No	
row_41	ABCA7	4650	-6.814178195782006E-4	0.07039133	No	
