K,GEP,spectra_file,Name,pathway,ES,NES,NOM_p,FDR_q,FWER p-val,Tag %,Gene %,leading_edge
20,1,anal_pc5_c21_S1.filtered.gene_spectra_score.k_20.dt_0_01.txt,prerank,HALLMARK_E2F_TARGETS,-0.6272507294998491,-2.381221111131007,0.0,0.0,0.0,43/54,27.88%,CDK1;TOP2A;MKI67;CDKN2A;BIRC5;MCM2;CDC20;TCF19;PLK1;TK1;MCM4;RRM2;PTTG1;CDKN2C;CCNB2;HMGB2;KIF18B;PRDX4;CIT;CDCA3;CKS2;SPC25;HMMR;KPNA2;AURKA;DEPDC1;MYBL2;KIF2C;CDCA8;CENPE;SPAG5;LMNB1;ESPL1;ORC6;DLGAP5;MELK;CDKN1A;EZH2;CENPM;NCAPD2;AURKB;HELLS;DIAPH3
20,1,anal_pc5_c21_S1.filtered.gene_spectra_score.k_20.dt_0_01.txt,prerank,HALLMARK_G2M_CHECKPOINT,-0.5634468449771626,-2.2277413717401173,0.0,0.0,0.0,49/68,27.24%,CDK1;NUSAP1;TOP2A;MKI67;TPX2;SLC12A2;TROAP;BIRC5;MCM2;CDC20;ODC1;KIF23;PLK1;PTTG1;CDKN2C;CCNB2;PRC1;INCENP;CKS2;BUB1;HMMR;E2F1;KPNA2;CENPF;TTK;AURKA;MYBL2;KIF2C;CCND1;CENPE;RAD54L;NEK2;MT2A;NDC80;MEIS1;UBE2C;LMNB1;ESPL1;ORC6;CCNF;KIF11;MAP3K20;FBXO5;SLC7A1;EZH2;CENPA;POLQ;KIF15;AURKB
20,1,anal_pc5_c21_S1.filtered.gene_spectra_score.k_20.dt_0_01.txt,prerank,HALLMARK_COAGULATION,-0.4857688612260369,-2.0870602063459125,0.0,0.0,0.0,46/79,26.10%,GSN;LRP1;MMP14;SERPINA1;PRSS23;CTSB;C1R;A2M;SPARC;PECAM1;CLU;ANXA1;THBS1;C1S;FN1;MMP2;HTRA1;ITGA2;CFB;CTSH;ADAM9;FBN1;LGMN;C1QA;CFD;TIMP3;PLAU;C2;VWF;BMP1;THBD;TIMP1;SH2B2;PLEK;PLAT;CFI;RAPGEF3;DUSP6;PDGFB;SERPING1;GDA;MAFF;MMP11;C3;F3;CRIP2
20,1,anal_pc5_c21_S1.filtered.gene_spectra_score.k_20.dt_0_01.txt,prerank,HALLMARK_ALLOGRAFT_REJECTION,0.7034600197028364,2.042525930963087,0.0,0.0,0.0,40/121,8.90%,FYB1;ZAP70;CD28;CD2;ITGAL;ITK;CD4;CD3E;LTB;IL2RG;ETS1;CD40LG;CD3D;CD96;LCP2;LCK;IL2RA;CD247;IL16;CD7;PTPRC;IL2RB;GBP2;IL12RB1;TRAT1;CD3G;SRGN;HCLS1;MAP4K1;SIT1;IL27RA;FAS;ITGB2;STAT4;STAT1;CSF1;ST8SIA4;CCND2;CCND3;WAS
20,1,anal_pc5_c21_S1.filtered.gene_spectra_score.k_20.dt_0_01.txt,prerank,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,-0.3943993327167241,-1.8991313123779598,0.0,0.0010497900419916017,0.0010050251256281408,93/164,27.18%,IGFBP2;IGFBP4;LRP1;MMP14;FBLN1;GPC1;PFN2;DPYSL3;DST;JUN;ITGB5;RHOB;TGFBI;COL4A2;SPARC;ELN;SLC6A8;VEGFA;QSOX1;COL1A2;LAMC1;CAPG;THBS1;LAMA3;DCN;MATN2;FN1;MMP2;CXCL12;COL3A1;FSTL1;HTRA1;CALD1;LUM;ITGA2;COL4A1;GJA1;COL1A1;SDC4;TPM1;ANPEP;VCAN;FBLN2;WNT5A;NT5E;COL7A1;PDLIM4;FBN1;COL6A3;SERPINH1;DAB2;MXRA5;PMP22;TIMP3;COL6A2;PTHLH;THBS2;SNAI2;FBLN5;FUCA1;BMP1;TIMP1;PLOD2;MGP;ECM1;CTHRC1;EDIL3;PCOLCE;COL5A2;LOX;SAT1;BASP1;SLIT3;COL12A1;SFRP1;TNC;CRLF1;FMOD;SERPINE2;PMEPA1;PLAUR;CDH11;TAGLN;NNMT;PRRX1;BGN;PDGFRB;PVR;THY1;LAMC2;COL16A1;GREM1;MYL9
20,1,anal_pc5_c21_S1.filtered.gene_spectra_score.k_20.dt_0_01.txt,prerank,HALLMARK_ANGIOGENESIS,-0.5080072970192161,-1.7295000362867692,0.013761467889908258,0.01847630473905219,0.021105527638190954,16/29,21.50%,JAG1;TNFRSF21;VEGFA;NRP1;COL3A1;FSTL1;LUM;VCAN;FGFR1;VAV2;THBD;TIMP1;COL5A2;JAG2;SLCO2A1;PDGFA
20,1,anal_pc5_c21_S1.filtered.gene_spectra_score.k_20.dt_0_01.txt,prerank,HALLMARK_ESTROGEN_RESPONSE_LATE,-0.39172609788829305,-1.722066384772376,0.0,0.01609678064387123,0.022110552763819097,43/106,17.78%,CDH1;AGR2;KRT19;IGFBP4;CA12;CXCL14;XBP1;SCNN1A;TFF3;CKB;NBL1;SERPINA1;MDK;PRSS23;TOP2A;KLF4;RAPGEFL1;TSPAN13;CA2;FLNB;BLVRB;CDC20;UGDH;CXCL12;CPE;HR;PLXNB1;SLC26A2;SGK1;KLK11;FOS;KLK10;FGFR3;FABP5;FARP1;SCARB1;OVOL2;NMU;HSPA4L;CCND1;TJP3;CAV1;KIF20A
20,1,anal_pc5_c21_S1.filtered.gene_spectra_score.k_20.dt_0_01.txt,prerank,HALLMARK_IL2_STAT5_SIGNALING,0.5849792454535209,1.7217643801627136,0.0,0.0117951742352368,0.04,37/127,11.38%,CCR4;TRAF1;CTLA4;ICOS;TNFRSF1B;LTB;RORA;BATF;IL2RA;TNFRSF4;PHTF2;IL10RA;IL2RB;FLT3LG;TNFRSF18;TIAM1;CISH;PRKCH;SELL;BCL2;TNFRSF9;IKZF2;RHOH;CDC42SE2;IL18R1;CSF1;CCND2;AGER;TNFRSF8;CCND3;CD48;SLC2A3;FURIN;PIM1;ADAM19;GBP4;IKZF4
20,1,anal_pc5_c21_S1.filtered.gene_spectra_score.k_20.dt_0_01.txt,prerank,HALLMARK_HEDGEHOG_SIGNALING,-0.5764517723390181,-1.6798463355322626,0.022222222222222223,0.02399520095980804,0.03819095477386935,12/17,35.58%,ADGRG1;CELSR1;VEGFA;NRP1;DPYSL2;NRCAM;HEY1;NRP2;THY1;CRMP1;ACHE;VLDLR
20,1,anal_pc5_c21_S1.filtered.gene_spectra_score.k_20.dt_0_01.txt,prerank,HALLMARK_MYOGENESIS,-0.37889777139743924,-1.636797089527352,0.0,0.030968806238752252,0.05628140703517588,44/112,27.08%,GSN;ITGB4;CKB;NQO1;ITGB5;ERBB3;CNN3;COL4A2;SPARC;SLC6A8;CLU;MYH11;MEF2C;COL3A1;SPHK1;COL1A1;EFS;IGFBP7;EPHB3;COL6A3;AEBP1;SOD3;CFD;COL6A2;SCD;DAPK2;CDH13;SVIL;NAV2;CD36;CRYAB;SMTN;COL15A1;MAPK12;GAA;MAPRE3;CDKN1A;GPX3;BDKRB2;FST;TAGLN;IGF1;FHL1;HBEGF
