K,GEP,pathway,NES,pval,fdr,Name,ES,FWER p-val,Tag %,Gene %,Lead_genes,spectra_file
7,1,B_T,-3.318062661750729,0.0,0.0,prerank,-0.7559920898937852,0.0,95/123,17.00%,ARHGEF1;ACAP1;CORO1A;IL2RG;ARHGAP15;TMC8;ITGAL;WIPF1;LAPTM5;EVL;SEPTIN1;ADGRE5;IL16;ARHGAP45;RAC2;ARHGAP9;CD53;TBC1D10C;LTB;LSP1;HCLS1;SRGN;ZFP36;STK17B;CD37;SASH3;PIM2;CYTIP;IL32;ETS1;CD96;PTPRC;FYB1;FCMR;ZAP70;ARHGDIB;LCP1;LPXN;LIMD2;STK4;SPOCK2;ITGB2;CD3E;SH3KBP1;RIPOR2;CD3D;CD52;IL7R;BIN2;CXCR4;GPSM3;LAT;GIMAP4;SELL;PLAC8;CLEC2D;ITK;LCK;CD48;IL2RB;CCL5;GIMAP7;IRF1;DENND2D;GPR183;CDC42SE2;TSC22D3;SEPTIN6;RHOH;GMFG;ISG20;CD247;PTPN22;CD7;NKG7;SKAP1;CST7;CD69;PTGER4;CD3G;RNF213;TAGAP;TNFAIP3;TCF7;SAMD3;PRF1;SH2D1A;SAMSN1;RGS1;PIK3IP1;GNG2;SLC2A3;HCST;GPR65;GZMA,anal_pc5_c21_S1.filtered.gene_spectra_score.k_7.dt_0_01.txt
7,1,CTX_BIG_GROUPS_BRAIN_IMMUNE,-3.260671859515552,0.0,0.0,prerank,-0.7688153180266264,0.0,72/97,12.00%,ARHGEF1;AKNA;ACAP1;CORO1A;IL2RG;ARHGAP15;TMC8;ITGAL;CD74;SEPTIN1;ADGRE5;IL16;ARHGAP45;RAC2;ARHGAP9;TBC1D10C;LTB;FOS;LSP1;HCLS1;SRGN;ZFP36;STK17B;CD37;STK10;CYTIP;IL32;ETS1;CD96;PTPRC;FYB1;FCMR;ARHGDIB;LCP1;FERMT3;LIMD2;ITGB2;CD3E;PTPN6;ABI3;RIPOR2;RCSD1;CD52;BIN2;GPSM3;ICAM3;EVI2B;GIMAP4;SP100;SELL;PLAC8;CLEC2D;LCK;CD48;LY9;GIMAP7;IRF1;DENND2D;KLF2;DOK2;SP110;TSC22D3;RHOH;GMFG;ISG20;DUSP1;CD7;SKAP1;BTN3A2;CD69;RNF213;TAGAP,anal_pc5_c21_S1.filtered.gene_spectra_score.k_7.dt_0_01.txt
7,1,LYMPHOID,-3.1809638156185196,0.0,0.0,prerank,-0.694154668506665,0.0,165/238,21.02%,ARHGEF1;CORO1A;IL2RG;TMC8;SEPTIN1;RAC2;ARHGAP9;TRAF3IP3;TBC1D10C;LTB;JCHAIN;RASAL3;CD2;FMNL1;CD79A;IGKC;RASGRP2;STK17B;MYO1G;CD37;SASH3;CYTIP;IL32;CD96;ITGB7;FCMR;MZB1;CD27;TRBC2;ZAP70;ARHGDIB;PARP15;MAP4K1;MS4A1;ADAM19;IKZF3;LIMD2;CD3E;RIPOR2;TNFRSF13B;CD3D;CD52;IL7R;STK17A;CXCR4;POU2AF1;CD6;GPSM3;ICAM3;LAT;PTPN7;SP140L;ZBP1;IRF4;SLAMF1;PYHIN1;FCRL2;SELL;ITK;THEMIS;LCK;BLK;FCRL5;TIGIT;CARD11;CD22;CCR6;MFNG;CD48;NIBAN3;FCRL1;IL2RB;LY9;GIMAP2;CCR4;CD28;GIMAP7;SLAMF6;AGAP2;CD5;DENND2D;KLRK1;P2RY10;SP110;CD19;RHOH;CD8A;RASGRP1;ISG20;PAX5;CD247;STAT4;P2RX5;CD7;NKG7;CD79B;SIRPG;SKAP1;TESPA1;GPR174;ALOX5AP;BTN3A2;CDHR1;CST7;SLC25A45;SLFN12L;IL21R;CD69;CD3G;TAGAP;GBP5;CXCR5;OXNAD1;ICOS;CCR7;RNF125;SIT1;TMEM156;PRKCQ;CXCR6;DGKA;TCF7;SH2D2A;FCRL3;SAMD3;PRF1;S1PR4;RHOF;CXCR3;CNR2;GPR171;GRK6;SPIB;SH2D1A;TRAT1;SCML4;LAX1;CD40LG;CD72;UBASH3A;STAP1;PTGDR;MATK;GZMK;GZMM;GZMA;TXK;ZNF831;CXorf65;TRGC2;IGHG1;FOXP3;KLRC4;FCRLA;IL2RA;SHISAL2A;EOMES;DTX1;CTLA4;GATA3;FLT3LG;KLRB1;APOBEC3D;GPR18;FASLG,anal_pc5_c21_S1.filtered.gene_spectra_score.k_7.dt_0_01.txt
7,1,INTESTINE_ADULT_CI_MESENCHYMAL,-3.1784235000120815,0.0,0.0,prerank,-0.6398115102260663,0.0,174/261,16.94%,ACAP1;CORO1A;ARHGAP15;TMC8;ITGAL;WIPF1;ARHGAP4;LAPTM5;IKZF1;SEPTIN1;IL16;GPR15;DOCK2;ARHGAP9;TRAF3IP3;CD53;TBC1D10C;RASAL3;CD2;ITGA4;LSP1;ARHGAP30;ANKRD44;CD79A;HCLS1;CYTH4;PARVG;SRGN;MYO1G;NLRP1;CD37;ADA2;SASH3;CYTIP;ADAM28;PTPRC;APBB1IP;ITGB7;FYB1;FCMR;MZB1;DOCK8;CD27;ZAP70;FGD2;ARHGDIB;IL10RA;LCP1;MAP4K1;ADAM19;SP140;SLAMF7;LIMD2;NCKAP1L;CCDC69;ANXA6;SPOCK2;CHST11;ITGB2;CD3E;ABI3;PPP1R16B;SFMBT2;PRDM1;TNFRSF13B;CD3D;RCSD1;CD52;IL7R;INPP5D;POU2AF1;GPSM3;PTPN7;KLHL6;EVI2B;GIMAP4;GLIPR1;ZBP1;TRPV2;IRF4;SLAMF1;FCRL2;SLA;CYBB;PRKCB;LCK;BLK;ALOX5;ADAM8;FCRL5;DERL3;CD300A;EMB;FYN;CEP85L;NCF4;CD48;LY9;PECAM1;ERN1;C16orf54;KCNA3;KCNAB2;GPR183;SELPLG;ELMO1;P2RY10;DOK2;CD19;ARHGAP25;ADGRG5;SEPTIN6;RHOH;GMFG;ISG20;IGFLR1;WAS;POU2F2;AIM2;STAT4;CSF2RB;P2RX5;CD7;FGL2;IL12RB1;GLCCI1;NKG7;MEF2C;CD79B;LILRB1;SELENOM;SKAP1;DUSP5;ALOX5AP;RASSF5;THEMIS2;ATP8B2;CST7;CD69;SUSD3;TAGAP;BTK;RASGRP3;PDK1;RELT;RASA3;EVI2A;SIT1;TMEM156;ITGA8;EAF2;IL27RA;PDE4B;RUNX2;HVCN1;FCGR2B;LAX1;DENND5B;SAMSN1;RGS1;APOBEC3G;SLC7A7;CPNE5;DAPP1;GNG2;S100A4;SLC2A3;CSGALNACT2;HCST;ICAM1;STAP1;GPR65;SYNE3;P2RX1,anal_pc5_c21_S1.filtered.gene_spectra_score.k_7.dt_0_01.txt
7,1,ADRENAL_LYMPHOID,-3.0664303250726497,0.0,0.0,prerank,-0.6916007607988206,0.0,104/133,22.32%,ACAP1;IL2RG;SEPTIN1;TRAF3IP3;TBC1D10C;LTB;JCHAIN;CD2;CD79A;IGKC;MYO1G;CYTIP;IL32;CD96;FCMR;MZB1;CD27;TRBC2;ZAP70;MS4A1;IKZF3;SLAMF7;HSH2D;CD3E;SULT1B1;CD3D;CD52;IL7R;IRF4;SLAMF1;PYHIN1;FCRL2;SELL;PLAC8;ITK;THEMIS;LCK;BLK;ADAM8;FCRL5;TIGIT;CARD11;CCR6;NIBAN3;FCRL1;IL2RB;LY9;SLAMF6;CD5;KLRK1;P2RY10;CD19;BIRC3;RHOH;CD8A;RASGRP1;ISG20;PAX5;CD247;PTPN22;P2RX5;CD7;NKG7;CD79B;SKAP1;CST7;SLFN12L;CD3G;GBP5;CXCR5;ICOS;CCR7;SIT1;TCF7;SH2D2A;FCRL3;PRF1;GPR171;SPIB;SH2D1A;TRAT1;LAX1;SLFN5;UBASH3A;PTGDR;MATK;GZMK;GZMM;GZMA;CCDC88C;SYTL3;CD244;ZNF831;COL4A4;FCRLA;IL2RA;EOMES;CRIP1;KLRB1;GPR18;RUNX3;GZMH;DTHD1;IGHM,anal_pc5_c21_S1.filtered.gene_spectra_score.k_7.dt_0_01.txt
7,1,CTX_BRAIN_NAIVE_LIKE_T,-3.0459343483921866,0.0,0.0,prerank,-0.6938731051325393,0.0,79/110,14.76%,ARHGEF1;ACAP1;CORO1A;IL2RG;ARHGAP15;SEPTIN1;IL16;RAC2;TRAF3IP3;TBC1D10C;LTB;CD2;LSP1;STK17B;PIM2;CYTIP;IL32;ETS1;CD96;PTPRC;FCMR;CD27;ZAP70;ARHGDIB;FGD3;LIMD2;STK4;CD3E;RIPOR2;CD3D;CD52;TC2N;IL7R;CXCR4;JAML;CD6;GPSM3;ICAM3;LAT;GIMAP4;SELL;PLAC8;CLEC2D;ITK;THEMIS;LCK;CD48;LY9;GIMAP7;C16orf54;CYFIP2;CD5;DENND2D;CDC42SE2;TSC22D3;SEPTIN6;RHOH;GMFG;ISG20;CD7;SKAP1;TESPA1;LPIN1;BTN3A2;CD69;CD3G;OXNAD1;ICOS;TNFAIP3;CCR7;DGKA;IL27RA;TCF7;SAMD3;GPR171;SH2D1A;TRAT1;SCML4;CD40LG,anal_pc5_c21_S1.filtered.gene_spectra_score.k_7.dt_0_01.txt
7,1,INTESTINE_LYMPHOID,-3.0277134137644968,0.0,0.0,prerank,-0.6598196829931101,0.0,88/129,21.02%,ACAP1;IL2RG;SEPTIN1;TBC1D10C;LTB;CD2;CD79A;MYO1G;CD96;TRBC2;ZAP70;MS4A1;IKZF3;CD3E;NLRC3;CD3D;CD52;IL7R;CD6;PTPN7;SLAMF1;PYHIN1;ITK;THEMIS;LCK;BLK;CARD11;IL2RB;LY9;CCR4;SLAMF6;CD5;DENND2D;KLRK1;CD8A;PAX5;CD247;PTPN22;STAT4;CD7;GPR68;NKG7;CD79B;SIRPG;SKAP1;TESPA1;CST7;SLFN12L;IL21R;CD69;CD3G;GBP5;CXCR5;ICOS;CCR7;SIT1;CXCR6;TCF7;SH2D2A;PRF1;S1PR4;CXCR3;GPR171;SLA2;SH2D1A;TRAT1;SCML4;LAX1;CD40LG;UBASH3A;STAP1;PTGDR;MATK;GZMK;GZMM;GZMA;TXK;TRGC2;COL4A4;IL2RA;SHISAL2A;EOMES;PLEKHF1;GATA3;KLRD1;KLRB1;GPR18;FASLG,anal_pc5_c21_S1.filtered.gene_spectra_score.k_7.dt_0_01.txt
7,1,CTX_BRAIN_B,-3.0117276061391034,0.0,0.0,prerank,-0.7668651127504329,0.0,47/64,11.74%,ATP2A3;ACAP1;CORO1A;IL2RG;ARHGAP15;CD74;SEPTIN1;RAC2;LTB;LSP1;CD79A;CD37;PIM2;CYTIP;FCMR;MZB1;MS4A1;IKZF3;SP140;LIMD2;PTPN6;RIPOR2;CD52;CXCR4;FCRL2;PLAC8;CLEC2D;ALOX5;CD22;BANK1;CD48;NIBAN3;FCRL1;LY9;SP110;CD19;BIRC3;SEPTIN6;RHOH;ISG20;PAX5;P2RX5;TTN;CD79B;CD55;RALGPS2;CD69,anal_pc5_c21_S1.filtered.gene_spectra_score.k_7.dt_0_01.txt
7,1,KIDNEY_LYMPHOID,-2.983185009339149,0.0,0.0,prerank,-0.6710191161651701,0.0,107/143,23.44%,ACAP1;IL2RG;SEPTIN1;LTB;CD2;CD79A;IGKC;CARMIL2;MYO1G;SASH3;FCMR;CD27;TRBC2;ZAP70;MS4A1;IKZF3;CD3E;CD3D;CD52;IL7R;STK17A;CXCR4;POU2AF1;SLAMF1;PYHIN1;FCRL2;ITK;THEMIS;LCK;BLK;FCRL5;TIGIT;CCDC141;CCR6;NIBAN3;FCRL1;IL2RB;LY9;C16orf54;SLAMF6;CD5;DENND2D;P2RY10;CD19;RHOH;CD8A;RASGRP1;ISG20;PAX5;CD247;PTPN22;P2RX5;CD7;TTN;GPR68;NKG7;CD79B;SIRPG;SKAP1;TESPA1;PBXIP1;CST7;SLFN12L;IL21R;CD69;CD3G;CXCR5;ICOS;CCR7;SIT1;TNFSF14;DGKA;TCF7;SH2D2A;FCRL3;SAMD3;PRF1;S1PR4;CNR2;GPR171;SH2D1A;TRAT1;SCML4;LAX1;APOBEC3G;SLFN5;MATK;GZMK;GZMM;GZMA;ZNF831;FOXP3;IL2RA;SHISAL2A;EOMES;PLEKHF1;CRIP1;FLT3LG;KLRB1;GPR18;RUNX3;LRRN3;GFI1;DTHD1;ZNF101;FCRL6;DUSP2,anal_pc5_c21_S1.filtered.gene_spectra_score.k_7.dt_0_01.txt
7,1,MHC_II_POS_B,-2.9592685568687425,0.0,0.0,prerank,-0.7308539535959809,0.0,54/76,15.08%,ITM2C;CORO1A;LAPTM5;LTB;CD79A;CD37;FCMR;CIITA;PARP15;MS4A1;SP140;LIMD2;HSH2D;PTPN6;RIPOR2;RCSD1;CD52;CXCR4;POU2AF1;IRF8;EVI2B;FCRL2;SELL;PLAC8;CLEC2D;CYBB;MPEG1;PRKCB;SMAP2;CD22;BANK1;RNASET2;NIBAN3;FCRL1;AEBP1;CYFIP2;KLF2;CD19;BIRC3;SEPTIN6;ISG20;PAX5;POU2F2;P2RX5;TTN;CD79B;TLR10;RALGPS2;CXXC5;CCR7;TLR6;MAP3K8;SPIB;TNFRSF13C,anal_pc5_c21_S1.filtered.gene_spectra_score.k_7.dt_0_01.txt
