K,GEP,pathway,NES,pval,fdr,Name,ES,FWER p-val,Tag %,Gene %,Lead_genes,spectra_file
15,1,CTX_BIG_GROUPS_BRAIN_IMMUNE,-3.337840544295563,0.0,0.0,prerank,-0.755603243061574,0.0,78/97,15.00%,ADGRE5;CORO1A;AKNA;CD74;ARHGEF1;IL2RG;ITGAL;ARHGAP15;ACAP1;RAC2;SRGN;TMC8;SEPTIN1;LCP1;ARHGDIB;ARHGAP45;HCLS1;TBC1D10C;ARHGAP9;IL16;LTB;IL32;CD37;STK17B;STK10;PTPRC;LSP1;CYTIP;FERMT3;ETS1;ABI3;ITGB2;CD96;FYB1;CD52;FCMR;CD3E;RCSD1;GPSM3;EVI2B;RIPOR2;ICAM3;GIMAP4;BIN2;SELL;CD48;GIMAP7;KLF2;IRF1;ZFP36;LCK;PTPN6;PLAAT4;EMP3;RHOH;DOK2;TSC22D3;S100A4;CRIP1;RNF213;FOS;GZMA;SP100;CLEC2D;LY9;CD7;IFITM2;ISG20;GMFG;PLAC8;LIMD2;SP110;TAGAP;DENND2D;SKAP1;CLEC2B;IFITM3;CD69,anal_pc5_c21_S1.filtered.gene_spectra_score.k_15.dt_0_01.txt
15,1,B_T,-3.268144750770925,0.0,0.0,prerank,-0.7435639396564799,0.0,92/123,14.18%,ADGRE5;CORO1A;LAPTM5;ARHGEF1;IL2RG;ITGAL;ARHGAP15;WIPF1;ACAP1;RAC2;CD53;SRGN;TMC8;SEPTIN1;LCP1;ARHGDIB;ARHGAP45;HCLS1;TBC1D10C;ARHGAP9;IL16;LTB;IL32;CD37;STK17B;SASH3;PTPRC;LSP1;CYTIP;ETS1;PIM2;ITGB2;CD96;LPXN;SH3KBP1;FYB1;CXCR4;CD52;ZAP70;FCMR;CD3E;SPOCK2;GPSM3;CD3D;RIPOR2;EVL;CCL5;GIMAP4;BIN2;SELL;IL7R;IL2RB;CD48;GIMAP7;IRF1;TNFAIP3;ZFP36;NKG7;LCK;PLAAT4;GPR183;CDC42SE2;ITK;RHOH;STK4;CST7;TSC22D3;RNF213;GZMA;NFKBIA;COTL1;CLEC2D;CD247;CD7;CD3G;IFITM2;ISG20;GMFG;LAT;PTPN22;PLAC8;LIMD2;GNG2;SAMSN1;TAGAP;DENND2D;RGS1;SKAP1;SAMD3;PTGER4;SLC2A3;CLEC2B,anal_pc5_c21_S1.filtered.gene_spectra_score.k_15.dt_0_01.txt
15,1,LYMPHOID,-3.1637577308765485,0.0,0.0,prerank,-0.6604016273153741,0.0,161/238,21.32%,CORO1A;ARHGEF1;IL2RG;RAC2;TMC8;SEPTIN1;ARHGDIB;FMNL1;CD79A;JCHAIN;TBC1D10C;ARHGAP9;LTB;IL32;TRAF3IP3;IGKC;MYO1G;CD2;RASAL3;CD37;STK17B;MZB1;SASH3;ITGB7;CYTIP;RASGRP2;STK17A;CD96;TRBC2;MS4A1;IKZF3;CD27;ADAM19;CXCR4;MAP4K1;POU2AF1;CD52;ZAP70;FCMR;CD3E;CD22;PTPN7;GPSM3;P2RX5;PARP15;CD3D;RIPOR2;ICAM3;IRF4;TNFRSF13B;CARD11;SELL;ZBP1;IL7R;IL2RB;PAX5;CD48;GIMAP7;TIGIT;PYHIN1;THEMIS;CD6;NKG7;BLK;LCK;SLAMF1;KLRK1;ITK;ALOX5AP;CCR4;RHOH;CST7;CCR6;MFNG;GIMAP2;AGAP2;FCRL2;CD8A;SP140L;CD19;CD79B;FCRL5;P2RY10;CD28;NIBAN3;GZMA;IL21R;RASGRP1;SLAMF6;GBP5;FCRL1;CD247;LY9;CD7;CD3G;ISG20;LAT;LIMD2;TESPA1;SIT1;CD5;PTGDR;STAT4;SIRPG;GPR174;CCR7;SP110;TAGAP;DENND2D;SKAP1;SLFN12L;SAMD3;TMEM156;CDHR1;CXCR6;ICOS;LAX1;SH2D2A;RHOF;CXCR5;CD69;CNR2;CXCR3;MME;PRF1;SPIB;CD72;STAP1;GRK6;S1PR4;DTX1;SH2D1A;SLC25A45;FCRL3;GPR171;UBASH3A;RNF125;MATK;TRAT1;SCML4;PRKCQ;KLRC4;GZMM;IGHG1;MYBL1;GZMK;GPR18;CTLA4;BTN3A2;FASLG;FCRLA;TCL1A;TCF7;IL2RA;EOMES;KLRB1;RUNX3;CD40LG;ZNF831;FOXP3;GZMH,anal_pc5_c21_S1.filtered.gene_spectra_score.k_15.dt_0_01.txt
15,1,OLFACTORY_NEUROEPITHELIUM_CD8_T,-3.0414349926474062,0.0,0.0,prerank,-0.7418587439296334,0.0,51/67,15.00%,CORO1A;LAPTM5;IL2RG;ACAP1;RAC2;LCP1;ARHGDIB;TBC1D10C;IL32;TRAC;TRAF3IP3;CD2;STK17B;PTPRC;LSP1;CYTIP;STK17A;CD96;TRBC2;FYB1;CXCR4;CD52;CD3E;TRBC1;JAML;CD3D;EVL;CCL5;IL7R;CD48;TNFAIP3;NKG7;LCK;ALOX5AP;STK4;CST7;TSC22D3;CD8A;GZMA;CLEC2D;CD7;CD3G;GMFG;PTPN22;ID2;SAMSN1;TAGAP;RGS1;PTGER4;CXCR6;CD69,anal_pc5_c21_S1.filtered.gene_spectra_score.k_15.dt_0_01.txt
15,1,INTESTINE_ADULT_CI_MESENCHYMAL,-3.01635465725376,0.0,0.0,prerank,-0.6193577672089453,0.0,175/261,17.24%,TNFRSF17;CORO1A;LAPTM5;IKZF1;ITGAL;ARHGAP15;WIPF1;ACAP1;CD53;SRGN;TMC8;SEPTIN1;DOCK2;LCP1;ARHGDIB;CD79A;HCLS1;TBC1D10C;ARHGAP9;GPR15;IL16;ARHGAP4;TRAF3IP3;MYO1G;ITGA4;CD2;RASAL3;CD37;PARVG;MZB1;SASH3;CYTH4;ADA2;ITGB7;ARHGAP30;PTPRC;LSP1;CYTIP;APBB1IP;KLHL6;ABI3;ITGB2;ANKRD44;DOCK8;ANXA6;SLAMF7;CCDC69;CD27;FYB1;ADAM19;MAP4K1;SP140;POU2AF1;CAV1;PECAM1;CD52;ZAP70;FCMR;CD3E;SPOCK2;FGD2;PRDM1;RCSD1;PPP1R16B;PTPN7;ALOX5;NCKAP1L;IL10RA;NLRP1;GPSM3;P2RX5;EVI2B;CD3D;SLA;NUGGC;IRF4;SFMBT2;TNFRSF13B;CYBB;GIMAP4;GLIPR1;ZBP1;TRPV2;IL7R;CD48;ATP8B2;CHST11;EMB;PRKCB;ADAM8;INPP5D;CD300A;SELENOM;NKG7;PDK1;ADGRG5;BLK;DERL3;LCK;WAS;SLAMF1;NCF4;GPR183;EMP3;AIM2;ALOX5AP;KCNA3;ELMO1;RHOH;CST7;MEF2C;DOK2;FGL2;FCRL2;FYN;S100A4;CD19;CD79B;ERN1;IL12RB1;FCRL5;P2RY10;SELPLG;ADAM28;SUSD3;CEP85L;CSF2RB;LY9;KCNAB2;CD7;NFATC1;ISG20;GMFG;POU2F2;BTK;C16orf54;ARHGAP25;LIMD2;SIT1;RASSF5;RASGRP3;GNG2;THEMIS2;STAT4;SAMSN1;EVI2A;ICAM1;P2RX1;TAGAP;RGS1;PDE4B;DUSP5;SKAP1;SLC2A3;CLEC2B;TMEM156;C1QC;LAX1;LILRB1;CPNE5;FCGR2B;CD69;IGFLR1;RELT;SLC7A5;DAPP1;HVCN1;STAP1;SYNE3;JSRP1;ZEB1;HCST;SEPTIN6;IL27RA;GLCCI1,anal_pc5_c21_S1.filtered.gene_spectra_score.k_15.dt_0_01.txt
15,1,CTX_BRAIN_EFFECTOR_T,-2.949800851335764,0.0,0.0,prerank,-0.6623858566388425,0.0,78/105,22.16%,ADGRE5;CORO1A;AKNA;IL2RG;ITGAL;ACAP1;RAC2;SRGN;SEPTIN1;LCP1;TBC1D10C;STK17B;STK10;PTPRC;LSP1;CYTIP;ABI3;CD96;SLAMF7;ZAP70;CD3E;HSH2D;RIPOR2;ICAM3;FKBP11;GIMAP4;IL2RB;CD48;GIMAP7;ADAM8;IRF1;PYHIN1;NKG7;LCK;PLAAT4;EMP3;CDC42SE2;CST7;DOK2;FYN;S100A4;CRIP1;GZMA;IQGAP2;CD247;CD7;IFITM2;GMFG;PLAC8;FGR;LIMD2;ID2;RASSF5;PLEK;STAT4;DENND2D;SKAP1;SAMD3;CLEC2B;SH2D2A;CD69;PRF1;SH2D1A;HCST;SEPTIN6;GPR65;CD244;BTN3A2;EOMES;KLRB1;SYNE1;CCND3;ARID5A;RUNX3;GZMH;PSMB9;TXK;APOBEC3G,anal_pc5_c21_S1.filtered.gene_spectra_score.k_15.dt_0_01.txt
15,1,KIDNEY_LYMPHOID,-2.945376927428899,0.0,0.0,prerank,-0.6349869928679385,0.0,106/143,25.06%,IL2RG;ACAP1;SEPTIN1;CD79A;LTB;IGKC;MYO1G;CD2;SASH3;CARMIL2;STK17A;TRBC2;MS4A1;IKZF3;CD27;CXCR4;POU2AF1;CD52;ZAP70;FCMR;CD3E;P2RX5;CD3D;IL7R;IL2RB;PAX5;TIGIT;PYHIN1;THEMIS;NKG7;BLK;LCK;PLAAT4;SLAMF1;ITK;RHOH;CST7;CCR6;FCRL2;CD8A;CCDC141;CRIP1;CD19;CD79B;FCRL5;P2RY10;NIBAN3;GZMA;IL21R;RASGRP1;SLAMF6;FCRL1;CD247;LY9;GPR68;CD7;CD3G;ISG20;PTPN22;C16orf54;TTN;TESPA1;SIT1;CD5;SIRPG;CCR7;DENND2D;SKAP1;SLFN12L;SAMD3;ICOS;LAX1;SH2D2A;CXCR5;CD69;CNR2;PRF1;S1PR4;SH2D1A;PBXIP1;FCRL3;GPR171;MATK;TRAT1;TNFSF14;SCML4;GZMM;GZMK;GPR18;TCL1A;TCF7;IL2RA;EOMES;KLRB1;RUNX3;ZNF831;FOXP3;APOBEC3G;CR2;DTHD1;GFI1;FLT3LG;PLEKHF1;FCRL6;SLFN5;SHISAL2A,anal_pc5_c21_S1.filtered.gene_spectra_score.k_15.dt_0_01.txt
15,1,CL12_T_LYMPHOCYTE_NK,-2.9439905459241564,0.0,0.0,prerank,-0.7388441709885188,0.0,47/65,12.76%,CYBA;CORO1A;LAPTM5;IL2RG;WIPF1;CD53;SRGN;ARHGDIB;LTB;IL32;TRAC;CD2;PTPRC;CYTIP;STK17A;TRBC2;CXCR4;CD52;SPOCK2;SSR4;TRBC1;EVI2B;CD3D;CCL5;FNBP1;GLIPR1;IL7R;ITM2A;GIMAP7;TNFAIP3;CD6;GPR183;EMP3;CDC42SE2;ALOX5AP;STK4;CST7;TSC22D3;FYN;S100A4;CRIP1;BIRC3;CLEC2D;CD7;ISG20;SAMSN1;EVI2A,anal_pc5_c21_S1.filtered.gene_spectra_score.k_15.dt_0_01.txt
15,1,CTX_BRAIN_B,-2.941926967773403,0.0,0.0,prerank,-0.714462934103675,0.0,57/64,20.64%,CORO1A;CD74;ATP2A3;IL2RG;ARHGAP15;ACAP1;RAC2;SEPTIN1;CD79A;LTB;CD37;MZB1;LSP1;CYTIP;PIM2;MS4A1;IKZF3;CXCR4;SP140;CD52;FCMR;CD22;ALOX5;P2RX5;RIPOR2;PAX5;CD48;PTPN6;RHOH;FCRL2;CRIP1;CD19;CD79B;CD55;NIBAN3;BIRC3;FCRL1;CLEC2D;LY9;ISG20;PLAC8;TTN;LIMD2;BANK1;SP110;PDE4B;CD69;KIAA0040;SPIB;CD72;SEPTIN6;RALGPS2;AFF3;GPR18;FCRLA;TCL1A;PPP1R14A,anal_pc5_c21_S1.filtered.gene_spectra_score.k_15.dt_0_01.txt
15,1,HEART_LYMPHOID,-2.940590988920661,0.0,0.0,prerank,-0.6801693066754998,0.0,65/87,21.32%,ACAP1;SEPTIN1;JCHAIN;IGKC;CD96;TRBC2;MS4A1;IKZF3;CD27;POU2AF1;CD52;ZAP70;FCMR;CD3D;TNFRSF13B;CARD11;SELL;IL2RB;PAX5;TIGIT;THEMIS;NKG7;BLK;LCK;SLAMF1;KLRK1;ITK;CST7;FCRL2;CD19;CD79B;FCRL5;GZMA;RASGRP1;SLAMF6;FCRL1;LY9;CD7;CD3G;ISG20;SIT1;CD5;SIRPG;CCR7;SKAP1;SAMD3;CXCR6;ICOS;CXCR3;PRF1;SH2D1A;FCRL3;GPR171;UBASH3A;MATK;TRAT1;SCML4;GZMM;GZMK;FCRLA;TCL1A;TCF7;KLRB1;FOXP3;GZMH,anal_pc5_c21_S1.filtered.gene_spectra_score.k_15.dt_0_01.txt
