,DC_pDC,Mac_CXCL9,Mac_IL1B,Mac_IL1Bint,Mac_SPP1,Mast,Mono_CD14,Mono_CD14_ID1,Mono_CD14_IL1B,Mono_CD14_THBS1,Mono_CD16,Mono_Int,Mono_TIL,cDC1_CLEC9A,cDC2_CD1C,cDC2_CD33,mregDC_LAMP3
DC_pDC,1.0,0.9330919692845329,0.7719001031219299,0.6307632842191501,0.5936498759079827,0.9523008284973566,-0.617426522330259,-0.9627086465684168,-0.7957153995981567,-0.9127970861162563,-0.17920667718945146,-0.3703354829732411,0.3165547684352213,0.9083401250661046,0.8921079498374295,-0.8447723220617509,0.9721680381688351
Mac_CXCL9,0.9330919692845329,1.0,0.8328833463901133,0.9174362809526664,0.8456238735647744,0.9495676746325109,-0.6124508929494913,-0.9490123364318487,-0.8018216386570528,-0.9264157821076525,-0.2682343042054283,-0.3084859072550429,0.5218331601475914,0.7950184577742739,0.9159561456378736,-0.8674912752784345,0.9606101570997597
Mac_IL1B,0.7719001031219299,0.8328833463901133,1.0,0.9080488574432294,0.7186673849473236,0.8108790624841574,-0.4318951036659197,-0.5488572640406351,-0.33628295717404505,-0.48707214294456763,-0.037160942956500104,-0.48993542769003307,0.7730141664062831,0.5967960043961458,0.6877226597101181,-0.9306650935019894,0.8850596584717464
Mac_IL1Bint,0.6307632842191501,0.9174362809526664,0.9080488574432294,1.0,0.8589420869023136,0.7059954041523526,-0.5410904235891687,-0.6386123355622132,-0.46042067795523417,-0.583513824271227,-0.3513924190234555,-0.3656869665597518,0.7459052197511733,0.6122999221040094,0.7864298785889838,-0.7566520843225358,0.7017919835951535
Mac_SPP1,0.5936498759079827,0.8456238735647744,0.7186673849473236,0.8589420869023136,1.0,0.6662712577851205,-0.37631934197630235,-0.5499127526295128,-0.5066522188048314,-0.5063961289825317,-0.42100650405686346,-0.3554212058040286,0.43491705671549086,0.5771851561345932,0.7165231993023243,-0.6551611494679138,0.6416015095247469
Mast,0.9523008284973566,0.9495676746325109,0.8108790624841574,0.7059954041523526,0.6662712577851205,1.0,-0.5390588608829479,-0.9452229504952803,-0.7397865155457614,-0.8740351408061047,0.11226763838944596,-0.03858605222616719,0.37171398549558204,0.8756778664636281,0.8894167694127554,-0.8699367310882825,0.9638163739752982
Mono_CD14,-0.617426522330259,-0.6124508929494913,-0.4318951036659197,-0.5410904235891687,-0.37631934197630235,-0.5390588608829479,1.0,0.6261194715189665,0.8275275638217549,0.818660548953215,-0.29751955674004776,0.2731489187354021,-0.2707428571927172,-0.5059397495835369,-0.6106054972446291,0.5380002879174173,-0.6047331779172733
Mono_CD14_ID1,-0.9627086465684168,-0.9490123364318487,-0.5488572640406351,-0.6386123355622132,-0.5499127526295128,-0.9452229504952803,0.6261194715189665,1.0,0.9073972396369385,0.9587010662225661,0.021393819453154096,0.4206058628507381,-0.2202111900379025,-0.8811290645245236,-0.8657998427250051,0.853110210009503,-0.9537639937595824
Mono_CD14_IL1B,-0.7957153995981567,-0.8018216386570528,-0.33628295717404505,-0.46042067795523417,-0.5066522188048314,-0.7397865155457614,0.8275275638217549,0.9073972396369385,1.0,0.9495223439976355,0.08066921208095977,0.3247526697564787,-0.06222035350050522,-0.7636138756526912,-0.7193049405032982,0.7174669031059189,-0.7917039331649481
Mono_CD14_THBS1,-0.9127970861162563,-0.9264157821076525,-0.48707214294456763,-0.583513824271227,-0.5063961289825317,-0.8740351408061047,0.818660548953215,0.9587010662225661,0.9495223439976355,1.0,0.26699534880113757,0.48807120065037596,-0.17043905690937555,-0.8119472943574233,-0.8544772904868225,0.7494252305173628,-0.9107555680883541
