K,n_total_GEPs,n_ambiguous,n_family_level,n_celltype_specific,ambiguity_rate,family_level_rate,celltype_specific_rate,n_unique_celltypes_covered
4,4,2,2,0,0.5,0.5,0.0,0
5,5,3,2,0,0.6,0.4,0.0,0
6,6,4,2,0,0.6666666666666666,0.3333333333333333,0.0,0
7,7,4,2,1,0.5714285714285714,0.2857142857142857,0.14285714285714285,1
8,8,7,1,0,0.875,0.125,0.0,0
9,9,6,2,1,0.6666666666666666,0.2222222222222222,0.1111111111111111,1
10,10,4,3,3,0.4,0.3,0.3,3
11,11,4,3,4,0.36363636363636365,0.2727272727272727,0.36363636363636365,4
12,12,5,3,4,0.4166666666666667,0.25,0.3333333333333333,4
13,13,5,4,4,0.38461538461538464,0.3076923076923077,0.3076923076923077,4
14,14,6,4,4,0.42857142857142855,0.2857142857142857,0.2857142857142857,4
15,15,7,5,3,0.4666666666666667,0.3333333333333333,0.2,3
16,16,11,2,3,0.6875,0.125,0.1875,3
17,17,8,5,4,0.47058823529411764,0.29411764705882354,0.23529411764705882,4
18,18,8,6,4,0.4444444444444444,0.3333333333333333,0.2222222222222222,4
19,19,11,5,3,0.5789473684210527,0.2631578947368421,0.15789473684210525,3
20,20,16,2,2,0.8,0.1,0.1,2
