GEP,DC_pDC,Mac_CXCL9,Mac_IL1B,Mac_IL1Bint,Mac_SPP1,Mast,Mono_CD14,Mono_CD14_ID1,Mono_CD14_IL1B,Mono_CD14_THBS1,Mono_CD16,Mono_Int,Mono_TIL,cDC1_CLEC9A,cDC2_CD1C,cDC2_CD33,mregDC_LAMP3
1,1.0,1.0,1.0,1.0,0.165,1.0,0.0,0.0,0.0,0.999,1.0,1.0,0.0,1.0,1.0,0.058,1.0
2,1.0,1.0,1.0,1.0,0.993,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.769,1.0
3,1.0,0.0,1.0,0.004,0.0,1.0,1.0,0.64,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.602
4,1.0,1.0,1.0,1.0,0.514,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
5,0.0,0.994,1.0,1.0,0.731,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.191
6,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.993
7,0.876,0.0,0.011,0.0,0.0,0.714,1.0,1.0,1.0,1.0,1.0,1.0,0.001,0.0,0.0,1.0,0.0
8,1.0,0.999,1.0,1.0,0.014,1.0,1.0,0.999,1.0,0.834,0.0,0.0,0.996,0.969,1.0,0.001,1.0
9,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.96,0.028,0.0,1.0,0.891
10,1.0,0.0,0.977,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.991,0.422,0.0,1.0,0.988
11,0.0,0.0,1.0,0.0,0.004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.005,0.0,0.81,0.0
12,0.155,0.001,0.89,0.091,0.001,0.993,1.0,1.0,1.0,1.0,1.0,1.0,0.998,0.0,0.0,1.0,0.0
13,1.0,0.0,0.871,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.152,0.054,0.0,1.0,0.999
14,1.0,0.354,1.0,0.988,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.105,0.004,1.0,0.521
15,0.0,0.0,0.486,0.0,0.999,0.983,1.0,0.995,1.0,1.0,0.737,1.0,0.0,0.003,0.0,0.608,0.017
16,0.998,0.868,0.99,0.982,0.253,0.895,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.943,0.0
17,0.142,0.002,0.953,0.062,0.009,0.0,1.0,1.0,1.0,0.42,0.974,1.0,0.944,0.016,0.0,0.195,0.061
18,0.385,0.042,0.041,0.053,0.0,0.208,1.0,1.0,1.0,1.0,1.0,1.0,0.973,0.289,0.04,0.999,0.019
19,0.232,0.045,0.028,0.068,0.023,0.011,1.0,1.0,1.0,1.0,1.0,1.0,0.061,0.043,0.012,0.433,0.026
