membership_label,baseline_group_type,K,gep,median_delta,delta_q25,delta_q75,n_samples,median_ROGUE,median_n_cells,fraction_samples_positive,members_str,delta_IQR
DC_family,family,6,2,-0.19346005130582844,-0.2429137196133937,-0.1149423547363768,16,0.7944095264874084,60.0,0.0,Mono_TIL+cDC2_CD1C+mregDC_LAMP3,0.12797136487701688
DC_family,family,7,2,-0.0796066939363784,-0.13098611353867942,0.013923907541534001,20,0.9108778683011874,25.0,0.35,cDC2_CD1C,0.14491002108021342
DC_family,family,8,2,-0.08019135887169271,-0.1179400485380728,0.012946361479007226,20,0.91892829451534,23.0,0.35,cDC2_CD1C,0.13088641001708
DC_family,family,9,2,-0.07607261501746335,-0.11031831988806123,0.01292605361919305,20,0.9215176200907208,25.0,0.35,cDC2_CD1C,0.12324437350725428
DC_family,family,9,8,-0.0342108761096781,-0.07914072005004825,-0.0035378359580496,11,0.9258735720252302,22.0,0.18181818181818182,mregDC_LAMP3,0.07560288409199865
DC_family,family,10,3,-0.05578326280769025,-0.10650902846779865,0.026939556356071252,22,0.9203368230641625,24.5,0.3181818181818182,cDC2_CD1C,0.1334485848238699
DC_family,family,10,9,-0.0342108761096781,-0.07914072005004825,-0.0035378359580496,11,0.9258735720252302,22.0,0.18181818181818182,mregDC_LAMP3,0.07560288409199865
DC_family,family,11,2,-0.0931566361626266,-0.12713801130411495,0.0002711170535024997,18,0.8726883461069048,26.0,0.2777777777777778,cDC2_CD1C,0.12740912835761745
DC_family,family,11,9,-0.0233868760026237,-0.07914072005004825,-0.0026004648449272005,11,0.9291414544626152,22.0,0.18181818181818182,mregDC_LAMP3,0.07654025520512106
DC_family,family,12,10,-0.0242203846273427,-0.07914072005004825,-0.0026004648449272005,11,0.9283079458378964,22.0,0.18181818181818182,mregDC_LAMP3,0.07654025520512106
DC_family,family,12,3,-0.0663261591804783,-0.1058492624453949,0.018912325124656702,22,0.922645268527941,24.0,0.36363636363636365,Mac_IL1Bint+cDC2_CD1C,0.1247615875700516
DC_family,family,13,10,-0.0242203846273427,-0.07914072005004825,-0.0026004648449272005,11,0.9283079458378964,22.0,0.18181818181818182,mregDC_LAMP3,0.07654025520512106
DC_family,family,13,3,-0.0753185697937858,-0.1302775175140137,0.0259835507929123,23,0.9125104627966424,27.0,0.34782608695652173,Mac_IL1Bint+cDC2_CD1C,0.156261068306926
DC_family,family,14,11,-0.0239425207724822,-0.08289261035408295,-0.013114682052594001,11,0.9422756010989471,22.0,0.18181818181818182,mregDC_LAMP3,0.06977792830148895
DC_family,family,14,3,-0.043836798830968,-0.08951287691155246,0.029936066258149,19,0.9349126503210536,23.0,0.3684210526315789,cDC2_CD1C,0.11944894316970146
DC_family,family,15,8,-0.03630749869046175,-0.07988881337266232,0.024929431362437,8,0.9292230465500024,22.0,0.375,mregDC_LAMP3,0.10481824473509932
DC_family,family,15,9,-0.058626892482415996,-0.08622576815654558,-0.02923494606526765,6,0.8938861361012707,28.5,0.16666666666666666,mregDC_LAMP3,0.056990822091277926
DC_family,family,19,5,-0.0288605895000281,-0.10152595288895652,0.002555968189760025,10,0.933056170960648,25.0,0.3,mregDC_LAMP3,0.10408192107871654
DC_family,family,19,8,-0.0321957857352962,-0.0466414969756163,-0.0195221944659566,7,0.9232233361332292,29.0,0.14285714285714285,mregDC_LAMP3,0.0271193025096597
DC_family,family,20,11,-0.0625609700557067,-0.09546671864928524,-0.0052519042432874,11,0.9150097785106474,22.0,0.18181818181818182,mregDC_LAMP3,0.09021481440599784
DC_family,family,20,7,-0.0160970335301944,-0.035245047823968895,-0.00947948557496405,11,0.9421729141564512,24.0,0.18181818181818182,cDC2_CD1C,0.025765562249004843
DC_family,family,21,10,-0.0002377031199336,-0.00979472455150425,0.011396122592360499,7,0.971932934684026,19.0,0.42857142857142855,cDC1_CLEC9A,0.02119084714386475
DC_family,family,21,13,-0.0224383355654487,-0.0577683953099345,-0.0038880810141408498,11,0.9443624218753094,23.0,0.18181818181818182,mregDC_LAMP3,0.05388031429579365
DC_family,family,22,10,-0.00034160775151740035,-0.014181432446496976,0.0106442609758776,6,0.9738929527789872,20.0,0.3333333333333333,cDC1_CLEC9A,0.024825693422374576
DC_family,family,22,15,-0.0224383355654487,-0.0541798277676164,-0.0038880810141408498,11,0.948549955779736,22.0,0.18181818181818182,mregDC_LAMP3,0.05029174675347555
DC_family,family,23,10,-0.0005570290103808499,-0.00089130785002645,0.010597404026192324,6,0.9734677245573042,19.5,0.3333333333333333,cDC1_CLEC9A,0.011488711876218773
DC_family,family,23,15,-0.0224383355654487,-0.0541798277676164,-0.0038880810141408498,11,0.948549955779736,22.0,0.18181818181818182,mregDC_LAMP3,0.05029174675347555
