,DC_pDC,Mac_CXCL9,Mac_IL1B,Mac_IL1Bint,Mac_SPP1,Mast,Mono_CD14,Mono_CD14_ID1,Mono_CD14_IL1B,Mono_CD14_THBS1,Mono_CD16,Mono_Int,Mono_TIL,cDC1_CLEC9A,cDC2_CD1C,cDC2_CD33,mregDC_LAMP3
DC_pDC,1.0,0.7192844371605661,0.43116382893354127,0.5874473481436436,0.25767701534159854,0.9384564337833008,-0.5820150047304067,-0.9595281782617,-0.8337992247216687,-0.8911465715803496,0.013034181393810724,0.05790413729573383,0.24091220320995083,0.9070631496634617,0.8763975778056129,-0.2266620971757602,0.9548538366885363
Mac_CXCL9,0.7192844371605661,1.0,0.7150106255716131,0.9343565160393095,0.8365313599290838,0.736799454151209,-0.6002805215240975,-0.7568071599141217,-0.676446576137646,-0.672264546449789,0.08572218693954918,-0.7703295869836005,0.5863408624716266,0.6712972723796973,0.8569483859496735,-0.47670288032250047,0.81186409431314
Mac_IL1B,0.43116382893354127,0.7150106255716131,1.0,0.8864378175685202,0.3498154265418983,0.7755107918163893,0.0670930596056539,-0.6469740652005346,-0.309367546518155,-0.3178697056543115,-0.3463531762596654,-0.794119215246687,0.8470070591022937,0.16335619000931212,0.4632383150218012,-0.8421226431106774,0.48795868756449384
Mac_IL1Bint,0.5874473481436436,0.9343565160393095,0.8864378175685202,1.0,0.7706005193121709,0.6389534415341177,-0.47525200125854467,-0.5714955938544376,-0.3986298310771649,-0.45501320088377295,0.04772511541240235,-0.630415525213502,0.7635162936009423,0.5072994372036809,0.7003396118339369,-0.5553787050742335,0.7242842468485772
Mac_SPP1,0.25767701534159854,0.8365313599290838,0.3498154265418983,0.7706005193121709,1.0,0.437144932710762,-0.5293440895110907,-0.37166782410218296,-0.36733093643374076,-0.41399628334006494,0.16037916881206107,-0.18857040912117776,0.33322466059989253,0.45390729453142853,0.6526119007175238,-0.15605367944702753,0.6117071647778113
Mast,0.9384564337833008,0.736799454151209,0.7755107918163893,0.6389534415341177,0.437144932710762,1.0,-0.5910417342100946,-0.9111512990915405,-0.7649376651126593,-0.8108160269620891,-0.08693441871346123,0.04103273818730443,0.5889471005877331,0.8528136336137918,0.8533397580514995,-0.6749875112465819,0.9405589606823757
Mono_CD14,-0.5820150047304067,-0.6002805215240975,0.0670930596056539,-0.47525200125854467,-0.5293440895110907,-0.5910417342100946,1.0,0.692083532179457,0.799138621609039,0.9245059734766207,0.25808484123480474,0.4321342080383562,-0.08906598993735038,-0.7490902079411575,-0.7025805943729598,-0.08001949938938581,-0.6592309812131318
Mono_CD14_ID1,-0.9595281782617,-0.7568071599141217,-0.6469740652005346,-0.5714955938544376,-0.37166782410218296,-0.9111512990915405,0.692083532179457,1.0,0.9247276075667552,0.9567598252743048,0.19463783868326046,-0.08718984835424086,-0.1374306225074493,-0.7936355187087967,-0.8865964211398343,0.7147183667524454,-0.9487582437278674
Mono_CD14_IL1B,-0.8337992247216687,-0.676446576137646,-0.309367546518155,-0.3986298310771649,-0.36733093643374076,-0.7649376651126593,0.799138621609039,0.9247276075667552,1.0,0.9314805774449133,0.11069217899518559,0.06921438662105558,-0.06993495551936924,-0.7960694623347973,-0.7611871695514637,0.6490295956781211,-0.8010782895483086
Mono_CD14_THBS1,-0.8911465715803496,-0.672264546449789,-0.3178697056543115,-0.45501320088377295,-0.41399628334006494,-0.8108160269620891,0.9245059734766207,0.9567598252743048,0.9314805774449133,1.0,0.5295784762093011,0.5133797083408741,-0.009233737290695722,-0.8079237811931347,-0.8624506738214288,0.5397083564819436,-0.8879246373842863
