k	gep	family_label	top1_celltype	top2_celltype	top3_celltype
6	2	DC_family	cDC2_CD1C	mregDC_LAMP3	cDC1_CLEC9A
6	3	Macrophage_family	Mac_CXCL9	Mac_SPP1	Mac_IL1Bint
7	2	DC_family	cDC2_CD1C	cDC1_CLEC9A	cDC2_CD33
7	3	Macrophage_family	Mac_CXCL9	Mac_SPP1	Mac_IL1Bint
8	2	DC_family	cDC2_CD1C	cDC1_CLEC9A	cDC2_CD33
8	3	Macrophage_family	Mac_CXCL9	Mac_IL1Bint	Mac_SPP1
8	7	Macrophage_family	Mac_SPP1	Mac_CXCL9	Mac_IL1Bint
9	2	DC_family	cDC2_CD1C	cDC1_CLEC9A	cDC2_CD33
9	3	Macrophage_family	Mac_CXCL9	Mac_IL1Bint	Mac_SPP1
9	7	Macrophage_family	Mac_SPP1	Mac_CXCL9	Mac_IL1Bint
9	8	DC_family	mregDC_LAMP3	cDC2_CD1C	cDC1_CLEC9A
10	1	Monocyte_family	Mono_CD14_ID1	Mono_CD14_THBS1	Mono_CD14_IL1B
10	3	DC_family	cDC2_CD1C	cDC1_CLEC9A	cDC2_CD33
10	4	Macrophage_family	Mac_CXCL9	Mac_IL1Bint	Mac_SPP1
10	8	Macrophage_family	Mac_SPP1	Mac_CXCL9	Mac_IL1Bint
10	9	DC_family	mregDC_LAMP3	cDC2_CD1C	cDC1_CLEC9A
11	2	DC_family	cDC2_CD1C	cDC1_CLEC9A	cDC2_CD33
11	3	Macrophage_family	Mac_CXCL9	Mac_IL1Bint	Mac_SPP1
11	7	Macrophage_family	Mac_SPP1	Mac_CXCL9	Mac_IL1Bint
11	9	DC_family	mregDC_LAMP3	cDC2_CD1C	cDC1_CLEC9A
12	1	Monocyte_family	Mono_CD14_ID1	Mono_CD14_THBS1	Mono_CD14_IL1B
12	3	DC_family	cDC2_CD1C	cDC1_CLEC9A	cDC2_CD33
12	4	Macrophage_family	Mac_CXCL9	Mac_IL1Bint	Mac_SPP1
12	8	Macrophage_family	Mac_SPP1	Mac_CXCL9	Mac_IL1Bint
12	10	DC_family	mregDC_LAMP3	cDC2_CD1C	cDC1_CLEC9A
13	1	Monocyte_family	Mono_CD14_ID1	Mono_CD14_THBS1	Mono_CD14_IL1B
13	3	DC_family	cDC2_CD1C	cDC1_CLEC9A	cDC2_CD33
13	4	Macrophage_family	Mac_CXCL9	Mac_IL1Bint	Mac_SPP1
13	8	Macrophage_family	Mac_SPP1	Mac_CXCL9	Mac_IL1Bint
13	10	DC_family	mregDC_LAMP3	cDC2_CD1C	cDC1_CLEC9A
13	13	Macrophage_family	Mac_SPP1	Mac_IL1Bint	Mac_CXCL9
14	1	Monocyte_family	Mono_CD14_ID1	Mono_CD14_THBS1	Mono_CD14_IL1B
14	3	DC_family	cDC2_CD1C	cDC1_CLEC9A	cDC2_CD33
14	4	Macrophage_family	Mac_CXCL9	Mac_IL1Bint	Mac_SPP1
14	8	Macrophage_family	Mac_SPP1	Mac_CXCL9	Mac_IL1Bint
14	11	DC_family	mregDC_LAMP3	cDC2_CD1C	cDC1_CLEC9A
15	7	Macrophage_family	Mac_CXCL9	Mac_IL1Bint	Mac_SPP1
15	8	DC_family	mregDC_LAMP3	cDC1_CLEC9A	cDC2_CD1C
15	9	DC_family	mregDC_LAMP3	cDC2_CD1C	cDC1_CLEC9A
16	12	DC_family	mregDC_LAMP3	cDC2_CD1C	cDC1_CLEC9A
17	7	DC_family	cDC1_CLEC9A	mregDC_LAMP3	cDC2_CD1C
18	7	DC_family	mregDC_LAMP3	cDC2_CD1C	cDC1_CLEC9A
18	15	Macrophage_family	Mac_SPP1	Mac_IL1B	Mac_IL1Bint
19	5	DC_family	mregDC_LAMP3	cDC2_CD1C	cDC1_CLEC9A
19	8	DC_family	mregDC_LAMP3	cDC2_CD1C	cDC1_CLEC9A
20	1	Monocyte_family	Mono_CD14_THBS1	Mono_CD14_ID1	Mono_CD14
20	4	Macrophage_family	Mac_CXCL9	Mac_IL1Bint	Mac_SPP1
20	7	DC_family	cDC1_CLEC9A	cDC2_CD1C	cDC2_CD33
20	9	Macrophage_family	Mac_SPP1	Mac_CXCL9	Mac_IL1Bint
20	11	DC_family	mregDC_LAMP3	cDC2_CD1C	cDC1_CLEC9A
