k,gep,celltype,lineage_id,lineage_k_span,lineage_consecutive_span,lineage_size,lineage_dominant_celltype
7,1,Mono_CD14_ID1,0,6,6,6,Mono_CD14_ID1
8,1,Mono_CD14_ID1,0,6,6,6,Mono_CD14_ID1
6,1,Ambiguous/Mixed,0,6,6,6,Mono_CD14_ID1
5,1,Ambiguous/Mixed,0,6,6,6,Mono_CD14_ID1
9,1,Mono_CD14_ID1,0,6,6,6,Mono_CD14_ID1
4,1,Ambiguous/Mixed,0,6,6,6,Mono_CD14_ID1
4,2,Ambiguous/Mixed,1,2,2,2,Ambiguous/Mixed
5,2,Ambiguous/Mixed,1,2,2,2,Ambiguous/Mixed
17,3,Ambiguous/Mixed,2,17,17,156,Ambiguous/Mixed
20,20,Ambiguous/Mixed,2,17,17,156,Ambiguous/Mixed
14,13,Ambiguous/Mixed,2,17,17,156,Ambiguous/Mixed
17,12,Ambiguous/Mixed,2,17,17,156,Ambiguous/Mixed
19,9,Ambiguous/Mixed,2,17,17,156,Ambiguous/Mixed
10,6,Ambiguous/Mixed,2,17,17,156,Ambiguous/Mixed
9,8,DC_family,2,17,17,156,Ambiguous/Mixed
11,5,Ambiguous/Mixed,2,17,17,156,Ambiguous/Mixed
19,18,Ambiguous/Mixed,2,17,17,156,Ambiguous/Mixed
6,2,DC_family,2,17,17,156,Ambiguous/Mixed
18,1,Ambiguous/Mixed,2,17,17,156,Ambiguous/Mixed
15,14,Ambiguous/Mixed,2,17,17,156,Ambiguous/Mixed
16,13,Ambiguous/Mixed,2,17,17,156,Ambiguous/Mixed
18,10,Ambiguous/Mixed,2,17,17,156,Ambiguous/Mixed
5,3,Ambiguous/Mixed,2,17,17,156,Ambiguous/Mixed
8,2,DC_family,2,17,17,156,Ambiguous/Mixed
17,5,Ambiguous/Mixed,2,17,17,156,Ambiguous/Mixed
19,2,DC_pDC,2,17,17,156,Ambiguous/Mixed
17,14,Ambiguous/Mixed,2,17,17,156,Ambiguous/Mixed
19,11,Ambiguous/Mixed,2,17,17,156,Ambiguous/Mixed
13,10,DC_family,2,17,17,156,Ambiguous/Mixed
16,6,Ambiguous/Mixed,2,17,17,156,Ambiguous/Mixed
18,3,Mast,2,17,17,156,Ambiguous/Mixed
16,15,Ambiguous/Mixed,2,17,17,156,Ambiguous/Mixed
18,12,Ambiguous/Mixed,2,17,17,156,Ambiguous/Mixed
20,15,Ambiguous/Mixed,2,17,17,156,Ambiguous/Mixed
5,5,Mast,2,17,17,156,Ambiguous/Mixed
8,4,Ambiguous/Mixed,2,17,17,156,Ambiguous/Mixed
17,7,DC_family,2,17,17,156,Ambiguous/Mixed
19,4,Ambiguous/Mixed,2,17,17,156,Ambiguous/Mixed
11,9,DC_family,2,17,17,156,Ambiguous/Mixed
13,3,DC_family,2,17,17,156,Ambiguous/Mixed
13,12,Ambiguous/Mixed,2,17,17,156,Ambiguous/Mixed
15,9,DC_family,2,17,17,156,Ambiguous/Mixed
6,6,Mast,2,17,17,156,Ambiguous/Mixed
16,8,Ambiguous/Mixed,2,17,17,156,Ambiguous/Mixed
18,5,Ambiguous/Mixed,2,17,17,156,Ambiguous/Mixed
18,14,Ambiguous/Mixed,2,17,17,156,Ambiguous/Mixed
20,8,Ambiguous/Mixed,2,17,17,156,Ambiguous/Mixed
20,17,Ambiguous/Mixed,2,17,17,156,Ambiguous/Mixed
14,10,Ambiguous/Mixed,2,17,17,156,Ambiguous/Mixed
17,9,Ambiguous/Mixed,2,17,17,156,Ambiguous/Mixed
19,6,Ambiguous/Mixed,2,17,17,156,Ambiguous/Mixed
11,2,DC_family,2,17,17,156,Ambiguous/Mixed
13,5,Ambiguous/Mixed,2,17,17,156,Ambiguous/Mixed
