GEP,DC_pDC,Mac_CXCL9,Mac_IL1B,Mac_IL1Bint,Mac_SPP1,Mast,Mono_CD14,Mono_CD14_ID1,Mono_CD14_IL1B,Mono_CD14_THBS1,Mono_CD16,Mono_Int,Mono_TIL,cDC1_CLEC9A,cDC2_CD1C,cDC2_CD33,mregDC_LAMP3
1,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0036470588235294117,1.0,1.0,0.03388235294117647,1.0,0.8581647058823529,0.0,0.0,0.0,0.0
2,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.010625,1.0,1.0,0.049,1.0,1.0,0.0,0.0,0.0,0.0
3,0.0,0.0,1.0,0.004888888888888889,0.0,1.0,0.9305454545454545,0.0168,1.0,1.0,0.000875,1.0,1.0,0.0,0.0,0.00028571428571428574,0.00016666666666666666
4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0074248366013071904,1.0,1.0,0.4910374331550802,1.0,0.11905882352941177,0.0,0.0,0.0,0.0
5,0.012333333333333333,0.0,1.0,0.0015714285714285717,0.0,1.0,1.0,0.0509,1.0,1.0,0.004875,1.0,1.0,0.0,0.0,0.0,0.0
6,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.000125,1.0,1.0,0.00011111111111111112,1.0,1.0,0.0,0.0,0.0,0.0
7,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.000125,1.0,1.0,0.00044444444444444447,1.0,1.0,0.0,0.0,0.0,0.0
8,1.0,0.014999999999999998,0.7479,0.09075,0.01175,0.009,1.0,0.10877777777777778,1.0,1.0,1.0,1.0,1.0,0.0094,0.021,0.05585714285714286,0.0105
9,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.08225,1.0,0.01809090909090909,0.0,0.0,0.0,0.0
10,0.8360000000000001,1.0,0.63825,1.0,1.0,0.0,1.0,0.5175,1.0,0.7153333333333333,0.6245999999999999,0.6241666666666666,1.0,0.90525,1.0,1.0,1.0
11,1.0,0.7579999999999999,0.425,0.23185714285714284,1.0,1.0,1.0,0.004,1.0,1.0,0.26387499999999997,0.7788181818181817,0.2253333333333333,0.0,0.0,0.002,0.1054
12,0.361,0.14533333333333331,0.4157142857142857,0.32625000000000004,1.0,1.0,1.0,1.0,1.0,1.0,0.1835,1.0,0.475375,1.0,0.059000000000000004,0.31066666666666665,1.0
13,0.00014285714285714287,0.00016666666666666666,1.0,0.029199999999999997,0.0,0.0,1.0,0.017666666666666667,1.0,1.0,0.5743636363636363,1.0,1.0,0.0,0.0002,0.002875,0.0
14,1.0,0.0,0.0,0.0,0.0,0.2478,1.0,0.014750000000000001,1.0,1.0,1.0,1.0,0.24636363636363637,0.0008571428571428572,0.0,0.04844444444444444,0.0
15,0.21977052074139453,0.0023536334215945864,0.28578993821712273,0.26087504728281424,0.937393350985584,1.0,0.29420417769932333,1.0,0.7416151809355693,1.0,1.0,0.9994326062287228,1.0,0.0,0.6,0.0,0.0
16,0.4146666666666667,0.9095,0.370375,0.30842857142857144,0.024249999999999997,1.0,1.0,0.0204,0.8241818181818181,1.0,0.2433333333333333,1.0,0.5372,0.0,0.0,1.0,0.0
17,0.3555833333333333,0.0,0.0025,0.0024000000000000002,0.0,0.003,1.0,0.1484,0.6745000000000001,1.0,0.4996923076923077,1.0,0.2320909090909091,0.00425,0.003,0.013222222222222222,0.0006666666666666666
18,0.04314285714285715,0.0,0.6527857142857144,0.03525,0.002,0.8921764705882353,0.3194,0.025666666666666667,0.8223125,0.3349090909090909,0.13922222222222222,0.5866153846153846,0.056125,0.006999999999999999,0.0282,0.8219333333333334,0.4543333333333333
19,0.17863550797105712,0.1781533367509013,0.2422142478969351,0.29751750102947233,0.003000176480969469,0.937113947879287,0.2739161127125125,0.39402317783399016,0.7986469792340727,0.726951852782784,0.20567876541757357,0.8213816499009746,0.853987734572622,0.8102619481818258,0.08900523560209425,0.1912334712499428,0.8674356410105573
20,0.07644921060470658,0.4,1.0,0.9431797871476156,1.0,1.0,0.9742627345844505,0.06895045179227485,0.0904208689731478,0.41865951742627344,0.1760301856816602,0.15811736669645518,0.029073577599046767,0.009214576506801709,0.0038129282097110516,0.006196008340780459,0.9964452388044881
21,0.9981764705882353,0.16033333333333333,1.0,1.0,0.038,0.0385,0.8634285714285714,0.09162500000000001,0.7101538461538462,0.43454545454545457,0.4168333333333333,0.4369,0.3893333333333333,0.1032857142857143,0.16725,0.1195,0.1428
22,0.6623969637668267,1.0,1.0,1.0,1.0,0.12186443693293009,1.0,0.32116788321167883,0.32116788321167883,0.6655844155844156,1.0,0.7069916384984879,0.9864792741505072,0.9994069857083556,1.0,1.0,1.0
23,0.019375,0.0015,0.0021666666666666666,0.0018571428571428573,0.0,0.0026,0.103,0.041999999999999996,0.1235,0.16935714285714287,0.161,0.5963125,0.8368235294117647,0.09918181818181818,0.002333333333333333,0.4883333333333334,0.00225
24,1.0,1.0,1.0,1.0,0.9589728096676737,0.24108761329305134,0.35333333333333333,0.35333333333333333,1.0,0.35333333333333333,0.35333333333333333,0.35333333333333333,1.0,1.0,1.0,0.0,0.0
25,0.018399847725398134,1.0,0.0,1.0,1.0,0.9876276885984392,0.3583535108958838,0.0,0.0,0.0,0.3583535108958838,0.0,0.0,0.0,0.0,0.0,0.0
26,0.5032142857142857,0.013666666666666666,0.00475,0.023,0.0,0.0,0.20154545454545456,0.020875,0.792235294117647,0.5394615384615384,0.2315833333333333,0.4799333333333333,0.09649999999999999,0.0036666666666666666,0.0086,0.6453749999999999,0.020428571428571428
27,0.8308666666666668,0.0024000000000000002,0.00175,0.025750000000000002,0.0,0.0,0.9285294117647059,0.8288571428571428,0.15736363636363634,0.9233125,0.02733333333333333,0.8413076923076923,0.1022,0.025666666666666667,0.0013333333333333333,0.4095,0.023142857142857142
28,0.7360000000000001,0.00875,0.5118,0.7563571428571428,0.0,0.0,0.9999411764705882,0.121875,0.9588,0.7841666666666667,0.2912222222222222,1.0,0.8390909090909091,0.027,0.011333333333333332,0.011333333333333332,0.008199999999999999
29,1.0,0.0016,0.9524000000000001,0.013285714285714286,0.0005,0.0,0.956,0.028125,0.9647142857142857,0.2907272727272727,0.07277777777777777,0.8877692307692309,0.5219999999999999,0.0016666666666666663,0.002,0.1395,0.00175
30,0.46122809973045825,0.7614583333333332,0.6557930424528302,0.3107311320754717,1.0,0.9619509139150944,1.0,0.5314504716981132,1.0,0.9319200257289879,0.6985185731132075,0.9123968160377358,1.0,0.9846108490566038,0.822435141509434,0.9190856313497824,0.5345911949685535
31,1.0,1.0,1.0,0.989480827960638,1.0,1.0,0.36981010621177984,0.0,0.0,0.0,0.0,0.0,1.0,0.9657381415101131,1.0,0.0,0.0
32,0.284888684573455,0.06738031128915742,0.0,0.0,0.931503250804492,0.9792309713009786,0.9195132706001556,0.0,0.0,0.29217836737374403,0.3598420755781162,0.0,0.2602121232022066,0.11407368490181914,0.0,0.0,0.10520785446903527
33,1.0,1.0,1.0,1.0,1.0,0.970778093982092,0.3609718472811415,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
