GEP,DC_pDC,Mac_CXCL9,Mac_IL1B,Mac_IL1Bint,Mac_SPP1,Mast,Mono_CD14,Mono_CD14_ID1,Mono_CD14_IL1B,Mono_CD14_THBS1,Mono_CD16,Mono_Int,Mono_TIL,cDC1_CLEC9A,cDC2_CD1C,cDC2_CD33,mregDC_LAMP3
1,1.0,0.999,1.0,1.0,0.0,1.0,1.0,0.0,0.927,1.0,0.0,0.0,1.0,0.213,0.0,0.0,1.0
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.981,1.0,1.0,1.0,1.0
3,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,0.0,1.0,1.0
4,0.212,0.0,0.0,0.0,0.0,0.999,1.0,0.894,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.002,0.08
5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.904,0.153,1.0,0.954
6,1.0,0.075,0.0,0.0,0.64,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.044,1.0,0.997
7,0.423,0.0,0.038,0.0,0.0,0.386,1.0,1.0,1.0,1.0,0.982,1.0,0.668,0.001,0.0,0.998,0.0
8,1.0,0.0,0.262,0.0,0.0,0.999,1.0,1.0,1.0,1.0,1.0,1.0,0.993,0.996,0.247,1.0,1.0
9,0.829,0.0,0.0,0.0,0.0,0.58,1.0,1.0,0.963,0.705,0.858,1.0,0.0,0.0,0.0,0.976,0.0
10,1.0,0.0,1.0,0.945,0.292,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.001
11,0.001,0.0,0.255,0.0,0.037,0.856,1.0,1.0,1.0,1.0,0.935,1.0,0.0,0.0,0.0,1.0,0.0
12,1.0,0.002,1.0,0.0,0.218,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.436,0.0,0.0,0.061
13,0.905,0.853,0.972,0.999,0.989,0.994,1.0,1.0,1.0,1.0,0.997,1.0,1.0,0.142,0.0,1.0,0.0
14,0.999,0.0,0.0,0.0,0.0,0.528,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.829,0.339
15,0.0,0.0,0.0,0.0,0.0,0.667,1.0,1.0,1.0,1.0,1.0,1.0,0.067,0.002,0.0,0.999,0.0
16,0.999,0.961,1.0,1.0,0.873,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.782,0.877,1.0,0.905
17,0.0,0.086,0.723,0.02,0.104,0.464,1.0,1.0,1.0,1.0,0.011,0.998,0.845,0.02,0.004,0.437,0.0
18,0.656,0.001,0.307,0.42,0.0,0.179,1.0,0.793,1.0,1.0,0.669,1.0,0.991,0.153,0.094,0.241,0.012
19,0.671,0.044,0.037,0.077,0.021,0.007,1.0,0.993,0.983,0.997,0.997,1.0,0.17,0.062,0.001,0.429,0.015
20,0.054,0.043,0.029,0.0,0.02,0.016,1.0,1.0,1.0,0.979,0.991,1.0,0.304,0.272,0.045,0.86,0.021
21,0.051,0.042,0.989,0.068,0.0,0.019,1.0,0.697,1.0,0.981,0.818,0.999,0.998,0.166,0.035,0.309,0.022
