sample,members_str,ROGUE,n_cells
GSM4138156,Mono_CD14+Mono_CD16,0.9322540907900484,734
GSM4138135,Mac_CXCL9+Mac_IL1B+Mac_IL1Bint,0.6816557003952799,664
GSM4138142,Mono_CD14+Mono_CD16,0.9271894213412561,468
GSM4138132,Mono_CD14+Mono_Int,0.9605309142964024,555
GSM4138136,Mono_CD14+Mono_CD16+Mono_Int,0.9393889781999186,548
GSM4138110,Mono_CD14+Mono_CD14_THBS1,0.9660212560179537,466
GSM4138137,Mac_CXCL9+Mac_IL1Bint,0.761732242965101,532
GSM4138130,Mono_CD14+Mono_CD16+Mono_Int,0.9276561159403772,542
GSM4138138,Mono_CD14+Mono_CD16,0.9107663246825695,451
GSM4138128,Mono_CD14+Mono_CD16+Mono_Int,0.9325835242245374,459
GSM4138122,Mono_CD14+Mono_CD16+Mono_Int,0.9325835242245374,459
GSM4138160,Mono_CD14+Mono_CD14_THBS1,0.9629738427447219,414
GSM4138166,Mono_CD14+Mono_CD16,0.9390333936946579,348
GSM4138152,Mono_CD14_ID1+Mono_CD14_IL1B+Mono_CD16,0.9202501241556037,321
GSM4138146,Mono_CD14+Mono_CD16+Mono_Int,0.9146879847108832,424
GSM4138165,Mono_CD14+Mono_CD16,0.9349851744354144,378
GSM4138154,Mono_CD14+Mono_CD14_ID1,0.9435923514360012,239
GSM4138112,Mono_CD14+Mono_CD16,0.9269019046195429,279
GSM4138114,Mono_CD14+Mono_CD16,0.9435624615259739,259
GSM4138124,Mono_CD14+Mono_CD14_THBS1,0.9767957010268139,261
GSM4138118,Mono_CD14_ID1+Mono_CD14_IL1B,0.9312070996557353,246
GSM4138150,Mono_CD14+Mono_CD14_IL1B+Mono_CD16,0.9457020308667065,156
GSM4138117,Mac_CXCL9+Mac_IL1Bint,0.7362195140250878,155
GSM4138148,Mono_CD14+Mono_CD14_IL1B+Mono_CD16,0.933785684760638,133
GSM4138155,Mono_CD14_IL1B+Mono_TIL,0.820199630441298,153
GSM4138129,Mac_CXCL9+Mac_IL1Bint+Mac_SPP1,0.7770789867223864,115
GSM4138121,Mac_IL1B+Mac_IL1Bint,0.7225875147160605,100
GSM4138127,Mono_CD14+Mono_TIL,0.8413446062155883,158
GSM4138135,Mac_CXCL9+Mac_IL1Bint,0.7632316635813241,489
GSM4138139,Mac_CXCL9+Mac_IL1Bint+Mac_SPP1,0.7194840347234641,254
GSM4138135,Mac_IL1B+Mac_IL1Bint,0.7284675293300349,475
GSM4138145,cDC1_CLEC9A+cDC2_CD1C,0.7486392659880026,128
GSM4138137,Mac_IL1B+Mac_IL1Bint,0.7539283344570963,455
GSM4138145,cDC1_CLEC9A+cDC2_CD1C+cDC2_CD33,0.7589719326351644,208
GSM4138141,cDC2_CD1C+mregDC_LAMP3,0.7731301381704301,122
GSM4138143,cDC2_CD1C+mregDC_LAMP3,0.7822217728158789,98
GSM4138155,Mac_CXCL9+Mac_IL1Bint+Mac_SPP1,0.6940923135792879,175
GSM4138139,cDC1_CLEC9A+cDC2_CD1C+mregDC_LAMP3,0.8654475863182531,75
GSM4138115,cDC2_CD1C+mregDC_LAMP3,0.842555574112626,71
GSM4138133,Mac_CXCL9+Mac_IL1Bint,0.7666782330887913,156
GSM4138141,Mac_CXCL9+Mac_IL1Bint,0.8547699371403533,82
GSM4138143,cDC1_CLEC9A+cDC2_CD1C+cDC2_CD33,0.8044692841139369,106
GSM4138129,Mac_CXCL9+Mac_SPP1,0.8387508717916442,69
GSM4138133,cDC1_CLEC9A+cDC2_CD1C,0.837895779932257,77
GSM4138111,cDC1_CLEC9A+cDC2_CD1C,0.7607164948863999,64
GSM4138139,cDC1_CLEC9A+cDC2_CD1C,0.9135708527317322,49
GSM4138131,cDC2_CD1C+mregDC_LAMP3,0.7424014241048098,139
GSM4138139,Mac_CXCL9+Mac_IL1Bint,0.7551354202559911,192
GSM4138155,Mac_IL1Bint+Mac_SPP1,0.7030832914493763,151
GSM4138123,Mac_CXCL9+Mac_IL1Bint,0.7371778308270944,476
GSM4138142,Mono_CD14+Mono_CD14_IL1B,0.969521173126793,443
GSM4138134,Mono_CD14+Mono_CD16+Mono_Int,0.9602791102336062,1176
GSM4138152,Mono_CD14+Mono_CD14_ID1+Mono_CD14_IL1B,0.945434455044499,285
GSM4138146,Mono_CD16+Mono_Int,0.9447317719620639,275
GSM4138130,Mono_CD16+Mono_Int,0.9549350790503085,236
GSM4138156,Mono_CD16+Mono_Int,0.9543220486590858,235
GSM4138136,Mono_CD16+Mono_Int,0.9606716870332501,219
GSM4138140,Mono_CD14+Mono_CD16+Mono_Int,0.932640251997318,647
GSM4138132,Mono_CD14+Mono_CD16+Mono_Int,0.9481681679798477,613
GSM4138141,Mono_CD14+Mono_CD14_IL1B,0.9470342486322597,197
GSM4138166,Mono_CD16+Mono_Int,0.9599057077391306,161
GSM4138138,Mono_CD16+Mono_Int,0.9575188782456614,179
GSM4138142,Mono_CD16+Mono_Int,0.9506209605043026,166
GSM4138112,Mono_CD16+Mono_Int,0.9434800776238902,141
GSM4138144,Mono_CD14+Mono_CD14_THBS1,0.9743525714916008,140
GSM4138165,Mono_CD14+Mono_CD16+Mono_Int,0.9325597169182318,412
GSM4138110,Mono_CD16+Mono_Int,0.9688289635826547,123
GSM4138162,Mono_CD16+Mono_Int,0.9595336240385465,105
GSM4138152,Mono_CD16+Mono_Int,0.9335733812182851,126
GSM4138150,Mono_CD14+Mono_CD14_IL1B,0.9732404623896018,121
