sample,K,gep,label,label_kind,ROGUE,n_cells
GSM4138134,12,1,Monocyte_family,family,0.9817416654165514,806
GSM4138116,12,1,Monocyte_family,family,0.9471155441026594,680
GSM4138126,12,1,Monocyte_family,family,0.9714797976755328,673
GSM4138156,12,1,Monocyte_family,family,0.9574145194074412,648
GSM4138120,12,1,Monocyte_family,family,0.898753974517315,511
GSM4138142,12,1,Monocyte_family,family,0.9590551423533857,484
GSM4138110,12,1,Monocyte_family,family,0.9638236131614044,460
GSM4138140,12,1,Monocyte_family,family,0.9704447545199038,455
GSM4138132,12,1,Monocyte_family,family,0.9735784084305488,415
GSM4138160,12,1,Monocyte_family,family,0.9425071165839447,409
GSM4138134,12,2,Mono_CD16,specific,0.9568656122662837,405
GSM4138123,12,4,Macrophage_family,family,0.7546716853363291,394
GSM4138136,12,1,Monocyte_family,family,0.9607384914510859,383
GSM4138138,12,1,Monocyte_family,family,0.9755994958497483,371
GSM4138163,12,1,Monocyte_family,family,0.9557540440270056,346
GSM4138125,12,8,Macrophage_family,family,0.7530610780414143,337
GSM4138128,12,2,Mono_CD16,specific,0.9056794850748091,328
GSM4138122,12,2,Mono_CD16,specific,0.9056794850748091,328
GSM4138162,12,1,Monocyte_family,family,0.9774367354160801,319
GSM4138135,12,4,Macrophage_family,family,0.7893858926309236,305
GSM4138130,12,1,Monocyte_family,family,0.957370217862306,301
GSM4138152,12,1,Monocyte_family,family,0.9398724046220661,300
GSM4138146,12,2,Mono_CD16,specific,0.9287535037083647,291
GSM4138154,12,1,Monocyte_family,family,0.9049546515737832,289
GSM4138130,12,2,Mono_CD16,specific,0.9382069714811001,280
GSM4138118,12,1,Monocyte_family,family,0.9127132672535798,267
GSM4138165,12,1,Monocyte_family,family,0.9525759349300199,264
GSM4138156,12,2,Mono_CD16,specific,0.9411989662363411,261
GSM4138136,12,2,Mono_CD16,specific,0.9172528911685482,250
GSM4138166,12,1,Monocyte_family,family,0.9608818991559301,250
GSM4138140,12,2,Mono_CD16,specific,0.9362096179272406,235
GSM4138135,12,6,Ambiguous/Mixed,ambiguous,0.7575591886487226,232
GSM4138114,12,1,Monocyte_family,family,0.9505665352214498,231
GSM4138124,12,1,Monocyte_family,family,0.9816022492791028,227
GSM4138137,12,4,Macrophage_family,family,0.8175382565948595,225
GSM4138132,12,2,Mono_CD16,specific,0.9495863480116273,220
GSM4138158,12,1,Monocyte_family,family,0.9600257014766186,219
GSM4138167,12,1,Monocyte_family,family,0.9823820954320386,210
GSM4138128,12,1,Monocyte_family,family,0.9760949476629251,208
GSM4138122,12,1,Monocyte_family,family,0.9760949476629251,208
GSM4138141,12,1,Monocyte_family,family,0.9087016356660621,207
GSM4138166,12,2,Mono_CD16,specific,0.9236322539734074,204
GSM4138138,12,2,Mono_CD16,specific,0.9511591255886162,200
GSM4138142,12,2,Mono_CD16,specific,0.9432529314583887,198
GSM4138145,12,1,Monocyte_family,family,0.8545163101233489,185
GSM4138112,12,1,Monocyte_family,family,0.9587812895740635,184
GSM4138145,12,3,DC_family,family,0.7699996296091056,183
GSM4138155,12,3,DC_family,family,0.7332891326839841,176
GSM4138165,12,2,Mono_CD16,specific,0.9000884783998548,166
GSM4138112,12,2,Mono_CD16,specific,0.914159614990162,165
GSM4138144,12,1,Monocyte_family,family,0.9436351263659076,162
GSM4138110,12,2,Mono_CD16,specific,0.9222028464616959,161
GSM4138155,12,1,Monocyte_family,family,0.8392213139754352,159
GSM4138146,12,1,Monocyte_family,family,0.9478180664779089,159
GSM4138137,12,6,Ambiguous/Mixed,ambiguous,0.8119506974155409,156
GSM4138131,12,9,Ambiguous/Mixed,ambiguous,0.8034996340198713,154
GSM4138162,12,2,Mono_CD16,specific,0.9117051000554128,145
GSM4138152,12,2,Mono_CD16,specific,0.9220154256462135,142
GSM4138155,12,6,Ambiguous/Mixed,ambiguous,0.7372703557647856,132
GSM4138139,12,6,Ambiguous/Mixed,ambiguous,0.8274806935347054,126
GSM4138117,12,1,Monocyte_family,family,0.8439776538915225,124
GSM4138150,12,1,Monocyte_family,family,0.9453497235757008,124
GSM4138127,12,1,Monocyte_family,family,0.9318019085576424,120
GSM4138167,12,2,Mono_CD16,specific,0.9149475725474278,120
GSM4138139,12,1,Monocyte_family,family,0.8918918299345874,114
GSM4138127,12,5,Ambiguous/Mixed,ambiguous,0.7621139970993723,113
GSM4138144,12,2,Mono_CD16,specific,0.9270735286286377,111
GSM4138131,12,7,DC_pDC,specific,0.9051170331450963,111
GSM4138124,12,2,Mono_CD16,specific,0.9090537922850496,110
GSM4138135,12,1,Monocyte_family,family,0.9335179694893234,109
GSM4138114,12,2,Mono_CD16,specific,0.889533430250398,108
GSM4138148,12,1,Monocyte_family,family,0.9472388843963009,107
GSM4138161,12,7,DC_pDC,specific,0.8669479000470499,107
GSM4138137,12,1,Monocyte_family,family,0.9110988355360403,106
GSM4138143,12,3,DC_family,family,0.7687836398699405,102
GSM4138131,12,4,Macrophage_family,family,0.8232304870710896,101
GSM4138161,12,3,DC_family,family,0.7583812722599772,101
GSM4138161,12,1,Monocyte_family,family,0.8979564509330547,99
GSM4138141,12,3,DC_family,family,0.8229794749797104,98
GSM4138164,12,1,Monocyte_family,family,0.9723886827775335,90
GSM4138121,12,6,Ambiguous/Mixed,ambiguous,0.7581664616825258,89
GSM4138139,12,4,Macrophage_family,family,0.8299297747767115,89
GSM4138127,12,6,Ambiguous/Mixed,ambiguous,0.8540132491449073,87
GSM4138125,12,1,Monocyte_family,family,0.9403428052585113,86
GSM4138126,12,2,Mono_CD16,specific,0.9577658372124283,85
GSM4138123,12,5,Ambiguous/Mixed,ambiguous,0.6937423267115566,84
GSM4138139,12,8,Macrophage_family,family,0.7734365979554109,84
GSM4138111,12,5,Ambiguous/Mixed,ambiguous,0.7336139091041234,84
GSM4138137,12,8,Macrophage_family,family,0.8274979387254913,80
GSM4138115,12,3,DC_family,family,0.8269327831841607,80
GSM4138143,12,1,Monocyte_family,family,0.8581069965280834,79
GSM4138133,12,3,DC_family,family,0.8725697581061181,79
GSM4138120,12,2,Mono_CD16,specific,0.9172179113831989,76
GSM4138131,12,5,Ambiguous/Mixed,ambiguous,0.7090515421290053,74
GSM4138141,12,7,DC_pDC,specific,0.915848528113676,73
GSM4138129,12,1,Monocyte_family,family,0.9356483030719154,71
GSM4138155,12,8,Macrophage_family,family,0.7386207611638049,70
GSM4138133,12,4,Macrophage_family,family,0.8187510221435998,70
GSM4138160,12,2,Mono_CD16,specific,0.9602521359547022,69
GSM4138111,12,3,DC_family,family,0.7916917692613848,67
GSM4138163,12,2,Mono_CD16,specific,0.9376290798982274,67
GSM4138131,12,3,DC_family,family,0.8578654581382575,64
GSM4138150,12,2,Mono_CD16,specific,0.929194523924484,64
GSM4138111,12,7,DC_pDC,specific,0.8970584604838131,64
GSM4138131,12,10,DC_family,family,0.8698342079353883,63
GSM4138131,12,1,Monocyte_family,family,0.9428500335630593,63
GSM4138117,12,5,Ambiguous/Mixed,ambiguous,0.7762236581522801,62
GSM4138141,12,2,Mono_CD16,specific,0.973525328845283,61
GSM4138133,12,5,Ambiguous/Mixed,ambiguous,0.7968224087220419,60
GSM4138131,12,6,Ambiguous/Mixed,ambiguous,0.8772837296617222,60
GSM4138139,12,11,Mast,specific,0.966827109414383,59
GSM4138117,12,4,Macrophage_family,family,0.8464430332194695,58
GSM4138164,12,2,Mono_CD16,specific,0.9231836927110376,57
GSM4138137,12,5,Ambiguous/Mixed,ambiguous,0.820588746531474,57
GSM4138113,12,1,Monocyte_family,family,0.9244230885146714,56
GSM4138148,12,2,Mono_CD16,specific,0.9226793120388355,54
GSM4138157,12,3,DC_family,family,0.8129768990298566,53
GSM4138141,12,10,DC_family,family,0.8827440521678653,53
