sample,cluster,ROGUE,n_cells,K
GSM4138134,1,0.8009349220054187,1213,5
GSM4138156,1,0.776355232063089,919,5
GSM4138126,1,0.8173354905137313,758,5
GSM4138116,1,0.859371379109354,703,5
GSM4138140,1,0.7679126546651347,700,5
GSM4138142,1,0.7867247532501151,689,5
GSM4138132,1,0.7870556449345798,643,5
GSM4138136,1,0.7652558660213421,641,5
GSM4138110,1,0.765934054063788,628,5
GSM4138120,1,0.7597617078099183,609,5
GSM4138130,1,0.747308068155535,585,5
GSM4138138,1,0.7448671491841459,576,5
GSM4138123,2,0.5069929253338512,550,5
GSM4138122,1,0.7481539949767005,544,5
GSM4138128,1,0.7481539949767005,544,5
GSM4138135,2,0.5608213082977449,493,5
GSM4138162,1,0.7470047792507324,485,5
GSM4138160,1,0.783443093597136,485,5
GSM4138166,1,0.749060945816818,467,5
GSM4138146,1,0.77662844271595,461,5
GSM4138152,1,0.7554541147667851,461,5
GSM4138137,2,0.5829815326556347,460,5
GSM4138165,1,0.8134654228660645,437,5
GSM4138163,1,0.8050522566964953,424,5
GSM4138131,2,0.5481370807633487,409,5
GSM4138125,2,0.5222436591220427,379,5
GSM4138112,1,0.7604982223829433,354,5
GSM4138114,1,0.7178172776629057,352,5
GSM4138154,1,0.7541586415490623,352,5
GSM4138167,1,0.7376511976956837,340,5
GSM4138124,1,0.8168114355048526,340,5
GSM4138155,2,0.4020248243037008,300,5
GSM4138144,1,0.7270185312203947,298,5
GSM4138141,1,0.7783078465015263,294,5
GSM4138118,1,0.7912998378884278,292,5
GSM4138139,2,0.5276131496352204,286,5
GSM4138145,1,0.6788800962690202,283,5
GSM4138158,1,0.7196611437429762,276,5
GSM4138133,2,0.49224031705129145,239,5
GSM4138141,2,0.49069567182207197,235,5
GSM4138135,4,0.6655154574608457,209,5
GSM4138155,1,0.6716669527302973,190,5
GSM4138150,1,0.7954643602335368,190,5
GSM4138148,1,0.7293031733137194,177,5
GSM4138145,2,0.5290554800118505,166,5
GSM4138127,2,0.516510980142954,164,5
GSM4138143,2,0.47183315421309235,159,5
GSM4138117,2,0.551369393548389,157,5
GSM4138164,1,0.6632213173363477,155,5
GSM4138143,1,0.6767165608052454,153,5
GSM4138117,1,0.6547635452584017,150,5
GSM4138127,1,0.7882837975125394,148,5
GSM4138139,1,0.7440298487074075,145,5
GSM4138161,1,0.6811064532424085,140,5
GSM4138111,2,0.4492827510733103,139,5
GSM4138139,4,0.7351670575850319,137,5
GSM4138111,1,0.6289742677346245,137,5
GSM4138161,2,0.423598730151052,136,5
GSM4138155,4,0.5524766676612429,136,5
GSM4138137,4,0.6816725440262829,131,5
GSM4138125,1,0.7225873981375035,130,5
GSM4138129,2,0.5904608682118773,122,5
GSM4138131,1,0.7377180551419839,121,5
GSM4138135,1,0.8227733245122055,118,5
GSM4138127,4,0.6942803519290281,117,5
GSM4138137,1,0.7874088187076314,115,5
GSM4138161,3,0.6642839320753771,113,5
GSM4138131,3,0.770009426012463,112,5
GSM4138115,2,0.5176269431078434,110,5
GSM4138113,1,0.6936200981745061,93,5
GSM4138131,4,0.6533071891703248,91,5
GSM4138129,1,0.7924706521254149,89,5
GSM4138121,4,0.5960238926984958,85,5
GSM4138157,2,0.5455031481891356,80,5
GSM4138159,2,0.49815086563531885,74,5
GSM4138141,3,0.7691440720988321,74,5
GSM4138111,3,0.7306837910795208,71,5
GSM4138139,5,0.8957384433307878,60,5
GSM4138121,2,0.4653456973579384,57,5
GSM4138155,3,0.6419443112744279,52,5
GSM4138157,1,0.7760360169834343,52,5
GSM4138119,2,0.4443364169296169,52,5
GSM4138123,3,0.7621059905834507,50,5
GSM4138119,1,0.683425063965852,50,5
GSM4138159,1,0.7874202611865803,50,5
GSM4138133,1,0.8446542431203785,48,5
GSM4138143,3,0.739744480552004,48,5
GSM4138145,3,0.8115984452625263,46,5
GSM4138161,4,0.7080783228409984,46,5
GSM4138121,1,0.707031928190198,43,5
GSM4138113,2,0.535797206037002,42,5
GSM4138113,3,0.6948370691947664,38,5
GSM4138145,4,0.8278727297671292,37,5
GSM4138153,2,0.5410862180268877,36,5
GSM4138127,3,0.796862152296404,33,5
GSM4138123,4,0.7826696090062183,32,5
GSM4138147,3,0.7755449615425429,32,5
GSM4138143,5,0.8950298348571784,31,5
GSM4138111,5,0.7832546385021528,30,5
GSM4138115,1,0.8255615434489147,30,5
GSM4138123,1,0.8252550589842411,27,5
GSM4138129,4,0.7879952699313671,27,5
GSM4138112,3,0.9237606894906527,25,5
GSM4138129,3,0.902722853392227,25,5
GSM4138139,3,0.8799495661933338,23,5
GSM4138160,3,0.9330947094262356,23,5
GSM4138133,3,0.9302309656056432,22,5
GSM4138149,2,0.7297604817993426,22,5
GSM4138135,5,0.9137892601834748,21,5
GSM4138110,3,0.9037155870768937,21,5
GSM4138168,3,0.8594731152159931,20,5
GSM4138128,3,0.9316163617394202,20,5
GSM4138115,3,0.7754522290610413,20,5
GSM4138122,3,0.9316163617394202,20,5
GSM4138155,5,0.8713549729660728,19,5
GSM4138147,2,0.6643402369371318,19,5
GSM4138141,4,0.863234365572386,19,5
GSM4138153,1,0.823227593935746,19,5
GSM4138131,5,0.9248409247287176,19,5
GSM4138135,3,0.9006052738554986,18,5
GSM4138157,4,0.8695267711307134,17,5
GSM4138170,2,0.7697983510415942,17,5
GSM4138130,3,0.9596062877736368,17,5
GSM4138162,3,0.957084277467433,17,5
GSM4138157,3,0.8849035526924534,17,5
GSM4138171,2,0.7707100717852355,17,5
GSM4138163,3,0.966903494800651,16,5
GSM4138172,1,0.8220002165075082,16,5
GSM4138151,3,0.9039811549183868,15,5
