K,GEP,n_samples,median_ROGUE,mean_ROGUE,min_ROGUE,max_ROGUE,total_cells
3,1,56,0.754,0.754,0.623,0.855,18670
3,2,27,0.51,0.534,0.391,0.841,6412
3,3,30,0.844,0.834,0.601,0.973,1048
4,1,56,0.763,0.761,0.64,0.874,18689
4,2,28,0.527,0.541,0.398,0.779,5302
4,3,29,0.88,0.842,0.642,0.973,1016
4,4,13,0.708,0.725,0.546,0.87,1077
5,1,56,0.763,0.758,0.629,0.859,18739
5,2,28,0.528,0.552,0.402,0.799,4935
5,3,29,0.88,0.842,0.642,0.973,1018
5,4,13,0.708,0.724,0.552,0.87,1084
5,5,7,0.896,0.893,0.783,0.965,195
6,1,55,0.761,0.756,0.615,0.863,18765
6,2,26,0.53,0.551,0.424,0.809,2447
6,3,19,0.66,0.666,0.525,0.89,2313
6,4,13,0.696,0.72,0.542,0.88,1139
6,5,28,0.893,0.869,0.66,0.973,948
6,6,7,0.897,0.893,0.786,0.965,193
7,1,55,0.776,0.767,0.62,0.863,18525
7,2,30,0.639,0.67,0.45,0.926,1465
7,3,19,0.66,0.675,0.532,0.86,2296
7,4,17,0.579,0.591,0.465,0.802,1049
7,5,13,0.699,0.711,0.549,0.828,1177
7,6,28,0.885,0.866,0.651,0.973,961
7,7,7,0.897,0.897,0.813,0.965,192
8,1,55,0.774,0.767,0.626,0.863,18563
8,2,30,0.636,0.67,0.452,0.926,1444
8,3,13,0.684,0.696,0.578,0.842,1559
8,4,17,0.576,0.593,0.469,0.791,978
8,5,13,0.699,0.706,0.555,0.87,1184
8,6,29,0.879,0.861,0.651,0.973,980
8,7,8,0.63,0.636,0.518,0.747,660
8,8,7,0.897,0.897,0.813,0.965,192
9,1,55,0.777,0.773,0.655,0.863,18437
9,2,30,0.643,0.671,0.458,0.922,1467
9,3,13,0.693,0.712,0.585,0.904,1455
9,4,14,0.59,0.61,0.493,0.791,730
9,5,13,0.692,0.699,0.551,0.87,1202
9,6,29,0.879,0.86,0.651,0.973,979
9,7,8,0.629,0.635,0.514,0.75,657
9,8,11,0.813,0.805,0.693,0.939,329
9,9,7,0.897,0.897,0.813,0.965,192
10,1,53,0.855,0.843,0.671,0.934,12669
10,2,46,0.836,0.838,0.55,0.97,5361
10,3,33,0.651,0.681,0.459,0.912,1585
10,4,15,0.694,0.733,0.585,0.904,1556
10,5,13,0.691,0.699,0.556,0.867,1223
10,6,14,0.59,0.612,0.507,0.788,744
10,7,28,0.869,0.855,0.651,0.967,968
10,8,8,0.632,0.644,0.515,0.783,690
10,9,11,0.813,0.804,0.693,0.939,329
10,10,7,0.897,0.897,0.813,0.965,192
11,1,55,0.764,0.761,0.643,0.863,18705
11,2,28,0.629,0.658,0.457,0.941,1355
11,3,12,0.694,0.707,0.584,0.851,1314
11,4,12,0.721,0.71,0.561,0.851,1013
11,5,13,0.591,0.597,0.499,0.707,666
11,6,28,0.873,0.858,0.651,0.974,963
11,7,8,0.627,0.637,0.517,0.75,667
11,8,4,0.792,0.795,0.678,0.921,230
11,9,11,0.814,0.807,0.709,0.94,329
11,10,7,0.897,0.898,0.813,0.965,191
12,1,53,0.858,0.844,0.671,0.932,12592
12,2,45,0.83,0.837,0.541,0.99,5435
12,3,32,0.652,0.68,0.461,0.912,1573
12,4,14,0.711,0.723,0.585,0.897,1434
12,5,14,0.595,0.606,0.509,0.731,733
12,6,12,0.723,0.71,0.559,0.848,1043
12,7,28,0.869,0.855,0.651,0.967,969
12,8,8,0.628,0.639,0.517,0.756,699
12,9,4,0.785,0.786,0.678,0.896,240
12,10,11,0.814,0.808,0.71,0.94,328
12,11,7,0.897,0.898,0.813,0.965,191
13,1,53,0.853,0.842,0.66,0.932,12660
13,2,46,0.836,0.838,0.552,0.962,5417
13,3,32,0.642,0.672,0.449,0.912,1691
13,4,12,0.7,0.702,0.584,0.816,1415
13,5,14,0.594,0.614,0.511,0.788,721
13,6,28,0.869,0.855,0.651,0.967,968
13,7,11,0.737,0.729,0.594,0.886,878
13,8,8,0.633,0.642,0.533,0.756,703
13,9,4,0.804,0.789,0.679,0.868,242
13,10,11,0.814,0.808,0.71,0.94,328
13,11,7,0.897,0.898,0.813,0.965,191
14,1,53,0.857,0.847,0.678,0.932,12475
14,2,48,0.835,0.838,0.554,0.959,5542
14,3,29,0.66,0.695,0.458,0.912,1313
14,4,14,0.714,0.729,0.586,0.902,1449
14,5,11,0.789,0.787,0.572,0.919,357
14,6,14,0.59,0.604,0.511,0.693,734
14,7,27,0.879,0.859,0.642,0.967,957
14,8,8,0.633,0.64,0.524,0.752,714
14,9,11,0.774,0.741,0.589,0.892,792
14,10,5,0.783,0.77,0.681,0.855,261
14,11,11,0.814,0.802,0.694,0.939,328
14,12,7,0.897,0.897,0.786,0.965,193
