sample,cluster,ROGUE,n_cells,K
GSM4138134,1,0.9375022092914893,1212,9
GSM4138156,1,0.8941287005804951,911,9
GSM4138126,1,0.9524984459421777,757,9
GSM4138116,1,0.9295774111559684,701,9
GSM4138140,1,0.9257737344992634,692,9
GSM4138142,1,0.8990559128916908,682,9
GSM4138132,1,0.931604132369899,640,9
GSM4138136,1,0.9151286572377852,632,9
GSM4138110,1,0.9188732496763385,621,9
GSM4138120,1,0.8622278369830793,591,9
GSM4138130,1,0.9188261994959755,584,9
GSM4138138,1,0.9054689187492133,572,9
GSM4138128,1,0.9037870864893426,534,9
GSM4138122,1,0.9037870864893426,534,9
GSM4138160,1,0.9217339520227159,480,9
GSM4138162,1,0.9161076214719268,466,9
GSM4138166,1,0.8883168491082583,456,9
GSM4138146,1,0.8957010475087053,453,9
GSM4138152,1,0.8966682914070914,445,9
GSM4138165,1,0.8946226388164885,431,9
GSM4138163,1,0.9236938356608395,414,9
GSM4138123,3,0.7156020742106713,388,9
GSM4138112,1,0.8784565288273578,349,9
GSM4138154,1,0.8684664843281709,345,9
GSM4138114,1,0.8945477984308865,341,9
GSM4138124,1,0.939316236569276,337,9
GSM4138167,1,0.8960337037364978,333,9
GSM4138125,7,0.6990419066560769,326,9
GSM4138118,1,0.9025207988684305,288,9
GSM4138141,1,0.8589754618946721,286,9
GSM4138135,3,0.7507310947727838,285,9
GSM4138144,1,0.8964372205675685,276,9
GSM4138158,1,0.9287166590483318,266,9
GSM4138135,5,0.7430699560429299,243,9
GSM4138145,1,0.8280475122229481,229,9
GSM4138137,3,0.8053420142512585,219,9
GSM4138150,1,0.8997570528556955,188,9
GSM4138145,2,0.7024987419531653,178,9
GSM4138155,1,0.7964997467661603,175,9
GSM4138155,2,0.6266185759648164,172,9
GSM4138148,1,0.8514418018063459,167,9
GSM4138135,1,0.8814652584693637,167,9
GSM4138137,5,0.7576368415835499,167,9
GSM4138131,3,0.7634067946602715,165,9
GSM4138139,1,0.8393089938183075,163,9
GSM4138117,1,0.7667678443907462,160,9
GSM4138164,1,0.8764570382233937,148,9
GSM4138127,1,0.8500034276542444,146,9
GSM4138137,1,0.8654764940689047,143,9
GSM4138131,1,0.8530791165052869,141,9
GSM4138139,5,0.8078106203953401,140,9
GSM4138155,5,0.6864326252728821,137,9
GSM4138143,1,0.8048464020597195,132,9
GSM4138161,1,0.8462945568394182,117,9
GSM4138127,4,0.7095921514737951,115,9
GSM4138127,5,0.7810420370327625,112,9
GSM4138111,1,0.7958231835123908,112,9
GSM4138131,6,0.8800814779915587,110,9
GSM4138125,1,0.8920173341541183,108,9
GSM4138131,5,0.7532958896879534,107,9
GSM4138161,6,0.8292133355754832,107,9
GSM4138143,2,0.7156094639682562,100,9
GSM4138141,2,0.7235470788962528,95,9
GSM4138161,2,0.6579326635538165,95,9
GSM4138121,5,0.6922269181199261,92,9
GSM4138129,1,0.8771727969742895,91,9
GSM4138139,3,0.7837897525960433,90,9
GSM4138123,4,0.6570581909808415,86,9
GSM4138131,4,0.6832371858693378,84,9
GSM4138113,1,0.8151816891427283,82,9
GSM4138111,4,0.6862103397704962,78,9
GSM4138115,2,0.7527562236420579,77,9
GSM4138141,6,0.8882469191880943,72,9
GSM4138137,7,0.7775527636779986,70,9
GSM4138155,7,0.6529999744409951,70,9
GSM4138133,2,0.7756199143670567,69,9
GSM4138139,7,0.7253198692609512,68,9
GSM4138133,1,0.8889510271077985,65,9
GSM4138133,3,0.7514633406094264,64,9
GSM4138111,2,0.7290599199312959,64,9
GSM4138131,8,0.8152785306698975,63,9
GSM4138111,6,0.8922855170586885,63,9
GSM4138131,2,0.7861937234302464,60,9
GSM4138117,3,0.7861522564642781,59,9
GSM4138139,9,0.954392453358975,59,9
GSM4138137,4,0.752590742204051,58,9
GSM4138117,4,0.7415752680947725,57,9
GSM4138133,4,0.7347304284780456,57,9
GSM4138141,3,0.7985261076665768,56,9
GSM4138161,5,0.7746904933385586,55,9
GSM4138139,2,0.823099057002914,54,9
GSM4138159,1,0.9110484782110913,54,9
GSM4138141,8,0.8416797320919569,53,9
GSM4138155,6,0.8268653204988696,51,9
GSM4138157,1,0.8977614957418594,50,9
GSM4138157,2,0.7229217383099633,49,9
GSM4138123,6,0.8975763485769659,48,9
GSM4138121,1,0.8472257435378228,47,9
GSM4138119,1,0.8519489744810701,46,9
GSM4138159,2,0.7157781662283377,45,9
GSM4138143,6,0.8740057886304822,45,9
GSM4138145,6,0.9147704153933427,45,9
GSM4138143,8,0.8322611579814276,43,9
GSM4138123,2,0.6446001554728529,41,9
GSM4138123,5,0.8346984968485932,41,9
GSM4138129,7,0.8566354780274117,40,9
GSM4138161,4,0.7137313336854174,40,9
GSM4138141,4,0.7212758861119555,37,9
GSM4138125,3,0.8403136300233883,36,9
GSM4138145,5,0.8948546609672002,35,9
GSM4138129,3,0.8865047835799298,34,9
GSM4138137,2,0.7562952968790834,33,9
GSM4138139,4,0.7719942280387374,33,9
GSM4138123,1,0.8761316697346604,33,9
GSM4138113,6,0.9011511681561437,33,9
GSM4138129,5,0.8323016548718482,32,9
GSM4138135,7,0.8046911461588422,32,9
GSM4138147,6,0.8800969637734649,31,9
GSM4138135,4,0.8006160528679718,31,9
GSM4138135,2,0.8388354532559534,31,9
GSM4138143,9,0.9499099441330963,31,9
GSM4138135,8,0.881353640916401,30,9
GSM4138111,9,0.8570514282209254,28,9
GSM4138155,3,0.8383700366015931,28,9
GSM4138127,6,0.9313771396418056,28,9
GSM4138115,1,0.9485455650631966,27,9
GSM4138127,7,0.8807180749629699,27,9
GSM4138125,2,0.8075236094123377,26,9
GSM4138113,2,0.8039725218493025,26,9
GSM4138119,2,0.7161899449712597,25,9
GSM4138112,6,0.9480145225252716,25,9
GSM4138129,6,0.9522192501682015,25,9
GSM4138155,8,0.8152075747183686,25,9
GSM4138119,7,0.7561324723701853,24,9
GSM4138153,2,0.8126481541930819,23,9
GSM4138160,6,0.9637168406872293,23,9
GSM4138139,6,0.9333160959033334,22,9
GSM4138139,8,0.9236926261728877,22,9
GSM4138144,2,0.9279660876668893,22,9
GSM4138123,8,0.9008442792778086,21,9
GSM4138129,2,0.8696851377040018,21,9
GSM4138110,6,0.9492793865854678,21,9
GSM4138141,5,0.914362194075249,21,9
GSM4138135,9,0.9632808291710414,21,9
GSM4138117,2,0.9398643539533955,20,9
GSM4138122,6,0.9671572886913489,20,9
GSM4138168,6,0.9011449212070114,20,9
GSM4138128,6,0.9671572886913489,20,9
GSM4138133,6,0.9722280129792089,20,9
GSM4138157,5,0.9111557480273209,20,9
GSM4138155,4,0.8841853123507959,20,9
GSM4138133,8,0.8674481408221775,19,9
GSM4138162,2,0.9637106819697441,19,9
GSM4138127,2,0.9603079231151149,19,9
GSM4138155,9,0.9304048836734371,19,9
GSM4138131,9,0.9536975701437346,19,9
GSM4138115,8,0.9032273396047752,19,9
GSM4138135,6,0.9277395526018997,19,9
GSM4138115,6,0.9225313235859189,19,9
GSM4138113,4,0.7442920661885164,18,9
GSM4138120,2,0.9252430382036522,18,9
GSM4138171,2,0.9132533172181801,18,9
GSM4138172,2,0.876801661908376,18,9
GSM4138145,8,0.945295907805724,18,9
GSM4138152,2,0.9362273118864531,17,9
GSM4138130,6,0.9655214820192857,17,9
GSM4138121,2,0.8364558903526779,17,9
GSM4138153,1,0.9395629613281227,17,9
GSM4138162,6,0.9844611143723536,17,9
GSM4138157,6,0.9528870226328386,16,9
GSM4138143,4,0.8994536080368971,16,9
GSM4138163,6,0.9903020421816136,16,9
GSM4138121,6,0.8867434722193563,16,9
GSM4138159,3,0.9067446106577051,16,9
GSM4138137,8,0.9508347199820469,16,9
GSM4138117,9,0.9843483876594742,15,9
GSM4138134,6,0.975264804294986,15,9
GSM4138147,2,0.8958648233412956,15,9
GSM4138151,6,0.9660966498243028,15,9
GSM4138115,3,0.9626012103085497,15,9
