sample,family_label,ROGUE,n_cells
GSM4138134,Monocyte_family,0.9410485429569853,1201
GSM4138156,Monocyte_family,0.9167116740181982,864
GSM4138126,Monocyte_family,0.9623325213123659,738
GSM4138116,Monocyte_family,0.9356410662228491,700
GSM4138135,Macrophage_family,0.6765538050497086,669
GSM4138140,Monocyte_family,0.9284917187678045,663
GSM4138142,Monocyte_family,0.9105389447020064,656
GSM4138132,Monocyte_family,0.9413957856153596,625
GSM4138110,Monocyte_family,0.9409287255397858,612
GSM4138136,Monocyte_family,0.93574894216463,606
GSM4138137,Macrophage_family,0.7123966978801426,598
GSM4138120,Monocyte_family,0.8804318804463878,566
GSM4138130,Monocyte_family,0.9279459889325397,559
GSM4138138,Monocyte_family,0.9098459075420868,555
GSM4138123,Macrophage_family,0.6663496182803235,514
GSM4138128,Monocyte_family,0.9387534921924471,469
GSM4138122,Monocyte_family,0.9387534921924471,469
GSM4138160,Monocyte_family,0.9337532623043155,462
GSM4138162,Monocyte_family,0.9332018460170413,443
GSM4138146,Monocyte_family,0.9073296154918153,431
GSM4138166,Monocyte_family,0.9180130997240444,422
GSM4138152,Monocyte_family,0.8994943158939991,422
GSM4138165,Monocyte_family,0.9139846097275931,415
GSM4138125,Macrophage_family,0.7005572872018726,396
GSM4138163,Monocyte_family,0.9503206463280962,392
GSM4138139,Macrophage_family,0.6732381015940644,358
GSM4138124,Monocyte_family,0.9472376266358208,330
GSM4138112,Monocyte_family,0.8946449236969324,329
GSM4138154,Monocyte_family,0.893874551575479,320
GSM4138114,Monocyte_family,0.9088712579514326,313
GSM4138167,Monocyte_family,0.9387547199124826,305
GSM4138141,Monocyte_family,0.8023148416926681,295
GSM4138131,Monocyte_family,0.7553954724453573,287
GSM4138118,Monocyte_family,0.9068497002678895,277
GSM4138155,Macrophage_family,0.6038625125792432,263
GSM4138158,Monocyte_family,0.939605677701438,254
GSM4138144,Monocyte_family,0.9186427742863945,241
GSM4138145,DC_family,0.692471637143761,224
GSM4138127,Macrophage_family,0.7320561857108934,199
GSM4138155,DC_family,0.6315021493649268,187
GSM4138127,Monocyte_family,0.8078748102097194,186
GSM4138131,Macrophage_family,0.7217298789439051,179
GSM4138155,Monocyte_family,0.7933858616374801,178
GSM4138150,Monocyte_family,0.9289503951380711,176
GSM4138145,Monocyte_family,0.8843481055596976,173
GSM4138141,DC_family,0.679201469606746,163
GSM4138117,Macrophage_family,0.7018089635080957,162
GSM4138131,DC_family,0.6811733814485004,161
GSM4138133,Macrophage_family,0.7176261817204176,159
GSM4138143,DC_family,0.7000515593569699,153
GSM4138148,Monocyte_family,0.9118144747063113,147
GSM4138139,Monocyte_family,0.8213529324355006,134
GSM4138164,Monocyte_family,0.9252861109556445,131
GSM4138161,Monocyte_family,0.7912046732537138,127
GSM4138129,Macrophage_family,0.7276843190978783,126
GSM4138161,DC_family,0.6065901732606009,124
GSM4138133,DC_family,0.697361961507952,110
GSM4138117,Monocyte_family,0.8525171831304832,108
GSM4138121,Macrophage_family,0.6664774594002526,106
GSM4138111,DC_family,0.6349829952708956,105
GSM4138115,DC_family,0.7226113874170712,103
GSM4138111,Monocyte_family,0.8035274934011722,101
GSM4138135,Monocyte_family,0.8453348774613081,98
GSM4138125,Monocyte_family,0.9233914118473125,94
GSM4138141,Macrophage_family,0.7649853408709772,92
GSM4138145,Macrophage_family,0.742389032905532,89
GSM4138143,Macrophage_family,0.7083670934592786,84
GSM4138111,Macrophage_family,0.6882776456797236,79
GSM4138143,Monocyte_family,0.8403953885768513,79
GSM4138113,Monocyte_family,0.846278627382188,78
GSM4138139,DC_family,0.7665754651974331,77
GSM4138161,Macrophage_family,0.6853272576716716,76
GSM4138122,DC_family,0.9316647538837497,76
GSM4138128,DC_family,0.9316647538837497,76
GSM4138129,Monocyte_family,0.9103137796242897,75
GSM4138137,Monocyte_family,0.8642474257748602,67
GSM4138123,DC_family,0.6667997738663793,67
GSM4138157,Macrophage_family,0.745323439639108,63
