sample,K,gep,label,label_kind,membership_label,baseline_group_type,members_str,ROGUE,n_cells,baseline_ROGUE,delta_ROGUE,baseline_ROGUE_mean,baseline_ROGUE_min,baseline_ROGUE_max,delta_ROGUE_vs_mean,delta_ROGUE_vs_max,recommendation
GSM4138134,3,1,Ambiguous/Mixed,ambiguous,Ambiguous/Mixed,ambiguous,Mono_CD14,0.9375265302853202,1213,,,,,,,,ambiguous
GSM4138156,3,1,Ambiguous/Mixed,ambiguous,Mono_CD14+Mono_CD16,subgroup,Mono_CD14+Mono_CD16,0.8872548812707727,921,0.9128966862778196,-0.025641805007046936,0.9633644190841484,0.9585151707269228,0.968213667441374,-0.0761095378133757,-0.08095878617060137,GEP_less_pure_than_subgroup
GSM4138126,3,1,Ambiguous/Mixed,ambiguous,Ambiguous/Mixed,ambiguous,Mono_CD14,0.952463858652414,758,,,,,,,,ambiguous
GSM4138135,3,2,Ambiguous/Mixed,ambiguous,Mac_CXCL9+Mac_IL1B+Mac_IL1Bint,subgroup,Mac_CXCL9+Mac_IL1B+Mac_IL1Bint,0.6564988257794164,757,0.6755859448332522,-0.019087119053835755,0.7496906212351554,0.734814502091345,0.7758895693138232,-0.09319179545573897,-0.11939074353440682,GEP_less_pure_than_subgroup
GSM4138116,3,1,Ambiguous/Mixed,ambiguous,Ambiguous/Mixed,ambiguous,Mono_CD14_THBS1,0.917358931747166,704,,,,,,,,ambiguous
GSM4138140,3,1,Ambiguous/Mixed,ambiguous,Ambiguous/Mixed,ambiguous,Mono_CD14,0.9132339081662536,702,,,,,,,,ambiguous
GSM4138142,3,1,Ambiguous/Mixed,ambiguous,Mono_CD14+Mono_CD16,subgroup,Mono_CD14+Mono_CD16,0.8939122300750916,689,0.9156160425173518,-0.021703812442260273,0.9733671567050426,0.9692746178042908,0.9774596956057944,-0.07945492662995102,-0.0835474655307028,GEP_less_pure_than_subgroup
GSM4138132,3,1,Ambiguous/Mixed,ambiguous,Mono_CD14+Mono_Int,subgroup,Mono_CD14+Mono_Int,0.924501759892542,643,0.9645683551166956,-0.04006659522415357,0.9805146176393196,0.9745602446672516,0.9864689906113876,-0.056012857746777556,-0.06196723071884558,GEP_less_pure_than_subgroup
GSM4138136,3,1,Ambiguous/Mixed,ambiguous,Mono_CD14+Mono_CD16+Mono_Int,subgroup,Mono_CD14+Mono_CD16+Mono_Int,0.900254442022012,641,0.9374047720664832,-0.037150330044471214,0.9718931013396729,0.9656884130890788,0.9789275728256503,-0.07163865931766089,-0.07867313080363836,GEP_less_pure_than_subgroup
GSM4138110,3,1,Ambiguous/Mixed,ambiguous,Mono_CD14+Mono_CD14_THBS1,subgroup,Mono_CD14+Mono_CD14_THBS1,0.9189053976740236,628,0.9657023089629831,-0.046796911288959575,0.9683672169032069,0.9633809360823145,0.9733534977240994,-0.04946181922918336,-0.05444810005007583,GEP_less_pure_than_subgroup
