sample,K,gep,label,label_kind,ROGUE,n_cells
GSM4138134,18,1,Ambiguous/Mixed,ambiguous,0.9374220727345686,1210
GSM4138156,18,1,Ambiguous/Mixed,ambiguous,0.8870072169520287,918
GSM4138135,18,1,Ambiguous/Mixed,ambiguous,0.6863847330988835,761
GSM4138126,18,1,Ambiguous/Mixed,ambiguous,0.9523530065271912,756
GSM4138116,18,1,Ambiguous/Mixed,ambiguous,0.9172438994180698,703
GSM4138140,18,1,Ambiguous/Mixed,ambiguous,0.9137519304612384,701
GSM4138142,18,1,Ambiguous/Mixed,ambiguous,0.8936768900250802,688
GSM4138132,18,1,Ambiguous/Mixed,ambiguous,0.9255134349943932,640
GSM4138137,18,1,Ambiguous/Mixed,ambiguous,0.722687376716937,639
GSM4138136,18,1,Ambiguous/Mixed,ambiguous,0.9028995070544581,639
GSM4138110,18,1,Ambiguous/Mixed,ambiguous,0.9184866843580517,625
GSM4138120,18,1,Ambiguous/Mixed,ambiguous,0.8347697605961332,608
GSM4138155,18,1,Ambiguous/Mixed,ambiguous,0.5412350094662981,601
GSM4138131,18,1,Ambiguous/Mixed,ambiguous,0.6785328947615563,600
GSM4138130,18,1,Ambiguous/Mixed,ambiguous,0.9144629895560022,581
GSM4138138,18,1,Ambiguous/Mixed,ambiguous,0.8917267771774661,575
GSM4138123,18,1,Ambiguous/Mixed,ambiguous,0.656083222246212,544
GSM4138122,18,1,Ambiguous/Mixed,ambiguous,0.8861109283669465,544
GSM4138128,18,1,Ambiguous/Mixed,ambiguous,0.8861109283669465,544
GSM4138139,18,1,Ambiguous/Mixed,ambiguous,0.653466018320177,541
GSM4138141,18,1,Ambiguous/Mixed,ambiguous,0.6875252163881493,534
GSM4138125,18,1,Ambiguous/Mixed,ambiguous,0.6730442254560748,502
GSM4138160,18,1,Ambiguous/Mixed,ambiguous,0.9043595733831085,485
GSM4138162,18,1,Ambiguous/Mixed,ambiguous,0.8899451442375059,485
GSM4138145,18,1,Ambiguous/Mixed,ambiguous,0.684257216549238,470
GSM4138166,18,1,Ambiguous/Mixed,ambiguous,0.8760674399503499,466
GSM4138152,18,1,Ambiguous/Mixed,ambiguous,0.857685084205237,459
GSM4138146,18,1,Ambiguous/Mixed,ambiguous,0.8766984643801011,458
