sample,K,gep,label,label_kind,ROGUE,n_cells
GSM4138139,5,5,Mast,specific,0.94695658041952,60
GSM4138143,5,5,Mast,specific,0.9499099441330964,31
GSM4138111,5,5,Mast,specific,0.8494515226370922,30
GSM4138135,5,5,Mast,specific,0.9632808291710414,21
GSM4138155,5,5,Mast,specific,0.9304048836734372,19
GSM4138131,5,5,Mast,specific,0.9536975701437346,19
GSM4138117,5,5,Mast,specific,0.9843483876594742,15
GSM4138123,6,3,Macrophage_family,family,0.6997505089206588,403
GSM4138135,6,3,Macrophage_family,family,0.7255030220470312,359
GSM4138125,6,3,Macrophage_family,family,0.6940412412448298,342
GSM4138137,6,3,Macrophage_family,family,0.7610642986333779,312
GSM4138131,6,2,DC_family,family,0.6872153580625828,282
GSM4138155,6,2,DC_family,family,0.6135231649211119,186
GSM4138145,6,2,DC_family,family,0.6852276901437294,178
GSM4138141,6,2,DC_family,family,0.6653146890789745,172
GSM4138139,6,3,Macrophage_family,family,0.7178240083794614,164
GSM4138111,6,2,DC_family,family,0.6305955479755814,142
GSM4138143,6,2,DC_family,family,0.6747180039986032,141
GSM4138123,6,2,DC_family,family,0.5914852210463404,140
GSM4138161,6,2,DC_family,family,0.5933032236006683,136
GSM4138133,6,2,DC_family,family,0.6718087824686065,134
GSM4138131,6,3,Macrophage_family,family,0.7779272873037748,125
GSM4138127,6,2,DC_family,family,0.6782115426203172,124
GSM4138155,6,3,Macrophage_family,family,0.6697673891004201,108
GSM4138161,6,5,DC_pDC,specific,0.8499043389997133,105
GSM4138131,6,5,DC_pDC,specific,0.913461076178724,104
GSM4138137,6,2,DC_family,family,0.7033793230836625,103
GSM4138139,6,2,DC_family,family,0.6893042252697553,102
GSM4138115,6,2,DC_family,family,0.7037638596922671,98
GSM4138133,6,3,Macrophage_family,family,0.7602297780830232,89
GSM4138135,6,2,DC_family,family,0.7235013486916619,82
GSM4138129,6,3,Macrophage_family,family,0.7878692430580398,80
GSM4138117,6,3,Macrophage_family,family,0.7466645315410101,78
GSM4138117,6,2,DC_family,family,0.7119516579500762,74
GSM4138141,6,5,DC_pDC,specific,0.8970108608970236,70
GSM4138111,6,5,DC_pDC,specific,0.892028348075645,63
GSM4138157,6,2,DC_family,family,0.7464388878043602,60
GSM4138139,6,6,Mast,specific,0.954392453358975,59
GSM4138141,6,3,Macrophage_family,family,0.7915096479463997,58
GSM4138159,6,2,DC_family,family,0.6665621110657624,50
GSM4138155,6,5,DC_pDC,specific,0.8258696703545934,50
GSM4138123,6,5,DC_pDC,specific,0.8975763485769659,48
GSM4138127,6,3,Macrophage_family,family,0.8193040243753855,45
GSM4138143,6,5,DC_pDC,specific,0.8740057886304822,45
GSM4138145,6,5,DC_pDC,specific,0.9147704153933428,45
GSM4138113,6,2,DC_family,family,0.6778060945410667,40
GSM4138129,6,2,DC_family,family,0.7800504631899394,36
GSM4138121,6,2,DC_family,family,0.7069869913302286,35
GSM4138113,6,5,DC_pDC,specific,0.8770105097170787,34
GSM4138147,6,5,DC_pDC,specific,0.8800969637734649,31
GSM4138143,6,6,Mast,specific,0.9499099441330964,31
GSM4138111,6,6,Mast,specific,0.8559705668702753,29
GSM4138143,6,3,Macrophage_family,family,0.7919368554148102,29
GSM4138119,6,2,DC_family,family,0.6960652470966633,28
GSM4138127,6,5,DC_pDC,specific,0.9284696614344656,27
GSM4138153,6,2,DC_family,family,0.7969146261347599,27
GSM4138129,6,5,DC_pDC,specific,0.9522192501682016,25
GSM4138119,6,3,Macrophage_family,family,0.7313143491943788,25
GSM4138112,6,5,DC_pDC,specific,0.9480145225252716,25
GSM4138125,6,2,DC_family,family,0.8534971077858069,24
GSM4138157,6,3,Macrophage_family,family,0.9408619535529938,23
GSM4138139,6,5,DC_pDC,specific,0.9333160959033334,22
GSM4138160,6,5,DC_pDC,specific,0.9618161262174572,22
GSM4138135,6,6,Mast,specific,0.9632808291710414,21
GSM4138171,6,2,DC_family,family,0.9141770879811688,21
GSM4138122,6,5,DC_pDC,specific,0.9671572886913488,20
GSM4138133,6,5,DC_pDC,specific,0.9722280129792088,20
GSM4138159,6,3,Macrophage_family,family,0.8786936317098702,20
GSM4138110,6,5,DC_pDC,specific,0.9515832936947742,20
GSM4138128,6,5,DC_pDC,specific,0.9671572886913488,20
GSM4138111,6,3,Macrophage_family,family,0.862317911256509,20
GSM4138168,6,5,DC_pDC,specific,0.9011449212070114,20
GSM4138155,6,6,Mast,specific,0.9304048836734372,19
GSM4138131,6,6,Mast,specific,0.9536975701437346,19
GSM4138115,6,5,DC_pDC,specific,0.919203001648519,18
GSM4138135,6,5,DC_pDC,specific,0.9370978128138574,18
GSM4138145,6,3,Macrophage_family,family,0.9408731729591974,17
GSM4138162,6,5,DC_pDC,specific,0.9844611143723536,17
GSM4138130,6,5,DC_pDC,specific,0.9655214820192856,17
GSM4138149,6,2,DC_family,family,0.8919612725645399,16
GSM4138121,6,3,Macrophage_family,family,0.9157183647459424,16
GSM4138170,6,2,DC_family,family,0.9409297615712336,16
GSM4138163,6,5,DC_pDC,specific,0.9903020421816136,16
GSM4138157,6,5,DC_pDC,specific,0.9528870226328386,16
GSM4138117,6,6,Mast,specific,0.9843483876594742,15
GSM4138134,6,5,DC_pDC,specific,0.975264804294986,15
GSM4138151,6,5,DC_pDC,specific,0.9660966498243028,15
GSM4138134,7,1,Mono_CD14_ID1,specific,0.9375265302853202,1213
GSM4138156,7,1,Mono_CD14_ID1,specific,0.8962845623652773,912
GSM4138126,7,1,Mono_CD14_ID1,specific,0.9524984459421776,757
GSM4138116,7,1,Mono_CD14_ID1,specific,0.9295774111559684,701
GSM4138140,7,1,Mono_CD14_ID1,specific,0.9257737344992634,692
GSM4138142,7,1,Mono_CD14_ID1,specific,0.9002363493779278,686
GSM4138132,7,1,Mono_CD14_ID1,specific,0.929738289755978,642
GSM4138136,7,1,Mono_CD14_ID1,specific,0.9112063847134528,634
GSM4138110,7,1,Mono_CD14_ID1,specific,0.918949879088445,625
GSM4138120,7,1,Mono_CD14_ID1,specific,0.8622278369830793,591
GSM4138130,7,1,Mono_CD14_ID1,specific,0.9188261994959755,584
GSM4138138,7,1,Mono_CD14_ID1,specific,0.9054728130863178,573
GSM4138128,7,1,Mono_CD14_ID1,specific,0.903928028039257,535
GSM4138122,7,1,Mono_CD14_ID1,specific,0.903928028039257,535
GSM4138160,7,1,Mono_CD14_ID1,specific,0.92364123513606,481
GSM4138162,7,1,Mono_CD14_ID1,specific,0.9145018391035544,467
GSM4138166,7,1,Mono_CD14_ID1,specific,0.8848076657610547,458
GSM4138146,7,1,Mono_CD14_ID1,specific,0.8913312494576806,455
GSM4138152,7,1,Mono_CD14_ID1,specific,0.8904055571403878,447
GSM4138165,7,1,Mono_CD14_ID1,specific,0.8949539722707532,433
GSM4138123,7,3,Macrophage_family,family,0.694137774916099,419
GSM4138163,7,1,Mono_CD14_ID1,specific,0.9220566445695576,415
GSM4138135,7,3,Macrophage_family,family,0.7257495198855404,357
GSM4138112,7,1,Mono_CD14_ID1,specific,0.8784565288273578,349
GSM4138154,7,1,Mono_CD14_ID1,specific,0.870017801971714,346
GSM4138114,7,1,Mono_CD14_ID1,specific,0.8903658515412376,345
GSM4138125,7,3,Macrophage_family,family,0.6941104229368873,339
GSM4138124,7,1,Mono_CD14_ID1,specific,0.9370433623226164,339
GSM4138167,7,1,Mono_CD14_ID1,specific,0.8935792123325513,336
GSM4138137,7,3,Macrophage_family,family,0.7718618276150674,305
GSM4138141,7,1,Mono_CD14_ID1,specific,0.854770921929038,295
GSM4138118,7,1,Mono_CD14_ID1,specific,0.9025207988684304,288
GSM4138144,7,1,Mono_CD14_ID1,specific,0.8892252132518056,278
GSM4138158,7,1,Mono_CD14_ID1,specific,0.9196855226314224,268
GSM4138145,7,1,Mono_CD14_ID1,specific,0.8297312552595549,231
GSM4138150,7,1,Mono_CD14_ID1,specific,0.8997570528556955,188
GSM4138155,7,1,Mono_CD14_ID1,specific,0.7912713572126411,182
GSM4138145,7,2,DC_family,family,0.7015004147476431,180
GSM4138148,7,1,Mono_CD14_ID1,specific,0.8521061316511702,169
GSM4138155,7,2,DC_family,family,0.6422884917266591,169
GSM4138139,7,3,Macrophage_family,family,0.717974360354434,164
GSM4138139,7,1,Mono_CD14_ID1,specific,0.8465946675491668,163
GSM4138117,7,1,Mono_CD14_ID1,specific,0.7676244973107385,158
GSM4138127,7,1,Mono_CD14_ID1,specific,0.8427202949892902,153
GSM4138164,7,1,Mono_CD14_ID1,specific,0.8740532525534911,149
GSM4138135,7,1,Mono_CD14_ID1,specific,0.8946750254345798,149
GSM4138137,7,1,Mono_CD14_ID1,specific,0.8604910749276807,137
GSM4138131,7,1,Mono_CD14_ID1,specific,0.8579134262140945,136
GSM4138143,7,1,Mono_CD14_ID1,specific,0.8084910478213039,135
GSM4138131,7,3,Macrophage_family,family,0.7694514522181881,135
GSM4138125,7,1,Mono_CD14_ID1,specific,0.8248852350191238,133
GSM4138161,7,1,Mono_CD14_ID1,specific,0.8384958374182754,126
GSM4138111,7,1,Mono_CD14_ID1,specific,0.7798064592491715,125
GSM4138131,7,6,DC_pDC,specific,0.880324371028394,108
GSM4138161,7,6,DC_pDC,specific,0.8292133355754832,107
GSM4138143,7,2,DC_family,family,0.7122232770200859,99
GSM4138155,7,3,Macrophage_family,family,0.6775524952673037,98
GSM4138141,7,2,DC_family,family,0.7170883189454116,95
GSM4138161,7,2,DC_family,family,0.6487782330650107,94
GSM4138129,7,1,Mono_CD14_ID1,specific,0.8686218023032786,91
GSM4138133,7,3,Macrophage_family,family,0.7621511401062324,87
GSM4138113,7,1,Mono_CD14_ID1,specific,0.8004867154603259,86
GSM4138117,7,3,Macrophage_family,family,0.7425364318831319,79
GSM4138129,7,3,Macrophage_family,family,0.7949800254891609,78
GSM4138115,7,2,DC_family,family,0.7468558305725044,75
GSM4138141,7,6,DC_pDC,specific,0.8882469191880943,72
GSM4138133,7,2,DC_family,family,0.7680190121702948,67
GSM4138111,7,2,DC_family,family,0.7295378128309947,65
GSM4138111,7,6,DC_pDC,specific,0.8934359830003882,64
GSM4138131,7,2,DC_family,family,0.7918328731147717,62
GSM4138139,7,7,Mast,specific,0.954392453358975,59
GSM4138141,7,3,Macrophage_family,family,0.8008759027399072,57
GSM4138133,7,1,Mono_CD14_ID1,specific,0.9119652835670318,57
GSM4138159,7,1,Mono_CD14_ID1,specific,0.9129118316654724,53
GSM4138139,7,2,DC_family,family,0.8293473023572313,52
GSM4138155,7,6,DC_pDC,specific,0.8268653204988696,51
GSM4138157,7,1,Mono_CD14_ID1,specific,0.9252692676531036,50
GSM4138123,7,6,DC_pDC,specific,0.8975763485769659,48
GSM4138157,7,2,DC_family,family,0.7510966897045889,48
GSM4138119,7,1,Mono_CD14_ID1,specific,0.8474649594020736,48
GSM4138121,7,1,Mono_CD14_ID1,specific,0.8474225109020267,45
GSM4138143,7,6,DC_pDC,specific,0.8740057886304822,45
GSM4138145,7,6,DC_pDC,specific,0.9147704153933428,45
GSM4138159,7,2,DC_family,family,0.7157781662283377,45
GSM4138123,7,2,DC_family,family,0.6455763359388609,44
GSM4138127,7,3,Macrophage_family,family,0.8306439812081183,42
GSM4138113,7,6,DC_pDC,specific,0.8770105097170787,34
GSM4138135,7,2,DC_family,family,0.8117881631097088,32
GSM4138143,7,7,Mast,specific,0.9499099441330964,31
GSM4138115,7,1,Mono_CD14_ID1,specific,0.9351809819060564,31
GSM4138123,7,1,Mono_CD14_ID1,specific,0.9241570477862304,31
GSM4138147,7,6,DC_pDC,specific,0.8800969637734649,31
GSM4138137,7,2,DC_family,family,0.7731409923884223,31
GSM4138111,7,7,Mast,specific,0.8570514282209254,28
GSM4138127,7,6,DC_pDC,specific,0.9313771396418056,28
GSM4138113,7,2,DC_family,family,0.7634640347091893,28
GSM4138119,7,2,DC_family,family,0.6745901993086518,27
GSM4138125,7,2,DC_family,family,0.8040225941999046,25
GSM4138112,7,6,DC_pDC,specific,0.9480145225252716,25
GSM4138129,7,6,DC_pDC,specific,0.9522192501682016,25
GSM4138119,7,3,Macrophage_family,family,0.7414524518292901,24
GSM4138153,7,2,DC_family,family,0.8065777533427834,24
GSM4138143,7,3,Macrophage_family,family,0.8822325366727419,23
GSM4138139,7,6,DC_pDC,specific,0.9333160959033334,22
GSM4138129,7,2,DC_family,family,0.8409483270850885,22
GSM4138160,7,6,DC_pDC,specific,0.9618161262174572,22
GSM4138117,7,2,DC_family,family,0.9238931255839048,21
GSM4138111,7,3,Macrophage_family,family,0.8521959238823552,21
GSM4138135,7,7,Mast,specific,0.9632808291710414,21
GSM4138144,7,2,DC_family,family,0.937086611484638,20
GSM4138133,7,6,DC_pDC,specific,0.9722280129792088,20
GSM4138122,7,6,DC_pDC,specific,0.9671572886913488,20
GSM4138168,7,6,DC_pDC,specific,0.9011449212070114,20
GSM4138110,7,6,DC_pDC,specific,0.9515832936947742,20
GSM4138128,7,6,DC_pDC,specific,0.9671572886913488,20
GSM4138121,7,2,DC_family,family,0.8059444281923029,19
GSM4138135,7,6,DC_pDC,specific,0.9277395526018996,19
GSM4138127,7,2,DC_family,family,0.9470502276078128,19
GSM4138157,7,3,Macrophage_family,family,0.9228938058114718,19
GSM4138155,7,7,Mast,specific,0.9304048836734372,19
GSM4138115,7,6,DC_pDC,specific,0.9225313235859188,19
GSM4138131,7,7,Mast,specific,0.9536975701437346,19
GSM4138153,7,1,Mono_CD14_ID1,specific,0.8925676110311169,19
GSM4138162,7,2,DC_family,family,0.9629668472436136,18
GSM4138120,7,2,DC_family,family,0.9252430382036522,18
GSM4138171,7,2,DC_family,family,0.91325331721818,18
GSM4138159,7,3,Macrophage_family,family,0.8696411088406966,18
GSM4138172,7,2,DC_family,family,0.876801661908376,18
GSM4138162,7,6,DC_pDC,specific,0.9844611143723536,17
GSM4138130,7,6,DC_pDC,specific,0.9655214820192856,17
GSM4138157,7,6,DC_pDC,specific,0.9528870226328386,16
GSM4138163,7,6,DC_pDC,specific,0.9903020421816136,16
GSM4138145,7,3,Macrophage_family,family,0.961603309659957,16
GSM4138121,7,3,Macrophage_family,family,0.910672241099196,15
GSM4138134,7,6,DC_pDC,specific,0.975264804294986,15
GSM4138117,7,7,Mast,specific,0.9843483876594742,15
GSM4138151,7,6,DC_pDC,specific,0.9660966498243028,15
GSM4138152,7,2,DC_family,family,0.9398797025217304,15
GSM4138147,7,2,DC_family,family,0.8958648233412956,15
GSM4138134,8,1,Mono_CD14_ID1,specific,0.9375265302853202,1213
GSM4138156,8,1,Mono_CD14_ID1,specific,0.8962845623652773,912
GSM4138126,8,1,Mono_CD14_ID1,specific,0.9524984459421776,757
GSM4138116,8,1,Mono_CD14_ID1,specific,0.9295774111559684,701
GSM4138140,8,1,Mono_CD14_ID1,specific,0.9257737344992634,692
GSM4138142,8,1,Mono_CD14_ID1,specific,0.9002363493779278,686
GSM4138132,8,1,Mono_CD14_ID1,specific,0.9296274694721512,641
GSM4138136,8,1,Mono_CD14_ID1,specific,0.9112063847134528,634
GSM4138110,8,1,Mono_CD14_ID1,specific,0.918949879088445,625
GSM4138120,8,1,Mono_CD14_ID1,specific,0.8622278369830793,591
GSM4138130,8,1,Mono_CD14_ID1,specific,0.9188261994959755,584
GSM4138138,8,1,Mono_CD14_ID1,specific,0.9054728130863178,573
GSM4138128,8,1,Mono_CD14_ID1,specific,0.903928028039257,535
GSM4138122,8,1,Mono_CD14_ID1,specific,0.903928028039257,535
GSM4138160,8,1,Mono_CD14_ID1,specific,0.92364123513606,481
GSM4138162,8,1,Mono_CD14_ID1,specific,0.9145018391035544,467
GSM4138166,8,1,Mono_CD14_ID1,specific,0.8848076657610547,458
GSM4138146,8,1,Mono_CD14_ID1,specific,0.8913312494576806,455
GSM4138152,8,1,Mono_CD14_ID1,specific,0.8904055571403878,447
GSM4138165,8,1,Mono_CD14_ID1,specific,0.8949539722707532,433
GSM4138123,8,3,Macrophage_family,family,0.7056966901536563,422
GSM4138163,8,1,Mono_CD14_ID1,specific,0.9220566445695576,415
GSM4138112,8,1,Mono_CD14_ID1,specific,0.8784565288273578,349
GSM4138154,8,1,Mono_CD14_ID1,specific,0.870017801971714,346
GSM4138114,8,1,Mono_CD14_ID1,specific,0.8952898969794837,344
GSM4138124,8,1,Mono_CD14_ID1,specific,0.9370433623226164,339
GSM4138167,8,1,Mono_CD14_ID1,specific,0.8935792123325513,336
GSM4138125,8,7,Macrophage_family,family,0.7000642563861541,332
GSM4138135,8,3,Macrophage_family,family,0.7466090061792985,299
GSM4138141,8,1,Mono_CD14_ID1,specific,0.8534085921421988,292
GSM4138118,8,1,Mono_CD14_ID1,specific,0.9025207988684304,288
GSM4138144,8,1,Mono_CD14_ID1,specific,0.8892252132518056,278
GSM4138158,8,1,Mono_CD14_ID1,specific,0.9196855226314224,268
GSM4138145,8,1,Mono_CD14_ID1,specific,0.8318953205630475,232
GSM4138137,8,3,Macrophage_family,family,0.798218449741139,228
GSM4138150,8,1,Mono_CD14_ID1,specific,0.8997570528556955,188
GSM4138155,8,1,Mono_CD14_ID1,specific,0.7830198655286797,184
GSM4138131,8,3,Macrophage_family,family,0.7657052548228008,179
GSM4138145,8,2,DC_family,family,0.7004566877662045,179
GSM4138148,8,1,Mono_CD14_ID1,specific,0.8521061316511702,169
GSM4138155,8,2,DC_family,family,0.625158429494278,169
GSM4138117,8,1,Mono_CD14_ID1,specific,0.7565186077638129,168
GSM4138135,8,1,Mono_CD14_ID1,specific,0.8760816429168722,167
GSM4138139,8,1,Mono_CD14_ID1,specific,0.8395107245811823,160
GSM4138127,8,1,Mono_CD14_ID1,specific,0.8325987578470584,159
GSM4138164,8,1,Mono_CD14_ID1,specific,0.8740532525534911,149
GSM4138137,8,1,Mono_CD14_ID1,specific,0.86351942208051,144
GSM4138131,8,1,Mono_CD14_ID1,specific,0.8629969982358728,139
GSM4138143,8,1,Mono_CD14_ID1,specific,0.8195375659552298,134
GSM4138161,8,1,Mono_CD14_ID1,specific,0.8364628750076347,128
GSM4138111,8,1,Mono_CD14_ID1,specific,0.7573151191946219,128
GSM4138125,8,1,Mono_CD14_ID1,specific,0.8740194371725551,109
GSM4138131,8,6,DC_pDC,specific,0.8808569845713285,109
GSM4138161,8,6,DC_pDC,specific,0.8292133355754832,107
GSM4138139,8,3,Macrophage_family,family,0.7872554345444164,96
GSM4138143,8,2,DC_family,family,0.7165353824123863,96
GSM4138141,8,2,DC_family,family,0.713023639104498,95
GSM4138161,8,2,DC_family,family,0.6487782330650107,94
GSM4138129,8,1,Mono_CD14_ID1,specific,0.8752548058735793,92
GSM4138113,8,1,Mono_CD14_ID1,specific,0.797215949100031,88
GSM4138115,8,2,DC_family,family,0.7412897505103714,74
GSM4138141,8,6,DC_pDC,specific,0.8882469191880943,72
GSM4138137,8,7,Macrophage_family,family,0.7549502931024112,71
GSM4138133,8,1,Mono_CD14_ID1,specific,0.8878702596954421,68
GSM4138139,8,7,Macrophage_family,family,0.7253198692609512,68
GSM4138133,8,3,Macrophage_family,family,0.7425318412898495,68
GSM4138155,8,7,Macrophage_family,family,0.6590969422899818,67
GSM4138117,8,3,Macrophage_family,family,0.7697666163826173,67
GSM4138133,8,2,DC_family,family,0.7634162621141619,66
GSM4138141,8,3,Macrophage_family,family,0.7946094248972597,64
GSM4138111,8,6,DC_pDC,specific,0.8934359830003882,64
GSM4138111,8,2,DC_family,family,0.7175171168771153,64
GSM4138139,8,8,Mast,specific,0.954392453358975,59
GSM4138131,8,2,DC_family,family,0.7852492532829344,58
GSM4138139,8,2,DC_family,family,0.823099057002914,54
GSM4138159,8,1,Mono_CD14_ID1,specific,0.9129118316654724,53
GSM4138157,8,1,Mono_CD14_ID1,specific,0.894589192020375,52
GSM4138155,8,6,DC_pDC,specific,0.8268653204988696,51
GSM4138123,8,6,DC_pDC,specific,0.8975763485769659,48
GSM4138119,8,1,Mono_CD14_ID1,specific,0.8392866204238005,47
GSM4138157,8,2,DC_family,family,0.7206591386296191,47
GSM4138121,8,1,Mono_CD14_ID1,specific,0.843838932733449,46
GSM4138143,8,6,DC_pDC,specific,0.8686542379614236,46
GSM4138145,8,6,DC_pDC,specific,0.9147704153933428,45
GSM4138159,8,2,DC_family,family,0.7157781662283377,45
GSM4138123,8,2,DC_family,family,0.6566371105784945,41
GSM4138129,8,7,Macrophage_family,family,0.8566354780274117,40
