label,label_kind,best_GEP_ROGUE,K_at_best,GEP_at_best,sample_at_best,baseline_ROGUE_median,best_delta_ROGUE,n_K_with_signal,n_rows,median_best_constituent_baseline
Macrophage_family,family,0.9665633196176584,21,3,GSM4138143,0.7123966978801426,0.2541666217375158,12,293,0.850718723540862
DC_family,family,1.0,29,3,GSM4138116,0.8988213989166038,0.10117860108339616,15,664,0.9222183266160504
Monocyte_family,family,0.9913391935470924,22,1,GSM4138132,0.9118950922518804,0.07944410129521207,3,414,0.9771845016882352
Mac_SPP1,specific,0.965778768525842,19,1,GSM4138132,0.8084144709776315,0.15736429754821046,1,55,
Mac_IL1B,specific,0.9319494412772014,34,3,GSM4138111,0.831312110344069,0.10063733093313232,0,32,
DC_pDC,specific,1.0,25,4,GSM4138157,0.94427473033828,0.05572526966171998,3,734,
cDC2_CD33,specific,0.9777122693577532,22,2,GSM4138159,0.9340868198055134,0.04362544955223979,0,207,
Mono_CD16,specific,1.0,12,2,GSM4138129,0.9640023476234224,0.035997652376577594,2,412,
Mast,specific,0.9843483876594742,5,5,GSM4138117,0.9499099441330964,0.034438443526377815,5,159,
Mono_CD14_ID1,specific,0.962574357280452,15,1,GSM4138124,0.9431862653099846,0.019388091970467425,0,221,
